name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,12,8744,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,30,600,230,4600,450,9000
0001-openb-node-0858,,G2,96,8,412316860416,20000,10,14844,412316860416,0,0,0,0,200,4000,0,0,0,0,0,0,190,3800,0,0,390,7800
0002-openb-node-0619,,G2,96,8,412316860416,20000,12,912,412316860416,0,0,0,0,0,0,60,1200,70,1400,190,3800,0,0,30,600,350,7000
0003-openb-node-0582,,G2,96,8,412316860416,20000,8,2930,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,190,3800
0004-openb-node-0882,,T4,104,2,549755813888,15109,3,72692,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005-openb-node-1135,,G2,96,8,412316860416,20000,11,176,412316860416,0,0,0,0,0,0,190,3800,0,0,80,1600,190,3800,210,4200,670,13400
0006-openb-node-0431,,P100,16,2,128849018880,16280,2,940,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0007-openb-node-1096,,T4,104,2,549755813888,15109,3,65900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-1052,,P100,16,2,128849018880,16280,2,348,128849018880,1000,16280,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,1190,19373
0009-openb-node-0985,,P100,16,2,128849018880,16280,2,1548,128849018880,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0010-openb-node-1151,,T4,104,2,549755813888,15109,3,65384,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0011-openb-node-1171,,G2,96,8,412316860416,20000,10,1864,412316860416,0,0,0,0,0,0,350,7000,0,0,0,0,60,1200,60,1200,470,9400
0012-openb-node-0016,,P100,64,2,274877906944,16280,4,13196,274877906944,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0013-openb-node-0003,,P100,64,2,274877906944,16280,6,11940,274877906944,60,976,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,140,2278
0014-openb-node-0877,,T4,104,2,549755813888,15109,4,27038,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0015-openb-node-0256,,V100M32,96,8,824633720832,32510,10,3878,824633720832,0,0,0,0,0,0,290,9427,190,6176,0,0,0,0,0,0,480,15603
0016-openb-node-0382,,G2,96,8,412316860416,20000,9,548,412316860416,0,0,0,0,670,13400,0,0,450,9000,0,0,1000,20000,190,3800,2310,46200
0017-openb-node-0280,,G2,96,8,412316860416,20000,12,9530,412316860416,0,0,0,0,210,4200,0,0,80,1600,0,0,220,4400,0,0,510,10200
0018-openb-node-0080,,G2,96,8,412316860416,20000,6,2948,412316860416,0,0,0,0,190,3800,0,0,0,0,0,0,1000,20000,1000,20000,2190,43800
0019-openb-node-0320,,G3,128,8,824633720832,30000,11,7552,824633720832,60,1800,0,0,0,0,30,900,0,0,0,0,0,0,0,0,90,2700
0020-openb-node-1170,,G3,128,8,824633720832,30000,11,9534,824633720832,0,0,0,0,0,0,0,0,0,0,70,2100,0,0,190,5700,260,7800
0021-openb-node-0764,,G2,96,8,412316860416,20000,12,16992,412316860416,0,0,0,0,80,1600,30,600,0,0,90,1800,0,0,0,0,200,4000
0022-openb-node-0717,,T4,104,2,549755813888,15109,3,80348,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023-openb-node-0074,,G2,96,8,412316860416,20000,10,3140,412316860416,0,0,0,0,0,0,0,0,190,3800,350,7000,520,10400,530,10600,1590,31800
0024-openb-node-0430,,P100,16,2,128849018880,16280,2,940,128849018880,0,0,530,8628,0,0,0,0,0,0,0,0,0,0,0,0,530,8628
0025-openb-node-0466,,G2,96,8,412316860416,20000,8,2214,412316860416,0,0,0,0,0,0,350,7000,0,0,0,0,350,7000,190,3800,890,17800
0026-openb-node-0989,,P100,8,2,64424509440,16280,2,1696,64424509440,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0027-openb-node-0321,,G2,96,8,412316860416,20000,8,92,412316860416,0,0,1000,20000,190,3800,190,3800,190,3800,190,3800,1000,20000,1000,20000,3760,75200
0028-openb-node-0014,,P100,64,2,274877906944,16280,5,5548,274877906944,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0029-openb-node-1026,,T4,104,2,549755813888,15109,4,45048,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0030-openb-node-0019,,P100,64,2,274877906944,16280,7,3940,274877906944,60,976,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,140,2278
0031-openb-node-0780,,T4,104,2,549755813888,15109,3,61476,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0032-openb-node-0849,,G2,96,8,412316860416,20000,11,872,412316860416,0,0,0,0,220,4400,0,0,60,1200,530,10600,0,0,160,3200,970,19400
0033-openb-node-0775,,T4,104,2,549755813888,15109,4,66540,549755813888,0,0,170,2568,0,0,0,0,0,0,0,0,0,0,0,0,170,2568
0034-openb-node-1196,,T4,104,2,549755813888,15109,7,33692,549755813888,70,1057,120,1813,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0035-openb-node-1066,,G2,96,8,412316860416,20000,8,2316,412316860416,0,0,0,0,0,0,450,9000,530,10600,0,0,530,10600,1000,20000,2510,50200
0036-openb-node-0853,,G2,96,8,412316860416,20000,9,2444,412316860416,0,0,0,0,190,3800,0,0,190,3800,0,0,0,0,190,3800,570,11400
0037-openb-node-1080,,V100M16,8,1,34359738368,16160,2,848,34359738368,190,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3070
0038-openb-node-0912,,G2,96,8,412316860416,20000,10,1378,412316860416,0,0,680,13600,190,3800,0,0,0,0,70,1400,450,9000,0,0,1390,27800
0039-openb-node-0477,,G2,96,8,412316860416,20000,8,932,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,530,10600,1530,30600
0040-openb-node-0632,,G2,96,8,412316860416,20000,11,1224,412316860416,0,0,0,0,60,1200,190,3800,300,6000,350,7000,0,0,60,1200,960,19200
0041-openb-node-1161,,T4,104,2,549755813888,15109,4,72440,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0042-openb-node-0333,,G3,128,8,824633720832,30000,11,14792,824633720832,0,0,0,0,0,0,0,0,80,2400,190,5700,190,5700,0,0,460,13800
0043-openb-node-1003,,P100,16,2,128849018880,16280,3,848,128849018880,190,3093,770,12535,0,0,0,0,0,0,0,0,0,0,0,0,960,15628
0044-openb-node-0169,,G3,128,8,824633720832,30000,10,500,824633720832,0,0,0,0,0,0,210,6300,0,0,0,0,0,0,0,0,210,6300
0045-openb-node-0141,,G2,96,8,412316860416,20000,11,2236,412316860416,0,0,530,10600,230,4600,0,0,0,0,210,4200,0,0,0,0,970,19400
0046-openb-node-0681,,G2,96,8,412316860416,20000,1,8000,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0047-openb-node-0561,,G2,96,8,412316860416,20000,8,2332,412316860416,0,0,0,0,0,0,190,3800,0,0,0,0,1000,20000,350,7000,1540,30800
0048-openb-node-0153,,G2,96,8,412316860416,20000,9,7480,412316860416,0,0,0,0,0,0,0,0,190,3800,190,3800,60,1200,0,0,440,8800
0049-openb-node-0390,,T4,104,2,549755813888,15109,7,20696,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0050-openb-node-0928,,T4,104,2,549755813888,15109,4,76196,549755813888,160,2417,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,350,5287
0051-openb-node-0384,,G2,96,8,412316860416,20000,10,9136,412316860416,0,0,190,3800,0,0,0,0,0,0,190,3800,220,4400,210,4200,810,16200
0052-openb-node-0893,,G2,96,8,412316860416,20000,8,822,412316860416,0,0,0,0,350,7000,190,3800,0,0,350,7000,530,10600,0,0,1420,28400
0053-openb-node-0065,,V100M32,96,8,824633720832,32510,8,780,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,32510,1000,32510
0054-openb-node-0511,,G2,96,8,412316860416,20000,13,2384,412316860416,0,0,0,0,0,0,190,3800,90,1800,30,600,10,200,60,1200,380,7600
0055-openb-node-0282,,G2,96,8,412316860416,20000,11,3680,412316860416,190,3800,0,0,0,0,0,0,40,800,190,3800,60,1200,0,0,480,9600
0056-openb-node-0168,,G3,128,8,824633720832,30000,9,13724,824633720832,0,0,0,0,0,0,0,0,60,1800,0,0,190,5700,0,0,250,7500
0057-openb-node-0957,,G2,96,8,412316860416,20000,8,484,412316860416,350,7000,350,7000,1000,20000,530,10600,1000,20000,1000,20000,1000,20000,1000,20000,6230,124600
0058-openb-node-0543,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0059-openb-node-0422,,T4,104,2,549755813888,15109,4,70948,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0060-openb-node-0391,,T4,104,2,549755813888,15109,4,65300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
