name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,6,348,412316860416,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7000,140000
0001-openb-node-0858,,G2,96,8,412316860416,20000,11,2396,412316860416,0,0,80,1600,0,0,70,1400,0,0,0,0,0,0,0,0,150,3000
0002-openb-node-0619,,G2,96,8,412316860416,20000,7,290,412316860416,0,0,350,7000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6350,127000
0003-openb-node-0582,,G2,96,8,412316860416,20000,6,696,412316860416,0,0,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6190,123800
0004-openb-node-0882,,T4,104,2,549755813888,15109,9,2500,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005-openb-node-1135,,G2,96,8,412316860416,20000,7,1600,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0006-openb-node-0431,,P100,16,2,128849018880,16280,2,940,128849018880,350,5698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,5698
0007-openb-node-1096,,T4,104,2,549755813888,15109,9,540,549755813888,30,453,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,100,1510
0008-openb-node-1052,,P100,16,2,128849018880,16280,3,448,128849018880,0,0,50,814,0,0,0,0,0,0,0,0,0,0,0,0,50,814
0009-openb-node-0985,,P100,16,2,128849018880,16280,2,940,128849018880,530,8628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,8628
0010-openb-node-1151,,T4,104,2,549755813888,15109,8,1548,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0011-openb-node-1171,,G2,96,8,412316860416,20000,10,640,412316860416,0,0,0,0,0,0,0,0,30,600,0,0,0,0,60,1200,90,1800
0012-openb-node-0016,,P100,64,2,274877906944,16280,5,3600,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0003,,P100,64,2,274877906944,16280,6,3692,274877906944,0,0,210,3418,0,0,0,0,0,0,0,0,0,0,0,0,210,3418
0014-openb-node-0877,,T4,104,2,549755813888,15109,5,1292,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0256,,V100M32,96,8,824633720832,32510,5,100,824633720832,680,22106,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,7680,249676
0016-openb-node-0382,,G2,96,8,412316860416,20000,12,636,412316860416,0,0,30,600,0,0,130,2600,0,0,0,0,70,1400,0,0,230,4600
0017-openb-node-0280,,G2,96,8,412316860416,20000,8,476,412316860416,0,0,0,0,0,0,0,0,210,4200,0,0,0,0,1000,20000,1210,24200
0018-openb-node-0080,,G2,96,8,412316860416,20000,6,348,412316860416,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7000,140000
0019-openb-node-0320,,G3,128,8,824633720832,30000,15,168,824633720832,0,0,0,0,30,900,0,0,0,0,0,0,30,900,0,0,60,1800
0020-openb-node-1170,,G3,128,8,824633720832,30000,10,3296,824633720832,0,0,0,0,0,0,0,0,190,5700,0,0,0,0,190,5700,380,11400
0021-openb-node-0764,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022-openb-node-0717,,T4,104,2,549755813888,15109,8,648,549755813888,0,0,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0023-openb-node-0074,,G2,96,8,412316860416,20000,9,1032,412316860416,0,0,0,0,0,0,0,0,180,3600,0,0,0,0,0,0,180,3600
0024-openb-node-0430,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-0466,,G2,96,8,412316860416,20000,12,270,412316860416,0,0,0,0,30,600,0,0,190,3800,0,0,60,1200,0,0,280,5600
0026-openb-node-0989,,P100,8,2,64424509440,16280,2,848,64424509440,680,11070,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,870,14163
0027-openb-node-0321,,G2,96,8,412316860416,20000,3,1000,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0028-openb-node-0014,,P100,64,2,274877906944,16280,4,1300,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0029-openb-node-1026,,T4,104,2,549755813888,15109,6,600,549755813888,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,3172
0030-openb-node-0019,,P100,64,2,274877906944,16280,3,6490,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0031-openb-node-0780,,T4,104,2,549755813888,15109,6,6500,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0032-openb-node-0849,,G2,96,8,412316860416,20000,10,978,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0033-openb-node-0775,,T4,104,2,549755813888,15109,8,700,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0034-openb-node-1196,,T4,104,2,549755813888,15109,8,782,549755813888,0,0,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,210,3172
0035-openb-node-1066,,G2,96,8,412316860416,20000,10,3380,412316860416,0,0,0,0,0,0,0,0,210,4200,0,0,0,0,0,0,210,4200
0036-openb-node-0853,,G2,96,8,412316860416,20000,11,786,412316860416,0,0,0,0,30,600,0,0,0,0,0,0,0,0,30,600,60,1200
0037-openb-node-1080,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0038-openb-node-0912,,G2,96,8,412316860416,20000,3,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0039-openb-node-0477,,G2,96,8,412316860416,20000,11,314,412316860416,0,0,30,600,0,0,0,0,30,600,190,3800,0,0,30,600,280,5600
0040-openb-node-0632,,G2,96,8,412316860416,20000,10,4180,412316860416,0,0,30,600,0,0,0,0,160,3200,0,0,0,0,0,0,190,3800
0041-openb-node-1161,,T4,104,2,549755813888,15109,7,3196,549755813888,80,1208,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,270,4078
0042-openb-node-0333,,G3,128,8,824633720832,30000,1,7800,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0043-openb-node-1003,,P100,16,2,128849018880,16280,2,3038,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0044-openb-node-0169,,G3,128,8,824633720832,30000,10,884,824633720832,0,0,0,0,0,0,60,1800,0,0,350,10500,0,0,0,0,410,12300
0045-openb-node-0141,,G2,96,8,412316860416,20000,11,1118,412316860416,0,0,30,600,0,0,60,1200,0,0,190,3800,0,0,0,0,280,5600
0046-openb-node-0681,,G2,96,8,412316860416,20000,9,2972,412316860416,0,0,0,0,60,1200,530,10600,0,0,190,3800,0,0,190,3800,970,19400
0047-openb-node-0561,,G2,96,8,412316860416,20000,9,432,412316860416,0,0,0,0,0,0,0,0,0,0,300,6000,0,0,0,0,300,6000
0048-openb-node-0153,,G2,96,8,412316860416,20000,4,3990,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,1000,20000,2000,40000
0049-openb-node-0390,,T4,104,2,549755813888,15109,6,1592,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0050-openb-node-0928,,T4,104,2,549755813888,15109,6,2282,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0051-openb-node-0384,,G2,96,8,412316860416,20000,11,3392,412316860416,0,0,0,0,0,0,190,3800,190,3800,0,0,0,0,0,0,380,7600
0052-openb-node-0893,,G2,96,8,412316860416,20000,3,2800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053-openb-node-0065,,V100M32,96,8,824633720832,32510,8,0,824633720832,30,975,0,0,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,6030,196035
0054-openb-node-0511,,G2,96,8,412316860416,20000,9,2296,412316860416,0,0,0,0,190,3800,0,0,0,0,190,3800,0,0,0,0,380,7600
0055-openb-node-0282,,G2,96,8,412316860416,20000,5,348,412316860416,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7000,140000
0056-openb-node-0168,,G3,128,8,824633720832,30000,9,48,824633720832,0,0,0,0,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,6000,180000
0057-openb-node-0957,,G2,96,8,412316860416,20000,8,696,412316860416,0,0,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6190,123800
0058-openb-node-0543,,P100,16,2,128849018880,16280,2,1448,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0059-openb-node-0422,,T4,104,2,549755813888,15109,6,7000,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0060-openb-node-0391,,T4,104,2,549755813888,15109,7,3200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0061-openb-node-0646,,T4,104,2,549755813888,15109,6,548,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0062-openb-node-0211,,T4,104,2,549755813888,15109,7,4192,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0063-openb-node-0380,,P100,16,2,128849018880,16280,2,940,128849018880,350,5698,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
