ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,11,1810,6212,1810
4,12,2810,6212,2810
5,13,3810,6212,3810
6,14,4620,6212,4620
7,15,5090,6212,5090
8,17,5740,6212,5740
8,17,6550,6212,6550
9,19,6780,6212,6780
9,19,7590,6212,7590
9,19,8590,6212,8590
9,19,9060,6212,9060
10,20,9520,6212,9520
11,28,9520,6212,9520
12,30,10520,6212,10520
13,31,10980,6212,10980
14,32,11440,6212,11440
15,33,12440,6212,12440
15,33,13440,6212,13440
15,33,13440,6212,13440
16,41,13910,6212,13910
16,41,13910,6212,13910
17,42,14720,6212,14720
17,42,14880,6212,14880
17,42,14880,6212,14880
18,43,15880,6212,15880
18,43,16880,6212,16880
19,44,17690,6212,17690
20,46,18690,6212,18690
20,46,18800,6212,18800
20,46,19800,6212,19800
20,46,19800,6212,19800
20,46,20270,6212,20270
20,46,21270,6212,21270
20,46,22270,6212,22270
20,46,23270,6212,23270
20,46,24270,6212,24270
20,46,25270,6212,25270
20,46,25740,6212,25740
20,46,25740,6212,25740
21,48,26740,6212,26740
21,48,26740,6212,26740
22,56,27740,6212,27740
22,56,28060,6212,28060
22,56,29060,6212,29060
22,56,29060,6212,29060
22,56,29380,6212,29380
23,57,30380,6212,30380
24,58,31190,6212,31190
24,58,31190,6212,31190
25,59,31560,6212,31560
25,59,32560,6212,32560
25,59,33560,6212,33560
26,60,34560,6212,34560
27,61,34880,6212,34880
27,61,35880,6212,35880
27,61,36880,6212,36880
28,62,37880,6212,37880
29,63,38690,6212,38690
30,64,39690,6212,39690
31,65,40690,6212,40690
31,65,41010,6212,41010
31,65,42010,6212,42010
32,66,43010,6212,43010
32,66,44010,6212,44010
33,74,45010,6212,45010
33,74,45010,6212,45010
33,74,46010,6212,46010
33,74,47010,6212,47010
33,74,47480,6212,47480
