ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1605509.88,25.85,0.39,213537.82,3.44
1605041.07,25.84,0.39,213009.32,3.43
1604834.87,25.84,0.39,212938.25,3.43
1604543.58,25.84,0.39,212818.52,3.43
1604252.3,25.84,0.39,212698.78,3.43
1603797.43,25.84,0.39,212313.11,3.42
1603669.85,25.84,0.39,212126.1,3.42
1603730.1,25.84,0.39,212110.47,3.42
1603711.94,25.84,0.39,212288.84,3.42
1604099.27,25.85,0.4,212302.21,3.42
1604081.11,25.85,0.4,212806.33,3.43
1603815.13,25.85,0.4,213055.86,3.43
1603511.65,25.85,0.4,212929.19,3.43
1603392.81,25.85,0.4,212750.93,3.43
1603392.81,25.85,0.4,212749.96,3.43
1603126.83,25.85,0.4,212672.33,3.43
1603021.93,25.85,0.4,212636.9,3.43
1602903.09,25.85,0.4,212458.64,3.43
1602245.51,25.84,0.39,211741.64,3.42
1601979.53,25.84,0.39,211736.42,3.42
1601979.53,25.84,0.39,211714.4,3.42
1602176.33,25.85,0.4,211719.96,3.42
1602176.33,25.85,0.4,211745.59,3.42
1601707.52,25.85,0.39,211217.09,3.41
1601549.48,25.84,0.39,211059.94,3.41
1601549.48,25.84,0.39,211059.94,3.41
1600891.89,25.84,0.39,210342.94,3.39
1600659.36,25.84,0.39,210344.31,3.4
1600190.54,25.83,0.38,209815.81,3.39
1599924.57,25.83,0.38,209741.0,3.39
1599822.56,25.83,0.38,209642.17,3.39
1599558.0,25.83,0.38,209613.46,3.39
1599558.0,25.83,0.38,209882.53,3.39
1599174.98,25.83,0.38,209853.48,3.39
1598910.42,25.83,0.38,209846.08,3.39
1598650.51,25.83,0.38,209826.27,3.39
1598372.26,25.83,0.38,209895.97,3.39
1598094.02,25.83,0.38,209849.43,3.39
1597815.78,25.83,0.38,209813.15,3.39
1597984.04,25.83,0.38,210754.85,3.41
1597984.04,25.83,0.38,210709.67,3.41
1597777.85,25.83,0.38,210638.84,3.41
1597777.85,25.83,0.38,210687.45,3.41
1597522.84,25.83,0.38,210689.3,3.41
1597226.61,25.83,0.38,210402.55,3.4
1596939.59,25.83,0.38,210372.57,3.4
1596939.59,25.83,0.38,210338.19,3.4
1596729.1,25.83,0.38,209893.56,3.39
1596071.51,25.82,0.37,209176.56,3.38
1595602.7,25.82,0.37,208648.06,3.38
1595602.7,25.82,0.37,208688.19,3.38
1595568.61,25.82,0.37,208594.03,3.38
1595281.58,25.82,0.37,208622.74,3.38
1594994.56,25.82,0.37,208598.31,3.38
1594336.97,25.81,0.36,207881.31,3.37
1594317.59,25.81,0.36,207795.93,3.36
1594034.06,25.81,0.36,207783.13,3.36
1593745.87,25.81,0.36,207850.86,3.37
1593088.29,25.8,0.36,207133.86,3.35
1592619.47,25.8,0.35,206605.36,3.35
1591975.83,25.79,0.35,206031.18,3.34
1591318.25,25.79,0.34,205314.18,3.33
1591636.21,25.79,0.35,205833.43,3.34
1591348.02,25.79,0.35,205758.71,3.33
1590690.44,25.79,0.34,205041.71,3.32
1590402.25,25.78,0.34,205033.2,3.32
1590147.25,25.78,0.34,205038.78,3.32
1590147.25,25.78,0.34,204954.56,3.32
1589860.22,25.78,0.34,204923.65,3.32
1589573.2,25.78,0.34,204949.45,3.32
1589256.87,25.78,0.34,204713.38,3.32
1588788.06,25.78,0.33,204184.88,3.31
1588501.04,25.78,0.33,204164.53,3.31
1588217.5,25.78,0.33,204147.76,3.31
1587748.69,25.77,0.33,203619.26,3.31
1587748.69,25.77,0.33,203601.28,3.3
1587460.5,25.77,0.33,203690.17,3.31
1587172.31,25.77,0.33,203682.85,3.31
1586807.57,25.77,0.33,203044.68,3.3
1585691.49,25.77,0.33,203008.55,3.3
1585691.49,25.77,0.33,203029.15,3.3
