ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,11,1810,6212,1810
4,12,2810,6212,2810
5,13,3810,6212,3810
6,14,4620,6212,4620
7,15,5090,6212,5090
8,17,5740,6212,5740
8,17,6550,6212,6550
9,19,6780,6212,6780
9,19,7590,6212,7590
9,19,8590,6212,8590
9,19,9060,6212,9060
10,20,9520,6212,9520
10,20,9520,6212,9520
11,22,10520,6212,10520
12,23,10980,6212,10980
13,24,11440,6212,11440
14,25,12440,6212,12440
14,25,13440,6212,13440
14,25,13440,6212,13440
15,33,13910,6212,13910
15,33,13910,6212,13910
16,34,14720,6212,14720
16,34,14880,6212,14880
16,34,14880,6212,14880
17,35,15880,6212,15880
17,35,16880,6212,16880
18,36,17690,6212,17690
19,38,18690,6212,18690
19,38,18800,6212,18800
19,38,19800,6212,19800
19,38,19800,6212,19800
19,38,20270,6212,20270
19,38,21270,6212,21270
19,38,22270,6212,22270
19,38,23270,6212,23270
19,38,24270,6212,24270
19,38,25270,6212,25270
19,38,25740,6212,25740
19,38,25740,6212,25740
20,40,26740,6212,26740
20,40,26740,6212,26740
21,42,27740,6212,27740
21,42,28060,6212,28060
21,42,29060,6212,29060
21,42,29060,6212,29060
21,42,29380,6212,29380
22,43,30380,6212,30380
23,44,31190,6212,31190
23,44,31190,6212,31190
24,45,31560,6212,31560
25,47,32560,6212,32560
26,55,33560,6212,33560
27,56,34560,6212,34560
28,57,34880,6212,34880
28,57,35880,6212,35880
28,57,36880,6212,36880
29,58,37880,6212,37880
30,59,38690,6212,38690
31,60,39690,6212,39690
32,61,40690,6212,40690
32,61,41010,6212,41010
32,61,42010,6212,42010
33,62,43010,6212,43010
33,62,44010,6212,44010
33,62,45010,6212,45010
33,62,45010,6212,45010
