ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1605509.88,25.85,0.39,213537.82,3.44
1980737.37,31.89,0.36,197119.62,3.17
1980484.74,31.89,0.36,197019.77,3.17
1980158.42,31.89,0.36,197012.7,3.17
1979832.11,31.89,0.36,197012.7,3.17
1979369.47,31.89,0.36,196613.23,3.17
1979236.32,31.89,0.36,196438.11,3.16
1979245.26,31.89,0.36,196331.73,3.16
1979182.63,31.89,0.36,196511.21,3.17
1979570.32,31.9,0.37,196885.91,3.17
1979507.68,31.9,0.37,197194.13,3.18
1979181.37,31.9,0.37,197194.13,3.18
1978841.05,31.9,0.37,196890.82,3.17
1978717.89,31.9,0.37,196725.71,3.17
1978717.89,31.9,0.37,197161.47,3.18
1978391.58,31.9,0.37,196944.44,3.18
1978278.95,31.9,0.37,196894.97,3.18
1978155.79,31.9,0.37,196729.85,3.17
1977492.63,31.9,0.37,196024.74,3.16
1977166.32,31.9,0.37,196022.37,3.16
1977166.32,31.9,0.37,196045.01,3.16
1977276.42,31.9,0.37,196041.65,3.16
1977276.42,31.9,0.37,196091.09,3.16
1976803.26,31.9,0.37,195575.98,3.16
1976643.26,31.9,0.37,195415.98,3.15
1976643.26,31.9,0.37,195392.46,3.15
1975980.11,31.89,0.36,194687.35,3.14
1975653.79,31.89,0.36,194658.18,3.14
1975180.63,31.89,0.36,194143.06,3.13
1974854.32,31.89,0.36,194458.47,3.14
1974744.32,31.89,0.36,194348.47,3.14
1974418.0,31.89,0.36,194324.17,3.14
1974418.0,31.89,0.36,194322.02,3.14
1974020.53,31.88,0.35,194321.63,3.14
1973694.21,31.88,0.35,194319.75,3.14
1973367.89,31.88,0.35,194319.75,3.14
1973041.58,31.88,0.35,194757.68,3.15
1972715.26,31.88,0.35,194734.27,3.15
1972388.95,31.88,0.35,194731.9,3.15
1972499.05,31.89,0.36,194864.46,3.15
1972499.05,31.89,0.36,194864.46,3.15
1972246.42,31.89,0.36,194764.6,3.15
1972246.42,31.89,0.36,194764.6,3.15
1971920.11,31.89,0.36,194762.95,3.15
1971614.84,31.88,0.36,194462.13,3.14
1971288.53,31.88,0.36,194579.07,3.15
1971288.53,31.88,0.36,194579.07,3.15
1971041.05,31.88,0.35,194467.35,3.15
1970377.89,31.87,0.35,193762.24,3.13
1969904.74,31.87,0.34,193247.13,3.13
1969904.74,31.87,0.34,193247.13,3.13
1969871.58,31.87,0.35,193172.02,3.13
1969545.26,31.87,0.35,193113.08,3.13
1969229.47,31.87,0.35,193112.72,3.13
1968566.32,31.87,0.34,192407.61,3.11
1968561.68,31.87,0.34,192361.02,3.11
1968235.37,31.87,0.34,192356.99,3.11
1967909.05,31.87,0.34,192356.99,3.12
1967245.89,31.86,0.34,191651.88,3.1
