ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1794185.93,28.88,0.37,203782.42,3.28
1794105.99,28.89,0.37,203791.37,3.28
1793837.81,28.89,0.37,203773.35,3.28
1793622.32,28.89,0.37,203709.85,3.28
1793406.83,28.89,0.37,203702.49,3.28
1793379.3,28.89,0.38,203798.61,3.28
1793555.93,28.9,0.38,203802.91,3.28
1793615.02,28.9,0.39,203804.26,3.28
1793587.49,28.9,0.39,203900.38,3.29
1793964.04,28.91,0.4,203921.07,3.29
1793936.51,28.91,0.4,204017.2,3.29
1793668.34,28.91,0.4,204019.53,3.29
1793819.53,28.92,0.4,204027.09,3.29
1794004.55,28.92,0.41,204027.57,3.29
1794004.55,28.92,0.41,203971.52,3.29
1793787.51,28.93,0.41,203990.04,3.29
1793972.53,28.93,0.41,203990.52,3.29
1794157.55,28.94,0.42,203991.0,3.29
1793889.38,28.94,0.42,203991.45,3.29
1793621.21,28.94,0.42,203993.78,3.29
1793621.21,28.94,0.42,203938.75,3.29
1793837.65,28.94,0.42,204009.71,3.29
1793867.61,28.94,0.43,204021.96,3.29
1793761.72,28.94,0.43,203585.57,3.29
1794083.84,28.95,0.43,203526.56,3.28
1794115.35,28.95,0.43,204174.61,3.29
1793899.85,28.95,0.43,204111.55,3.29
1793631.68,28.95,0.43,204113.88,3.29
1793606.48,28.96,0.44,204100.96,3.29
1793390.98,28.96,0.44,204037.9,3.29
1793738.17,28.96,0.44,204023.35,3.29
1793469.99,28.96,0.44,204025.68,3.29
1793484.45,28.96,0.44,204018.8,3.29
1793700.9,28.97,0.45,204089.76,3.3
1793432.73,28.97,0.45,204094.28,3.3
1793134.6,28.97,0.45,204084.22,3.3
1792866.42,28.97,0.45,204086.55,3.3
1792581.34,28.97,0.45,204138.59,3.3
1792313.16,28.97,0.45,204140.93,3.3
1792529.61,28.98,0.46,204211.89,3.3
1792559.56,28.98,0.46,204224.14,3.3
1792291.39,28.98,0.46,204222.88,3.3
1792291.39,28.98,0.46,204212.98,3.3
1791997.78,28.98,0.46,204214.76,3.3
1792305.13,28.98,0.46,204275.02,3.3
1792027.14,28.98,0.46,204265.32,3.3
1792041.6,28.98,0.46,204258.43,3.3
1792317.17,28.99,0.47,204256.38,3.3
1792101.67,28.99,0.47,204193.32,3.3
1792074.14,28.99,0.47,204289.45,3.31
1793404.29,29.02,0.49,205375.65,3.32
1793691.17,29.02,0.5,205315.47,3.32
1793423.0,29.02,0.5,205319.99,3.32
1793154.83,29.02,0.5,205317.02,3.32
1792886.65,29.02,0.5,205317.46,3.32
1793194.0,29.03,0.51,205377.73,3.32
1792978.5,29.03,0.51,205314.66,3.32
1792710.33,29.03,0.51,205311.69,3.32
1792442.16,29.03,0.51,205309.76,3.33
1792362.22,29.03,0.51,205318.71,3.33
1792094.05,29.03,0.51,205316.29,3.33
1791825.87,29.03,0.51,205316.73,3.33
1792133.22,29.04,0.52,205377.0,3.33
1791865.05,29.04,0.52,205376.07,3.33
1791649.55,29.04,0.52,205313.01,3.33
1791381.38,29.04,0.52,205315.34,3.33
1791165.89,29.04,0.52,205307.97,3.33
1791165.89,29.04,0.52,205252.95,3.33
1790897.71,29.04,0.52,205252.02,3.33
1790974.67,29.05,0.53,205080.14,3.33
1791191.11,29.06,0.53,205151.1,3.33
1790703.82,29.05,0.53,204621.04,3.32
1790487.55,29.05,0.53,204605.18,3.32
1790376.38,29.06,0.53,204127.28,3.31
1790296.44,29.06,0.53,204136.23,3.31
1790310.9,29.06,0.53,204129.34,3.31
1790095.41,29.06,0.53,204134.6,3.31
1790172.36,29.07,0.54,203942.35,3.31
1790092.42,29.07,0.54,203951.3,3.31
1788828.12,29.07,0.54,203918.45,3.31
1788828.12,29.07,0.54,203863.9,3.31
1788722.75,29.07,0.55,203875.18,3.31
1788722.75,29.07,0.55,203820.64,3.31
1788642.81,29.07,0.55,203829.58,3.31
1788337.19,29.07,0.55,203771.01,3.31
1788069.02,29.07,0.55,203750.39,3.31
1788069.02,29.07,0.55,203695.36,3.31
1788041.49,29.08,0.55,203791.49,3.31
1787773.31,29.08,0.55,203788.52,3.31
1787479.19,29.08,0.55,203106.99,3.3
1787263.7,29.08,0.55,203043.48,3.3
1786995.52,29.08,0.55,203045.81,3.3
1787417.76,29.09,0.56,203167.5,3.31
1787337.82,29.09,0.56,203176.45,3.31
1787069.65,29.09,0.57,203174.02,3.31
1786784.56,29.09,0.57,202934.8,3.3
1787375.78,29.1,0.58,203245.36,3.31
1787683.13,29.11,0.58,203305.62,3.31
1787683.13,29.11,0.58,203251.08,3.31
1787657.92,29.11,0.59,203238.16,3.31
1787577.98,29.11,0.59,203247.11,3.31
1787779.78,29.12,0.59,203228.43,3.31
1787673.89,29.12,0.6,202792.04,3.3
1788667.82,29.14,0.61,203685.14,3.32
1788682.28,29.14,0.61,203672.61,3.32
1788383.89,29.14,0.61,203602.68,3.32
1788168.4,29.14,0.61,203539.16,3.32
1787952.91,29.14,0.61,203544.42,3.32
1787925.38,29.14,0.62,203640.55,3.32
1787709.88,29.15,0.62,203577.04,3.32
1787886.51,29.15,0.62,203581.89,3.32
1787671.02,29.15,0.62,203687.13,3.32
1787393.03,29.15,0.62,203689.46,3.32
1787313.09,29.16,0.62,203698.41,3.32
1787044.92,29.16,0.62,203702.93,3.32
1786739.3,29.16,0.62,203955.86,3.33
1786523.81,29.16,0.62,203892.42,3.33
1786538.27,29.16,0.62,203885.53,3.33
1786538.27,29.16,0.62,203977.58,3.33
1786538.27,29.16,0.62,203953.83,3.33
1786538.27,29.16,0.62,203896.37,3.33
1786270.1,29.16,0.63,203900.89,3.33
1786054.6,29.16,0.63,203837.59,3.33
1785839.11,29.16,0.63,203842.85,3.33
1785811.58,29.16,0.63,203938.98,3.33
1785811.58,29.16,0.63,203880.6,3.33
1785826.04,29.16,0.63,203873.72,3.33
1785610.55,29.16,0.63,203866.35,3.33
1786604.48,29.18,0.64,204759.44,3.34
1786604.48,29.18,0.64,204749.54,3.34
1786618.94,29.18,0.64,204742.65,3.34
1786728.05,29.19,0.65,204738.63,3.34
1786648.11,29.19,0.65,204747.58,3.34
1787642.04,29.2,0.67,205640.67,3.36
1787426.55,29.21,0.67,205645.93,3.36
1787118.61,29.21,0.67,205563.01,3.36
1787333.5,29.21,0.67,205876.84,3.36
1787118.01,29.21,0.67,205882.1,3.37
1786849.83,29.21,0.67,205879.68,3.37
1786822.3,29.22,0.68,205817.17,3.37
1786554.13,29.22,0.68,205821.69,3.37
1786338.64,29.22,0.68,205758.43,3.37
1786353.1,29.22,0.68,205745.9,3.37
1786775.34,29.23,0.69,205867.59,3.37
1786559.85,29.23,0.69,205860.22,3.37
1787553.78,29.25,0.7,206753.32,3.38
1787581.12,29.25,0.71,206999.7,3.39
