ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,2,0,6212,0
2,3,810,6212,810
3,5,1810,6212,1810
4,7,2810,6212,2810
5,9,3810,6212,3810
5,9,4620,6212,4620
5,9,5090,6212,5090
6,11,5740,6212,5740
6,11,6550,6212,6550
6,11,6780,6212,6780
7,12,7590,6212,7590
8,20,8590,6212,8590
9,22,9060,6212,9060
10,24,9520,6212,9520
11,26,9520,6212,9520
11,26,10520,6212,10520
11,26,10980,6212,10980
12,27,11440,6212,11440
13,28,12440,6212,12440
14,30,13440,6212,13440
14,30,13440,6212,13440
15,32,13910,6212,13910
16,36,13910,6212,13910
16,36,14720,6212,14720
16,36,14880,6212,14880
17,38,14880,6212,14880
17,38,15880,6212,15880
17,38,16880,6212,16880
18,39,17690,6212,17690
19,41,18690,6212,18690
20,43,18800,6212,18800
21,45,19800,6212,19800
22,47,19800,6212,19800
23,48,20270,6212,20270
24,50,21270,6212,21270
24,50,22270,6212,22270
25,52,23270,6212,23270
26,56,24270,6212,24270
27,58,25270,6212,25270
28,60,25740,6212,25740
29,64,25740,6212,25740
29,64,26740,6212,26740
30,66,26740,6212,26740
31,68,27740,6212,27740
31,68,28060,6212,28060
32,72,29060,6212,29060
33,74,29060,6212,29060
34,76,29380,6212,29380
34,76,30380,6212,30380
34,76,31190,6212,31190
35,78,31190,6212,31190
35,78,31560,6212,31560
36,80,32560,6212,32560
37,82,33560,6212,33560
37,82,34560,6212,34560
38,84,34880,6212,34880
38,84,35880,6212,35880
39,86,36880,6212,36880
39,86,37880,6212,37880
39,86,38690,6212,38690
39,86,39690,6212,39690
39,86,40690,6212,40690
39,86,41010,6212,41010
39,86,42010,6212,42010
40,88,43010,6212,43010
41,90,44010,6212,44010
41,90,45010,6212,45010
41,90,45010,6212,45010
42,92,46010,6212,46010
43,94,47010,6212,47010
43,94,47480,6212,47480
43,94,48290,6212,48290
44,96,49290,6212,49290
44,96,50290,6212,50290
44,96,51100,6212,51100
45,98,51100,6212,51100
46,100,52100,6212,52100
47,102,53100,6212,53100
47,102,53910,6212,53910
47,102,57910,6212,57910
47,102,57910,6212,57910
47,102,58720,6212,58720
