name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,7,500,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001-openb-node-0858,,G2,96,8,412316860416,20000,10,1432,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,10,200,0,0,10,200
0002-openb-node-0619,,G2,96,8,412316860416,20000,10,1278,412316860416,0,0,0,0,0,0,0,0,60,1200,0,0,0,0,30,600,90,1800
0003-openb-node-0582,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-0882,,T4,104,2,549755813888,15109,10,248,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0005-openb-node-1135,,G2,96,8,412316860416,20000,9,40,412316860416,0,0,0,0,0,0,530,10600,0,0,0,0,0,0,0,0,530,10600
0006-openb-node-0431,,P100,16,2,128849018880,16280,2,0,128849018880,530,8628,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1530,24908
0007-openb-node-1096,,T4,104,2,549755813888,15109,9,388,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-1052,,P100,16,2,128849018880,16280,3,648,128849018880,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0009-openb-node-0985,,P100,16,2,128849018880,16280,2,92,128849018880,120,1953,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1120,18233
0010-openb-node-1151,,T4,104,2,549755813888,15109,7,300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011-openb-node-1171,,G2,96,8,412316860416,20000,11,240,412316860416,0,0,0,0,210,4200,0,0,80,1600,0,0,0,0,0,0,290,5800
0012-openb-node-0016,,P100,64,2,274877906944,16280,3,7400,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0003,,P100,64,2,274877906944,16280,5,448,274877906944,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1302
0014-openb-node-0877,,T4,104,2,549755813888,15109,8,3448,549755813888,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1964
0015-openb-node-0256,,V100M32,96,8,824633720832,32510,3,3900,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016-openb-node-0382,,G2,96,8,412316860416,20000,10,414,412316860416,0,0,0,0,0,0,0,0,210,4200,0,0,0,0,0,0,210,4200
0017-openb-node-0280,,G2,96,8,412316860416,20000,5,12796,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,190,3800,680,13600,1060,21200
0018-openb-node-0080,,G2,96,8,412316860416,20000,7,1092,412316860416,0,0,0,0,240,4800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,5240,104800
0019-openb-node-0320,,G3,128,8,824633720832,30000,14,3740,824633720832,0,0,0,0,0,0,0,0,170,5100,0,0,0,0,0,0,170,5100
0020-openb-node-1170,,G3,128,8,824633720832,30000,1,7800,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021-openb-node-0764,,G2,96,8,412316860416,20000,4,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022-openb-node-0717,,T4,104,2,549755813888,15109,7,548,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023-openb-node-0074,,G2,96,8,412316860416,20000,9,638,412316860416,0,0,0,0,0,0,120,2400,0,0,630,12600,1000,20000,1000,20000,2750,55000
0024-openb-node-0430,,P100,16,2,128849018880,16280,2,92,128849018880,210,3418,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1210,19698
0025-openb-node-0466,,G2,96,8,412316860416,20000,9,384,412316860416,0,0,0,0,60,1200,0,0,0,0,370,7400,0,0,1000,20000,1430,28600
0026-openb-node-0989,,P100,8,2,64424509440,16280,3,0,64424509440,540,8791,30,488,0,0,0,0,0,0,0,0,0,0,0,0,570,9279
0027-openb-node-0321,,G2,96,8,412316860416,20000,11,2580,412316860416,0,0,0,0,0,0,0,0,60,1200,0,0,120,2400,0,0,180,3600
0028-openb-node-0014,,P100,64,2,274877906944,16280,2,1800,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0029-openb-node-1026,,T4,104,2,549755813888,15109,8,5048,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0030-openb-node-0019,,P100,64,2,274877906944,16280,5,6800,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0031-openb-node-0780,,T4,104,2,549755813888,15109,7,10038,549755813888,50,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0032-openb-node-0849,,G2,96,8,412316860416,20000,4,3500,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0033-openb-node-0775,,T4,104,2,549755813888,15109,7,6990,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0034-openb-node-1196,,T4,104,2,549755813888,15109,6,3292,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0035-openb-node-1066,,G2,96,8,412316860416,20000,5,6440,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0036-openb-node-0853,,G2,96,8,412316860416,20000,12,1932,412316860416,0,0,0,0,0,0,210,4200,140,2800,60,1200,0,0,0,0,410,8200
0037-openb-node-1080,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0038-openb-node-0912,,G2,96,8,412316860416,20000,9,772,412316860416,0,0,0,0,0,0,210,4200,0,0,190,3800,530,10600,0,0,930,18600
0039-openb-node-0477,,G2,96,8,412316860416,20000,3,3900,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0040-openb-node-0632,,G2,96,8,412316860416,20000,9,4580,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0041-openb-node-1161,,T4,104,2,549755813888,15109,8,4240,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0042-openb-node-0333,,G3,128,8,824633720832,30000,13,344,824633720832,0,0,0,0,0,0,0,0,0,0,190,5700,0,0,0,0,190,5700
0043-openb-node-1003,,P100,16,2,128849018880,16280,3,0,128849018880,540,8791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
