ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,10,1810,6212,1810
4,11,2810,6212,2810
5,13,3810,6212,3810
6,15,4620,6212,4620
6,15,5090,6212,5090
7,17,5740,6212,5740
7,17,6550,6212,6550
7,17,6780,6212,6780
8,18,7590,6212,7590
8,18,8590,6212,8590
9,20,9060,6212,9060
10,21,9520,6212,9520
10,21,9520,6212,9520
10,21,10520,6212,10520
11,22,10980,6212,10980
12,23,11440,6212,11440
12,23,12440,6212,12440
12,23,13440,6212,13440
12,23,13440,6212,13440
13,25,13910,6212,13910
14,33,13910,6212,13910
14,33,14720,6212,14720
14,33,14880,6212,14880
14,33,14880,6212,14880
15,35,15880,6212,15880
15,35,16880,6212,16880
15,35,17690,6212,17690
15,35,18690,6212,18690
15,35,18800,6212,18800
15,35,19800,6212,19800
15,35,19800,6212,19800
15,35,20270,6212,20270
15,35,21270,6212,21270
15,35,22270,6212,22270
16,37,23270,6212,23270
17,41,24270,6212,24270
17,41,25270,6212,25270
18,43,25740,6212,25740
19,51,25740,6212,25740
20,53,26740,6212,26740
20,53,26740,6212,26740
20,53,27740,6212,27740
20,53,28060,6212,28060
21,57,29060,6212,29060
21,57,29060,6212,29060
21,57,29380,6212,29380
21,57,30380,6212,30380
22,58,31190,6212,31190
22,58,31190,6212,31190
23,60,31560,6212,31560
23,60,32560,6212,32560
24,62,33560,6212,33560
24,62,34560,6212,34560
24,62,34880,6212,34880
25,64,35880,6212,35880
25,64,36880,6212,36880
25,64,37880,6212,37880
25,64,38690,6212,38690
25,64,39690,6212,39690
25,64,40690,6212,40690
25,64,41010,6212,41010
25,64,42010,6212,42010
26,66,43010,6212,43010
26,66,44010,6212,44010
27,68,45010,6212,45010
28,76,45010,6212,45010
28,76,46010,6212,46010
28,76,47010,6212,47010
29,77,47480,6212,47480
