ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1794185.93,28.88,0.37,204912.38,3.3
1793698.63,28.88,0.37,204382.33,3.29
1793370.16,28.88,0.37,204264.98,3.29
1793041.69,28.88,0.37,204147.63,3.29
1792826.2,28.88,0.37,204140.27,3.29
1792798.67,28.88,0.37,204236.39,3.29
1793013.56,28.89,0.38,204550.22,3.3
1793435.8,28.9,0.38,204671.91,3.3
1792883.71,28.89,0.38,204176.43,3.29
1792741.74,28.89,0.38,204164.73,3.29
1792269.17,28.89,0.37,203779.68,3.28
1792000.99,28.89,0.38,203780.8,3.28
1792592.21,28.9,0.39,204091.36,3.29
1792455.11,28.9,0.39,203911.76,3.29
1792455.11,28.9,0.39,203885.92,3.29
1792238.07,28.9,0.39,203824.48,3.29
1792100.96,28.9,0.39,203644.89,3.28
1791963.86,28.9,0.39,203465.29,3.28
1791665.73,28.9,0.39,203528.4,3.28
1791367.6,28.9,0.39,203486.08,3.28
1791416.02,28.9,0.39,203699.07,3.29
1791632.46,28.91,0.39,203770.03,3.29
1791662.42,28.91,0.39,203783.19,3.29
1791121.35,28.9,0.39,203278.84,3.28
1790962.72,28.9,0.39,203120.49,3.28
1792763.88,28.93,0.42,207426.27,3.35
1792548.39,28.93,0.42,207363.21,3.35
1792250.26,28.93,0.42,207330.22,3.35
1792221.18,28.93,0.42,207669.22,3.35
1792004.14,28.93,0.42,207663.47,3.35
1791895.51,28.93,0.42,207555.12,3.35
1791597.38,28.93,0.42,208251.09,3.36
1791602.03,28.93,0.42,208327.44,3.36
1791230.09,28.93,0.41,208090.07,3.36
1791111.31,28.93,0.42,208092.84,3.36
1792392.39,28.96,0.44,209994.89,3.39
1792469.34,28.96,0.45,209802.64,3.39
1792184.26,28.96,0.45,209854.68,3.39
1792578.83,28.97,0.46,210048.94,3.4
1792719.71,28.98,0.46,210116.04,3.4
1792749.66,28.98,0.46,210129.2,3.4
1792451.28,28.98,0.46,210059.27,3.4
1792451.28,28.98,0.46,210028.03,3.4
1792151.34,28.98,0.46,210022.49,3.4
1791920.13,28.98,0.46,209886.31,3.39
1791635.04,28.98,0.46,209269.26,3.38
1791635.04,28.98,0.46,210654.52,3.41
1791869.62,28.98,0.47,211374.22,3.42
1791122.82,28.97,0.46,210652.68,3.41
1790635.53,28.97,0.46,210122.62,3.4
1790713.0,28.97,0.46,210670.99,3.41
1790999.87,28.98,0.46,210610.81,3.41
1791394.45,28.99,0.48,211955.95,3.43
1791454.36,29.0,0.48,211719.63,3.43
1790724.6,28.99,0.47,211042.16,3.42
1790521.86,28.99,0.47,211361.29,3.42
1790306.37,28.99,0.47,211298.23,3.42
1790089.32,28.99,0.47,211292.49,3.42
1789502.36,28.98,0.47,210931.44,3.42
1789473.28,28.99,0.47,211061.42,3.42
1790117.57,29.0,0.49,210479.33,3.41
1789360.18,28.99,0.48,209701.06,3.4
1789160.7,28.99,0.48,209421.54,3.39
1790206.8,29.01,0.5,209993.81,3.4
1789991.3,29.02,0.5,209930.75,3.4
1789774.26,29.02,0.5,209925.01,3.4
1789558.76,29.02,0.5,209917.64,3.4
1789588.72,29.02,0.5,209930.8,3.4
1789371.68,29.02,0.5,209869.36,3.4
1791863.09,29.07,0.54,213328.99,3.46
1791717.17,29.06,0.54,213140.58,3.46
1791229.88,29.06,0.54,212610.52,3.45
1791014.38,29.06,0.54,212603.15,3.45
1790797.34,29.06,0.54,212541.71,3.45
1790310.05,29.06,0.54,212011.66,3.44
1790310.05,29.06,0.54,211980.41,3.44
1790011.66,29.06,0.54,211980.84,3.44
1789711.72,29.06,0.54,211904.94,3.44
1789224.43,29.05,0.53,211374.88,3.43
1788362.45,29.06,0.53,211336.21,3.43
1788362.45,29.06,0.53,212721.47,3.46
1787875.16,29.06,0.53,212191.41,3.45
1787881.36,29.06,0.53,212632.26,3.46
1787394.06,29.05,0.52,212102.2,3.45
1787095.68,29.05,0.52,212034.93,3.45
1786795.74,29.05,0.52,212026.73,3.45
1786795.74,29.05,0.52,212026.73,3.45
1786768.21,29.05,0.53,212122.86,3.45
1786828.12,29.06,0.53,211886.53,3.45
1786098.36,29.05,0.53,211209.06,3.44
1785882.87,29.05,0.53,211145.55,3.44
1785665.82,29.06,0.53,211140.25,3.44
1785773.38,29.06,0.53,211398.4,3.44
1785286.09,29.06,0.53,210868.34,3.43
1785239.35,29.06,0.53,209594.21,3.41
1784933.73,29.06,0.53,209513.88,3.41
1785524.95,29.07,0.54,209824.44,3.42
1785229.91,29.07,0.54,209621.62,3.41
1788057.93,29.11,0.59,215795.15,3.51
1788030.4,29.12,0.59,215891.28,3.52
1788001.32,29.12,0.59,216049.23,3.52
1788200.79,29.13,0.6,215988.1,3.52
1787659.72,29.12,0.59,215483.75,3.51
1787659.72,29.12,0.59,215483.75,3.51
1787659.72,29.12,0.59,215483.75,3.51
1787366.76,29.12,0.59,216106.48,3.52
1787405.75,29.13,0.6,215920.34,3.52
1787190.26,29.13,0.6,215925.6,3.52
1787161.18,29.13,0.6,216509.94,3.53
1786944.14,29.13,0.6,216435.88,3.53
1787160.58,29.14,0.6,216506.84,3.53
1786945.09,29.14,0.6,216443.33,3.53
1786728.04,29.14,0.6,216438.04,3.53
1786698.96,29.15,0.61,216777.03,3.54
1786775.92,29.15,0.61,216605.15,3.53
1786470.3,29.15,0.61,216858.46,3.54
1785798.12,29.14,0.61,216288.8,3.53
1785798.12,29.14,0.61,216288.8,3.53
1785798.12,29.14,0.61,216288.8,3.53
