ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,10,1810,6212,1810
4,11,2810,6212,2810
5,13,3810,6212,3810
5,13,4620,6212,4620
6,14,5090,6212,5090
7,16,5740,6212,5740
8,17,6550,6212,6550
8,17,6780,6212,6780
9,18,7590,6212,7590
9,18,8590,6212,8590
9,18,9060,6212,9060
9,18,9520,6212,9520
9,18,9520,6212,9520
9,18,10520,6212,10520
10,19,10980,6212,10980
11,20,11440,6212,11440
12,21,12440,6212,12440
12,21,13440,6212,13440
12,21,13440,6212,13440
13,23,13910,6212,13910
13,23,13910,6212,13910
14,24,14720,6212,14720
14,24,14880,6212,14880
14,24,14880,6212,14880
14,24,15880,6212,15880
14,24,16880,6212,16880
15,25,17690,6212,17690
16,27,18690,6212,18690
16,27,18800,6212,18800
16,27,19800,6212,19800
16,27,19800,6212,19800
16,27,20270,6212,20270
17,29,21270,6212,21270
18,33,22270,6212,22270
18,33,23270,6212,23270
19,37,24270,6212,24270
20,45,25270,6212,25270
20,45,25740,6212,25740
20,45,25740,6212,25740
20,45,26740,6212,26740
20,45,26740,6212,26740
20,45,27740,6212,27740
20,45,28060,6212,28060
21,53,29060,6212,29060
21,53,29060,6212,29060
22,54,29380,6212,29380
23,55,30380,6212,30380
24,56,31190,6212,31190
24,56,31190,6212,31190
24,56,31560,6212,31560
24,56,32560,6212,32560
24,56,33560,6212,33560
25,57,34560,6212,34560
25,57,34880,6212,34880
26,59,35880,6212,35880
26,59,36880,6212,36880
27,60,37880,6212,37880
28,61,38690,6212,38690
29,69,39690,6212,39690
30,70,40690,6212,40690
31,71,41010,6212,41010
31,71,42010,6212,42010
31,71,43010,6212,43010
31,71,44010,6212,44010
32,73,45010,6212,45010
32,73,45010,6212,45010
32,73,46010,6212,46010
33,81,47010,6212,47010
34,82,47480,6212,47480
