ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1794185.93,28.88,0.37,204912.38,3.3
1793698.63,28.88,0.37,204382.33,3.29
1793370.16,28.88,0.37,204264.98,3.29
1793041.69,28.88,0.37,204147.63,3.29
1792826.2,28.88,0.37,204140.27,3.29
1792797.12,28.88,0.37,204240.27,3.29
1792665.92,28.88,0.37,204196.87,3.29
1792693.27,28.89,0.37,204188.65,3.29
1792205.97,28.88,0.37,203658.6,3.28
1791999.98,28.88,0.37,203807.44,3.28
1791512.68,28.87,0.36,203277.38,3.28
1791244.51,28.88,0.36,203278.5,3.28
1791391.18,28.88,0.37,203252.97,3.28
1791016.38,28.88,0.37,203376.28,3.28
1791016.38,28.88,0.37,203398.29,3.28
1790716.45,28.88,0.37,203300.29,3.28
1790579.34,28.88,0.37,203120.69,3.28
1790442.23,28.88,0.37,202941.1,3.27
1789766.32,28.87,0.36,202222.68,3.26
1789468.19,28.87,0.36,202158.34,3.26
1789468.19,28.87,0.36,202136.33,3.26
1789684.63,28.87,0.36,202207.29,3.26
1789684.63,28.87,0.36,202232.96,3.26
1789212.06,28.87,0.36,201847.91,3.26
1789054.09,28.87,0.36,201690.8,3.25
1789054.09,28.87,0.36,201690.8,3.25
1788837.05,28.87,0.36,201972.04,3.26
1788538.92,28.87,0.36,201902.96,3.26
1788051.63,28.87,0.35,201372.9,3.25
1787836.13,28.87,0.35,201309.84,3.25
1787726.4,28.87,0.35,201201.74,3.25
1787428.01,28.87,0.35,201189.87,3.25
1787428.01,28.87,0.35,201137.93,3.25
1787056.07,28.86,0.35,200828.85,3.24
1786756.14,28.86,0.35,200765.25,3.24
1786448.2,28.86,0.35,200755.34,3.24
1786152.39,28.86,0.35,201833.07,3.26
1785844.45,28.86,0.35,201899.36,3.26
1785546.07,28.86,0.35,201887.48,3.26
1785686.8,28.87,0.35,203682.68,3.29
1785686.8,28.87,0.35,203682.68,3.29
1785386.87,28.87,0.35,203619.08,3.29
1785386.87,28.87,0.35,203619.08,3.29
1785088.48,28.87,0.35,203551.8,3.29
1784851.73,28.86,0.35,202418.24,3.27
1784546.11,28.86,0.35,202226.78,3.27
1784546.11,28.86,0.35,202226.78,3.27
1784550.19,28.86,0.35,202188.37,3.27
1783874.27,28.86,0.35,201469.95,3.26
1783386.98,28.85,0.34,200939.9,3.25
1783386.98,28.85,0.34,201051.77,3.25
1783672.31,28.86,0.35,201342.01,3.26
1783372.37,28.86,0.35,201333.81,3.26
1783073.98,28.86,0.35,201263.62,3.26
1782398.06,28.85,0.34,200545.21,3.25
1782195.32,28.85,0.34,200429.53,3.24
1781979.83,28.85,0.34,200366.47,3.24
1781686.22,28.85,0.34,200366.2,3.24
1781010.3,28.85,0.34,199647.79,3.23
1780523.01,28.84,0.33,199117.73,3.23
1780254.84,28.84,0.33,199114.34,3.23
1779578.92,28.84,0.33,198395.92,3.21
1779541.38,28.84,0.33,198307.73,3.21
1779243.25,28.84,0.33,198281.99,3.21
1779026.21,28.84,0.33,198276.25,3.21
1778726.27,28.84,0.33,198270.96,3.21
1778510.78,28.84,0.33,198263.59,3.21
1778510.78,28.84,0.33,198826.54,3.22
1778187.21,28.84,0.33,198801.45,3.22
1777889.09,28.84,0.33,198758.68,3.22
1777757.89,28.84,0.33,198715.28,3.22
1777270.59,28.83,0.32,198185.22,3.22
1777053.55,28.84,0.32,198123.78,3.21
1776729.99,28.84,0.32,198149.65,3.22
1776242.69,28.83,0.32,197619.59,3.21
1776242.69,28.83,0.32,197583.43,3.21
1775919.13,28.83,0.32,197564.86,3.21
1775597.89,28.83,0.32,197549.99,3.21
1775110.6,28.83,0.32,197019.93,3.2
1773846.3,28.82,0.32,196987.08,3.2
1773846.3,28.82,0.32,197011.0,3.2
1773359.0,28.82,0.31,196480.94,3.19
1773359.0,28.82,0.31,196519.31,3.19
1772972.03,28.82,0.31,195956.91,3.19
1772647.69,28.82,0.31,196036.24,3.19
1771902.26,28.81,0.3,195398.08,3.18
1771902.26,28.81,0.3,195395.14,3.18
1771874.73,28.81,0.3,195491.27,3.18
1771551.17,28.81,0.3,195402.34,3.18
1770990.29,28.81,0.3,194724.88,3.17
1770665.18,28.81,0.3,194719.59,3.17
1770343.94,28.81,0.3,194703.85,3.17
1770346.87,28.81,0.3,194691.31,3.17
1769775.35,28.8,0.3,194168.21,3.16
1769480.32,28.8,0.3,193792.45,3.15
1769171.6,28.8,0.3,194208.2,3.16
1769312.48,28.81,0.3,194275.31,3.16
1769015.21,28.8,0.3,194355.62,3.16
1769015.21,28.8,0.3,194355.62,3.16
1768986.13,28.81,0.3,194513.58,3.17
1768880.23,28.81,0.3,194077.18,3.16
1769079.71,28.82,0.31,194016.06,3.16
1768892.21,28.82,0.31,193905.5,3.16
1768892.21,28.82,0.31,193905.5,3.16
1768892.21,28.82,0.31,193905.5,3.16
1768568.65,28.82,0.31,193822.11,3.16
1768243.54,28.82,0.31,193844.57,3.16
1767937.92,28.82,0.31,193793.67,3.16
1767832.54,28.82,0.31,193804.95,3.16
1767615.5,28.82,0.31,194203.79,3.17
1767236.24,28.81,0.31,194066.82,3.16
1767020.75,28.82,0.31,194003.31,3.16
1766720.81,28.82,0.31,194057.7,3.17
1766585.48,28.82,0.31,194038.53,3.17
1766261.92,28.82,0.31,194018.74,3.17
1765956.3,28.82,0.31,194271.86,3.17
1765632.74,28.82,0.31,194295.32,3.17
1765632.74,28.82,0.31,194283.95,3.17
