ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
2205030.98,35.5,0.32,192219.09,3.09
2204512.36,35.49,0.32,191689.98,3.09
2204147.49,35.49,0.32,191634.23,3.09
2204104.12,35.5,0.32,191404.81,3.08
2204076.12,35.5,0.33,191193.59,3.08
2203517.32,35.5,0.33,190705.62,3.07
2203678.71,35.5,0.33,190608.96,3.07
2203997.77,35.51,0.34,190738.08,3.07
2203424.86,35.51,0.34,190233.57,3.07
2203675.76,35.51,0.34,190839.61,3.08
2203105.78,35.51,0.34,190344.77,3.07
2203077.77,35.51,0.34,190133.55,3.06
2202753.46,35.51,0.34,189782.73,3.06
2202920.69,35.52,0.34,189690.31,3.06
2202920.69,35.52,0.34,189717.84,3.06
2202877.32,35.52,0.35,189488.42,3.06
2202668.59,35.52,0.35,189350.93,3.05
2202866.04,35.53,0.35,189303.6,3.05
2202158.5,35.52,0.35,188586.15,3.04
2202130.5,35.53,0.35,188374.93,3.04
2204600.3,35.57,0.39,191510.24,3.09
2205089.53,35.58,0.4,191791.87,3.09
2207559.32,35.62,0.44,194927.17,3.14
2206986.42,35.61,0.44,194422.67,3.14
2206894.51,35.61,0.44,194746.47,3.14
2207779.38,35.63,0.45,195646.14,3.16
2207016.48,35.62,0.45,194951.64,3.15
2206988.47,35.62,0.45,194740.42,3.14
2206415.56,35.62,0.45,194235.92,3.14
2206401.88,35.63,0.45,194042.89,3.13
2206312.37,35.62,0.45,193718.19,3.13
2205969.45,35.62,0.45,193720.17,3.13
2206854.32,35.64,0.47,194619.84,3.14
2206700.01,35.64,0.47,194553.94,3.14
2206672.01,35.64,0.47,194368.3,3.14
2206644.0,35.65,0.48,194182.65,3.14
2206615.99,35.66,0.48,193971.43,3.13
2206246.22,35.66,0.48,193948.12,3.13
2206218.21,35.66,0.49,193736.9,3.13
2206707.44,35.67,0.5,194018.53,3.14
2209177.24,35.71,0.54,197153.84,3.19
2208932.4,35.71,0.54,197402.52,3.19
2209817.28,35.73,0.55,198302.18,3.21
2209572.44,35.73,0.55,198253.32,3.21
2209502.3,35.73,0.56,198275.97,3.21
2209488.62,35.74,0.56,198082.94,3.2
2210373.49,35.75,0.58,198982.61,3.22
2210855.52,35.76,0.59,199085.54,3.22
2210078.28,35.75,0.58,198372.84,3.21
2209505.38,35.75,0.57,197842.76,3.2
2210714.46,35.77,0.59,198937.04,3.22
2210581.56,35.77,0.59,198846.96,3.22
2210553.55,35.77,0.6,198661.32,3.21
2210511.09,35.78,0.6,198432.8,3.21
2209748.18,35.77,0.6,197738.3,3.2
2209665.27,35.77,0.6,197723.8,3.2
2209651.59,35.78,0.6,197530.77,3.2
2209406.76,35.78,0.6,197527.13,3.2
2209036.98,35.78,0.6,197558.97,3.2
2208449.75,35.77,0.6,197036.27,3.19
2208079.98,35.77,0.6,197008.75,3.19
2207835.14,35.78,0.6,196959.89,3.19
2208116.72,35.78,0.61,197476.53,3.2
2208103.03,35.79,0.61,197283.5,3.2
2207340.13,35.78,0.6,196563.43,3.19
2207312.12,35.79,0.61,196352.2,3.18
2207284.11,35.79,0.62,196140.98,3.18
2209753.91,35.83,0.66,199276.29,3.23
2209740.23,35.84,0.66,199083.26,3.23
2209712.22,35.84,0.67,198897.62,3.23
2209649.28,35.84,0.67,199098.96,3.23
2209090.83,35.84,0.66,198611.76,3.22
2209062.82,35.85,0.67,198400.54,3.22
2208697.95,35.85,0.67,198344.79,3.22
2208641.25,35.85,0.67,198442.14,3.22
2209526.13,35.86,0.69,199341.81,3.24
2209161.26,35.86,0.69,199338.46,3.24
2208916.42,35.87,0.69,199372.06,3.24
2208329.19,35.86,0.68,198849.36,3.23
2206850.1,35.86,0.68,198822.57,3.23
2207734.97,35.87,0.7,199722.23,3.25
2207678.27,35.88,0.7,199819.59,3.25
2208563.14,35.89,0.71,200719.26,3.26
2207975.91,35.89,0.71,200196.56,3.25
2207962.23,35.89,0.71,200003.53,3.25
2207199.32,35.89,0.71,199309.03,3.24
2207199.32,35.89,0.71,199309.03,3.24
2206626.42,35.88,0.7,198804.53,3.23
2206583.95,35.89,0.71,198576.01,3.23
2205806.72,35.88,0.7,197863.31,3.22
2206015.81,35.89,0.71,197957.59,3.22
2205987.8,35.9,0.72,197746.37,3.22
2206306.86,35.9,0.73,197875.48,3.22
2205733.96,35.9,0.72,197345.4,3.21
2205026.42,35.89,0.72,196627.96,3.2
2204983.96,35.9,0.72,196399.44,3.2
2205473.19,35.91,0.73,196681.07,3.2
2205403.04,35.91,0.73,196703.72,3.2
2206287.92,35.92,0.75,197603.39,3.22
2205715.01,35.92,0.74,197098.88,3.21
2205196.39,35.92,0.74,196569.77,3.2
2204937.87,35.92,0.74,196301.34,3.2
2204881.17,35.92,0.74,196474.39,3.2
2205766.04,35.93,0.76,197374.06,3.22
2206975.13,35.95,0.78,198468.34,3.23
2206803.99,35.96,0.78,199293.62,3.25
2207142.14,35.97,0.79,199426.36,3.25
2207114.13,35.97,0.8,199240.71,3.25
2206595.51,35.97,0.79,198711.6,3.24
2206553.05,35.97,0.8,198483.08,3.24
2207042.28,35.99,0.81,198764.71,3.24
2206999.82,35.99,0.82,198536.2,3.24
2206754.98,35.99,0.82,198487.41,3.24
2206167.75,35.99,0.81,197964.71,3.23
2206139.74,35.99,0.82,197779.07,3.23
2205894.9,35.99,0.82,197775.35,3.23
2205187.37,35.99,0.81,197057.91,3.22
2206072.24,36.0,0.83,197957.57,3.23
2206072.24,36.0,0.83,197957.57,3.23
2206072.24,36.0,0.83,197957.57,3.23
2207281.33,36.02,0.85,199051.85,3.25
2207253.32,36.03,0.85,198866.2,3.25
2207008.48,36.03,0.85,198817.2,3.25
2206980.47,36.04,0.86,198631.55,3.24
2206422.02,36.03,0.85,198144.35,3.24
2206659.5,36.04,0.86,199044.9,3.25
2206659.5,36.04,0.86,199044.9,3.25
2206631.5,36.04,0.86,198833.68,3.25
2208851.94,36.08,0.9,201053.46,3.28
2209736.81,36.09,0.91,201953.13,3.3
2210621.69,36.11,0.93,202852.79,3.31
2210940.75,36.12,0.94,202981.91,3.32
2210367.84,36.11,0.93,202477.4,3.31
