ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
2204745.74,35.49,0.32,189939.41,3.06
2204250.18,35.49,0.31,189555.72,3.05
2203885.32,35.49,0.31,189499.98,3.05
2203841.95,35.49,0.32,189282.61,3.05
2203813.94,35.5,0.33,189083.44,3.05
2203241.04,35.49,0.32,188578.94,3.04
2203063.5,35.49,0.32,188391.49,3.04
2203382.56,35.5,0.33,188532.66,3.04
2202823.76,35.5,0.33,188044.69,3.03
2202845.48,35.5,0.33,188040.2,3.03
2202275.5,35.5,0.32,187545.36,3.02
2202247.5,35.5,0.33,187346.19,3.02
2202736.73,35.51,0.34,187639.87,3.03
2202591.24,35.51,0.34,187606.67,3.02
2202883.7,35.52,0.34,187889.22,3.03
2202840.33,35.52,0.35,187671.86,3.03
2202631.6,35.52,0.35,187534.37,3.02
2202829.05,35.53,0.35,187487.03,3.02
2202121.51,35.52,0.35,186769.59,3.01
2202093.51,35.53,0.35,186570.42,3.01
2202150.17,35.53,0.35,186928.21,3.02
2202257.47,35.53,0.36,187095.9,3.02
2202257.47,35.53,0.36,187171.81,3.02
2201684.57,35.53,0.35,186667.3,3.01
2201592.66,35.53,0.35,186991.11,3.02
2202477.53,35.54,0.37,187902.83,3.03
2201714.62,35.53,0.36,187208.32,3.02
2201686.62,35.54,0.37,187009.15,3.02
2201113.71,35.53,0.36,186504.65,3.01
2201100.03,35.54,0.37,186323.68,3.01
2201010.52,35.54,0.37,185998.98,3.0
2200667.6,35.54,0.37,186000.96,3.0
2201552.47,35.55,0.38,186912.68,3.02
2201374.93,35.55,0.38,186725.23,3.02
2201346.92,35.56,0.39,186551.64,3.01
2201318.92,35.56,0.39,186378.04,3.01
2201290.91,35.57,0.4,186178.87,3.01
2200921.14,35.57,0.4,186155.57,3.01
2200893.13,35.57,0.4,185956.4,3.01
2201382.36,35.59,0.41,186250.08,3.01
2202652.62,35.61,0.43,188115.07,3.04
2202407.79,35.61,0.43,188363.75,3.05
2203292.66,35.62,0.45,189275.47,3.06
2203047.82,35.62,0.45,189226.61,3.06
2202950.59,35.62,0.45,189193.91,3.06
2202936.91,35.63,0.46,189012.94,3.06
2203821.78,35.64,0.47,189924.65,3.07
2203817.48,35.65,0.47,190032.64,3.07
2203054.57,35.64,0.46,189312.56,3.06
2202481.66,35.63,0.46,188782.48,3.05
2203690.75,35.65,0.48,189888.81,3.07
2203557.84,35.65,0.48,189824.3,3.07
2203529.84,35.66,0.49,189650.71,3.07
2203487.37,35.66,0.49,189434.25,3.07
2202724.47,35.66,0.48,188739.74,3.06
2202627.23,35.66,0.48,188707.04,3.05
2202613.55,35.66,0.49,188526.07,3.05
2202368.72,35.67,0.49,188522.43,3.05
2201998.94,35.66,0.49,188554.27,3.05
2201426.04,35.66,0.49,188024.19,3.05
2201056.26,35.66,0.49,187996.67,3.05
2200811.43,35.66,0.49,187947.81,3.05
2201093.0,35.67,0.49,188464.45,3.05
