name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,11,9696,412316860416,0,0,0,0,0,0,0,0,0,0,130,2600,0,0,190,3800,320,6400
0001-openb-node-0858,,G2,96,8,412316860416,20000,13,48,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,20,400,30,600,50,1000
0002-openb-node-0619,,G2,96,8,412316860416,20000,9,3344,412316860416,0,0,0,0,0,0,0,0,0,0,30,600,190,3800,190,3800,410,8200
0003-openb-node-0582,,G2,96,8,412316860416,20000,11,44,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-0882,,T4,104,2,549755813888,15109,7,2440,549755813888,70,1057,30,453,0,0,0,0,0,0,0,0,0,0,0,0,100,1510
0005-openb-node-1135,,G2,96,8,412316860416,20000,9,232,412316860416,0,0,0,0,0,0,0,0,90,1800,0,0,1000,20000,1000,20000,2090,41800
0006-openb-node-0431,,P100,16,2,128849018880,16280,3,448,128849018880,50,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,814
0007-openb-node-1096,,T4,104,2,549755813888,15109,9,292,549755813888,50,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0008-openb-node-1052,,P100,16,2,128849018880,16280,3,3696,128849018880,80,1302,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,270,4395
0009-openb-node-0985,,P100,16,2,128849018880,16280,3,5696,128849018880,30,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0010-openb-node-1151,,T4,104,2,549755813888,15109,7,1790,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011-openb-node-1171,,G2,96,8,412316860416,20000,12,136,412316860416,0,0,30,600,0,0,0,0,190,3800,190,3800,0,0,0,0,410,8200
0012-openb-node-0016,,P100,64,2,274877906944,16280,4,1200,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0003,,P100,64,2,274877906944,16280,6,1992,274877906944,70,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1139
0014-openb-node-0877,,T4,104,2,549755813888,15109,10,2948,549755813888,0,0,50,755,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0015-openb-node-0256,,V100M32,96,8,824633720832,32510,14,1784,824633720832,30,975,30,975,0,0,30,975,190,6176,0,0,0,0,190,6176,470,15277
0016-openb-node-0382,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017-openb-node-0280,,G2,96,8,412316860416,20000,9,5980,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,30,600,0,0,30,600
0018-openb-node-0080,,G2,96,8,412316860416,20000,10,444,412316860416,0,0,0,0,0,0,0,0,30,600,190,3800,0,0,0,0,220,4400
0019-openb-node-0320,,G3,128,8,824633720832,30000,13,2132,824633720832,120,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3600
0020-openb-node-1170,,G3,128,8,824633720832,30000,10,2380,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021-openb-node-0764,,G2,96,8,412316860416,20000,9,148,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022-openb-node-0717,,T4,104,2,549755813888,15109,8,1048,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0023-openb-node-0074,,G2,96,8,412316860416,20000,12,3492,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,30,600,190,3800,220,4400
0024-openb-node-0430,,P100,16,2,128849018880,16280,3,648,128849018880,30,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0025-openb-node-0466,,G2,96,8,412316860416,20000,10,7544,412316860416,0,0,0,0,0,0,30,600,0,0,0,0,0,0,0,0,30,600
0026-openb-node-0989,,P100,8,2,64424509440,16280,2,1696,64424509440,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0027-openb-node-0321,,G2,96,8,412316860416,20000,12,266,412316860416,0,0,0,0,0,0,80,1600,190,3800,190,3800,190,3800,50,1000,700,14000
0028-openb-node-0014,,P100,64,2,274877906944,16280,4,1300,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0029-openb-node-1026,,T4,104,2,549755813888,15109,10,3196,549755813888,30,453,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0030-openb-node-0019,,P100,64,2,274877906944,16280,5,2474,274877906944,0,0,60,976,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0031-openb-node-0780,,T4,104,2,549755813888,15109,5,1200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0032-openb-node-0849,,G2,96,8,412316860416,20000,11,236,412316860416,0,0,0,0,0,0,0,0,0,0,30,600,80,1600,0,0,110,2200
0033-openb-node-0775,,T4,104,2,549755813888,15109,6,700,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0034-openb-node-1196,,T4,104,2,549755813888,15109,5,5200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0035-openb-node-1066,,G2,96,8,412316860416,20000,10,484,412316860416,0,0,0,0,0,0,0,0,190,3800,0,0,190,3800,0,0,380,7600
0036-openb-node-0853,,G2,96,8,412316860416,20000,12,276,412316860416,0,0,0,0,0,0,0,0,0,0,30,600,0,0,0,0,30,600
0037-openb-node-1080,,V100M16,8,1,34359738368,16160,2,848,34359738368,80,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1292
0038-openb-node-0912,,G2,96,8,412316860416,20000,9,2844,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0039-openb-node-0477,,G2,96,8,412316860416,20000,13,592,412316860416,0,0,0,0,0,0,0,0,0,0,40,800,30,600,20,400,90,1800
0040-openb-node-0632,,G2,96,8,412316860416,20000,13,316,412316860416,0,0,0,0,0,0,0,0,0,0,20,400,30,600,190,3800,240,4800
0041-openb-node-1161,,T4,104,2,549755813888,15109,6,692,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0042-openb-node-0333,,G3,128,8,824633720832,30000,12,358,824633720832,30,900,0,0,0,0,140,4200,0,0,0,0,190,5700,0,0,360,10800
0043-openb-node-1003,,P100,16,2,128849018880,16280,3,3696,128849018880,30,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0044-openb-node-0169,,G3,128,8,824633720832,30000,14,888,824633720832,0,0,0,0,30,900,30,900,0,0,0,0,20,600,30,900,110,3300
0045-openb-node-0141,,G2,96,8,412316860416,20000,5,15044,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,190,3800,190,3800,570,11400
0046-openb-node-0681,,G2,96,8,412316860416,20000,9,1280,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0047-openb-node-0561,,G2,96,8,412316860416,20000,12,34,412316860416,0,0,0,0,0,0,0,0,200,4000,190,3800,0,0,190,3800,580,11600
0048-openb-node-0153,,G2,96,8,412316860416,20000,9,600,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0049-openb-node-0390,,T4,104,2,549755813888,15109,6,4048,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0050-openb-node-0928,,T4,104,2,549755813888,15109,5,3592,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0051-openb-node-0384,,G2,96,8,412316860416,20000,10,6492,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
