ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
2204453.28,35.49,0.31,190575.31,3.07
2203934.66,35.48,0.31,190046.2,3.06
2203526.17,35.48,0.31,189930.96,3.06
2203117.68,35.48,0.31,189815.72,3.06
2202752.81,35.48,0.31,189762.47,3.06
2202257.25,35.48,0.31,189378.79,3.05
2202079.71,35.48,0.31,189191.34,3.05
2202033.92,35.48,0.31,189194.68,3.05
2201515.3,35.48,0.31,188665.57,3.04
2201304.91,35.48,0.3,188644.55,3.04
2200786.3,35.47,0.3,188115.44,3.03
2200383.48,35.47,0.3,188144.24,3.03
2200464.27,35.47,0.31,188563.7,3.04
2200088.62,35.47,0.3,188208.39,3.03
2200088.62,35.47,0.3,188207.81,3.03
2199685.8,35.47,0.3,188174.33,3.03
2199517.08,35.47,0.3,187995.7,3.03
2199714.53,35.48,0.31,187948.37,3.03
2199006.99,35.47,0.3,187230.92,3.02
2198604.18,35.47,0.3,187244.65,3.02
2198604.18,35.47,0.3,187244.65,3.02
2198231.89,35.47,0.3,187403.65,3.02
2198231.89,35.47,0.3,187245.26,3.02
2197713.27,35.46,0.29,186716.15,3.01
2198012.25,35.47,0.3,187306.66,3.02
2198012.25,35.47,0.3,187261.18,3.02
2197304.71,35.46,0.29,186543.73,3.01
2196901.9,35.46,0.29,186528.53,3.01
2196388.09,35.46,0.29,186032.24,3.0
2195985.27,35.46,0.29,186021.61,3.0
2196316.61,35.46,0.3,185975.46,3.0
2195973.69,35.46,0.3,185976.35,3.0
2195973.69,35.46,0.3,185956.85,3.0
2195784.77,35.46,0.29,186307.44,3.01
2195402.99,35.46,0.29,186259.33,3.01
2195000.18,35.46,0.29,186469.74,3.01
2194597.36,35.46,0.29,186355.26,3.01
2194227.59,35.46,0.29,186592.98,3.02
2193845.04,35.46,0.29,186534.55,3.02
2193929.27,35.46,0.3,186515.96,3.02
2193929.27,35.46,0.3,186515.96,3.02
2193684.43,35.47,0.3,186485.35,3.01
2193684.43,35.47,0.3,186485.35,3.01
2193439.59,35.47,0.3,186436.49,3.01
2193152.34,35.47,0.3,186210.16,3.01
2192782.56,35.47,0.3,187343.89,3.03
2192782.56,35.47,0.3,187343.89,3.03
2192778.26,35.47,0.3,187451.87,3.03
2192070.72,35.46,0.29,186734.42,3.02
2191552.1,35.46,0.29,186205.31,3.01
2191552.1,35.46,0.29,186205.31,3.01
2191256.88,35.45,0.29,185018.53,2.99
2190892.01,35.45,0.29,185008.26,2.99
2190510.24,35.45,0.29,184938.96,2.99
2189802.7,35.45,0.28,184221.51,2.98
2189739.18,35.45,0.28,184133.69,2.98
2189374.31,35.45,0.28,184130.34,2.98
2189129.47,35.45,0.28,184126.7,2.98
2188782.55,35.45,0.28,185399.27,3.0
2188263.93,35.45,0.28,184870.16,2.99
2187921.0,35.45,0.28,184867.31,3.0
2187676.17,35.45,0.28,184818.45,2.99
2187957.74,35.46,0.28,185335.09,3.0
2187575.19,35.46,0.28,185287.27,3.0
2186867.65,35.45,0.28,184569.82,2.99
2186497.88,35.45,0.28,184547.91,2.99
2186128.11,35.45,0.28,184637.13,2.99
2186128.11,35.45,0.28,185386.05,3.01
2185746.33,35.45,0.28,185332.46,3.01
2185370.36,35.45,0.28,185338.44,3.01
2185051.89,35.45,0.28,184996.61,3.0
2184533.27,35.44,0.27,184467.49,2.99
2184130.46,35.44,0.27,184444.29,2.99
2183727.65,35.44,0.27,184461.26,2.99
2183670.95,35.44,0.28,184558.62,3.0
2183683.34,35.44,0.28,184552.88,3.0
2183280.52,35.44,0.28,184536.06,3.0
2183035.69,35.45,0.28,184569.66,3.0
2182540.13,35.44,0.27,184185.98,2.99
2181075.49,35.44,0.27,184315.36,3.0
2181075.49,35.44,0.27,184349.45,3.0
2181018.79,35.44,0.27,184446.81,3.0
2181018.79,35.44,0.27,184438.05,3.0
2180500.18,35.44,0.27,183908.94,2.99
2180097.36,35.44,0.27,183894.51,2.99
2179389.82,35.43,0.27,183177.06,2.98
2179416.67,35.43,0.27,183186.42,2.98
2178898.05,35.43,0.26,182657.31,2.97
2178495.24,35.43,0.26,182719.71,2.97
2177787.7,35.42,0.26,182002.27,2.96
2177384.89,35.42,0.26,181933.15,2.96
2176982.08,35.42,0.26,181929.8,2.96
2176929.69,35.43,0.26,183745.54,2.99
2176512.74,35.42,0.26,183185.39,2.98
2176130.96,35.42,0.26,183362.96,2.98
2175749.19,35.42,0.26,183285.22,2.98
2175829.98,35.43,0.26,183338.31,2.99
2175529.81,35.42,0.26,182328.77,2.97
2175529.81,35.42,0.26,182328.77,2.97
2174958.15,35.42,0.26,181882.31,2.96
2174541.2,35.42,0.25,181322.17,2.95
2174229.54,35.42,0.25,181135.71,2.95
2174172.84,35.42,0.25,181308.76,2.95
2174172.84,35.42,0.25,181308.76,2.95
2174172.84,35.42,0.25,181308.76,2.95
2173803.97,35.42,0.25,181919.64,2.96
2173439.1,35.42,0.25,182232.75,2.97
2173057.32,35.42,0.25,182184.64,2.97
2172863.33,35.42,0.26,182131.31,2.97
2172481.55,35.42,0.26,182062.0,2.97
2172095.89,35.42,0.25,181696.7,2.96
2171731.03,35.42,0.25,181640.96,2.96
2171486.19,35.42,0.25,181592.18,2.96
2171304.97,35.42,0.25,181570.3,2.96
2170935.2,35.42,0.25,181558.61,2.96
2170690.36,35.42,0.25,181554.89,2.96
2170308.58,35.42,0.25,181461.97,2.96
2170308.58,35.42,0.25,182494.72,2.98
2170308.58,35.42,0.25,182174.91,2.97
2170308.58,35.42,0.25,182174.33,2.97
2170320.97,35.42,0.25,182163.44,2.97
2169956.1,35.42,0.25,182160.09,2.97
2169711.27,35.42,0.25,182111.08,2.97
2169335.3,35.42,0.25,182117.06,2.97
2169158.81,35.42,0.26,182209.51,2.98
2169158.81,35.42,0.26,182185.45,2.98
2169173.27,35.42,0.26,182178.31,2.98
2168803.5,35.42,0.26,182616.97,2.98
2168803.5,35.42,0.26,182709.81,2.98
2168803.5,35.42,0.26,182709.81,2.98
2168803.5,35.42,0.26,182709.81,2.98
2168763.89,35.43,0.26,182410.43,2.98
2168549.63,35.43,0.26,182440.37,2.98
2168549.63,35.43,0.26,182440.37,2.98
2168146.82,35.43,0.26,182420.28,2.98
2167744.0,35.43,0.26,182401.19,2.98
2167795.19,35.43,0.27,182431.73,2.98
2167550.35,35.43,0.27,182428.23,2.98
2167305.52,35.43,0.27,182379.13,2.98
2167124.3,35.43,0.27,184238.86,3.01
2166721.48,35.43,0.27,184214.09,3.01
2166318.67,35.43,0.27,184199.84,3.01
2166325.12,35.43,0.27,184905.75,3.02
2166265.66,35.44,0.27,185081.5,3.03
2166020.82,35.44,0.27,185078.1,3.03
2166020.82,35.44,0.27,185078.1,3.03
2165406.8,35.43,0.27,184478.48,3.02
2165596.06,35.44,0.27,184535.39,3.02
2165351.23,35.44,0.27,184847.08,3.03
2165174.74,35.44,0.27,185018.43,3.03
2165008.36,35.44,0.27,185026.04,3.03
2164626.59,35.44,0.27,184997.83,3.03
2164433.36,35.44,0.28,184992.68,3.03
2164051.59,35.44,0.28,185047.08,3.03
2163677.49,35.44,0.27,184685.97,3.03
2163294.94,35.44,0.27,184110.77,3.02
2162913.16,35.44,0.27,184062.75,3.02
2162719.94,35.44,0.27,184046.95,3.02
2162338.17,35.44,0.27,184639.75,3.03
2162077.95,35.44,0.27,184484.39,3.02
2162118.88,35.44,0.28,184675.47,3.03
