ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
871039.22,14.02,0.68,345320.28,5.56
870890.75,14.02,0.68,345207.35,5.56
870948.37,14.02,0.68,345179.53,5.56
870799.9,14.02,0.68,345136.87,5.56
870848.85,14.03,0.68,344701.2,5.55
870700.38,14.03,0.68,344589.34,5.55
870740.61,14.03,0.69,344669.45,5.55
871146.26,14.04,0.69,344692.79,5.55
871118.09,14.04,0.7,344718.36,5.56
871118.09,14.04,0.7,344634.63,5.55
871175.71,14.04,0.7,344579.7,5.55
871671.15,14.05,0.7,344595.25,5.55
871522.68,14.05,0.7,344552.59,5.55
871683.2,14.05,0.71,344590.41,5.56
871655.02,14.05,0.71,344589.12,5.56
871887.13,14.06,0.72,344482.17,5.55
872007.42,14.06,0.72,344520.5,5.56
872007.42,14.06,0.72,344432.57,5.55
872396.94,14.07,0.73,344414.45,5.55
872557.47,14.07,0.73,344452.27,5.56
872529.29,14.08,0.73,344441.81,5.56
872380.82,14.08,0.73,344330.23,5.56
872786.47,14.08,0.74,344352.47,5.56
873071.83,14.09,0.74,344424.62,5.56
873043.66,14.09,0.75,344432.15,5.56
872895.19,14.09,0.75,344319.04,5.56
872952.81,14.09,0.75,344258.56,5.56
872924.63,14.09,0.75,344284.13,5.56
872776.16,14.09,0.75,344241.47,5.56
873089.27,14.1,0.76,344040.43,5.56
873699.33,14.11,0.77,344079.39,5.56
873859.86,14.12,0.77,344117.2,5.56
873900.09,14.12,0.78,344006.95,5.56
873871.91,14.12,0.78,343958.96,5.56
873398.32,14.12,0.78,344490.18,5.57
873370.14,14.12,0.78,344442.19,5.57
873221.67,14.12,0.78,344675.2,5.58
873627.32,14.13,0.79,344698.54,5.58
874032.98,14.14,0.8,344721.89,5.58
874318.34,14.15,0.8,344794.04,5.58
874290.16,14.15,0.8,344780.76,5.58
874951.47,14.16,0.82,344770.24,5.58
875129.87,14.16,0.82,344809.19,5.58
874981.4,14.16,0.82,344766.53,5.58
875204.04,14.17,0.83,344394.7,5.58
