name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0991,,G2,96,8,412316860416,20000,9,22892,412316860416,0,0,0,0,190,3800,0,0,0,0,0,0,190,3800,130,2600,510,10200
0001-openb-node-0923,,G2,96,8,412316860416,20000,2,16400,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002-openb-node-0034,,G2,96,8,412316860416,20000,10,1880,412316860416,0,0,0,0,30,600,0,0,0,0,0,0,30,600,190,3800,250,5000
0003-openb-node-0061,,G2,96,8,412316860416,20000,7,896,412316860416,0,0,0,0,0,0,190,3800,0,0,0,0,0,0,1000,20000,1190,23800
0004-openb-node-0882,,T4,104,2,549755813888,15109,4,40948,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0005-openb-node-1095,,T4,104,2,549755813888,15109,3,41892,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0006-openb-node-0095,,G2,96,8,412316860416,20000,10,2232,412316860416,0,0,0,0,0,0,530,10600,0,0,0,0,530,10600,120,2400,1180,23600
0007-openb-node-0770,,G2,96,8,412316860416,20000,8,300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,1000,20000
0008-openb-node-0263,,P100,16,2,128849018880,16280,2,940,128849018880,190,3093,350,5698,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
0009-openb-node-0057,,T4,96,4,412316860416,15109,7,31640,412316860416,0,0,0,0,0,0,70,1057,0,0,0,0,0,0,0,0,70,1057
0010-openb-node-1099,,T4,104,2,549755813888,15109,4,72092,549755813888,70,1057,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,140,2114
0011-openb-node-0541,,G2,96,8,412316860416,20000,12,2276,412316860416,210,4200,0,0,300,6000,190,3800,190,3800,0,0,190,3800,190,3800,1270,25400
0012-openb-node-0700,,T4,104,2,549755813888,15109,3,40300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0964,,P100,16,2,128849018880,16280,3,848,128849018880,680,11070,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,870,14163
0014-openb-node-1098,,T4,104,2,549755813888,15109,4,55848,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0780,,T4,104,2,549755813888,15109,3,76948,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016-openb-node-0660,,G2,96,8,412316860416,20000,11,934,412316860416,0,0,0,0,0,0,0,0,180,3600,0,0,190,3800,190,3800,560,11200
0017-openb-node-0129,,T4,104,2,549755813888,15109,3,68092,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
