ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,10,1810,6212,1810
4,11,2810,6212,2810
5,12,3620,6212,3620
6,13,4620,6212,4620
7,14,5430,6212,5430
8,16,5900,6212,5900
8,16,6900,6212,6900
8,16,6900,6212,6900
8,16,6900,6212,6900
8,16,7220,6212,7220
9,18,8220,6212,8220
9,18,9030,6212,9030
10,20,10030,6212,10030
10,20,10620,6212,10620
10,20,10620,6212,10620
11,28,10620,6212,10620
12,29,11170,6212,11170
13,30,11980,6212,11980
14,31,12980,6212,12980
15,32,13980,6212,13980
16,33,14450,6212,14450
17,34,14920,6212,14920
18,35,15920,6212,15920
19,37,16920,6212,16920
19,37,16920,6212,16920
19,37,17920,6212,17920
20,39,18920,6212,18920
20,39,19920,6212,19920
21,41,20920,6212,20920
22,42,21730,6212,21730
23,43,22540,6212,22540
24,45,23540,6212,23540
25,49,27540,6212,27540
25,49,28540,6212,28540
26,51,29540,6212,29540
26,51,30010,6212,30010
26,51,30480,6212,30480
27,52,30950,6212,30950
28,54,31950,6212,31950
28,54,32410,6212,32410
29,56,33060,6212,33060
29,56,34060,6212,34060
30,57,35060,6212,35060
30,57,35060,6212,35060
31,58,35870,6212,35870
32,60,36870,6212,36870
32,60,37340,6212,37340
32,60,37340,6212,37340
32,60,38340,6212,38340
33,62,39340,6212,39340
33,62,40340,6212,40340
34,64,41340,6212,41340
34,64,41800,6212,41800
34,64,41800,6212,41800
35,65,42610,6212,42610
36,73,50610,6212,50610
37,74,51610,6212,51610
38,76,52610,6212,52610
38,76,53080,6212,53080
38,76,54080,6212,54080
39,77,54890,6212,54890
40,78,55890,6212,55890
41,79,56700,6212,56700
42,81,57700,6212,57700
42,81,57700,6212,57700
42,81,58700,6212,58700
43,82,59510,6212,59510
44,84,60510,6212,60510
44,84,60830,6212,60830
44,84,61830,6212,61830
45,86,62830,6212,62830
45,86,63310,6212,63310
45,86,63790,6212,63790
46,88,64260,6212,64260
46,88,64910,6212,64910
47,96,72910,6212,72910
48,98,73910,6212,73910
49,100,74910,6212,74910
49,100,75910,6212,75910
49,100,76380,6212,76380
50,102,77380,6212,77380
50,102,78190,6212,78190
50,102,78510,6212,78510
51,104,79510,6212,79510
52,108,83510,6212,83510
53,110,84510,6212,84510
53,110,85320,6212,85320
53,110,86320,6212,86320
54,112,86910,6212,86910
54,112,86910,6212,86910
54,112,87910,6212,87910
55,114,88380,6212,88380
55,114,88380,6212,88380
55,114,88700,6212,88700
55,114,89020,6212,89020
55,114,90020,6212,90020
56,116,91020,6212,91020
56,116,91490,6212,91490
56,116,91960,6212,91960
56,116,91960,6212,91960
57,118,92960,6212,92960
57,118,93960,6212,93960
58,120,94430,6212,94430
58,120,95430,6212,95430
58,120,95800,6212,95800
58,120,95800,6212,95800
59,122,96610,6212,96610
59,122,97080,6212,97080
59,122,97550,6212,97550
60,124,98360,6212,98360
60,124,99360,6212,99360
61,126,100170,6212,100170
61,126,101170,6212,101170
62,128,101980,6212,101980
62,128,101980,6212,101980
62,128,102530,6212,102530
63,130,103530,6212,103530
63,130,104530,6212,104530
63,130,104530,6212,104530
63,130,104530,6212,104530
64,132,105530,6212,105530
64,132,106530,6212,106530
65,134,107080,6212,107080
65,134,108080,6212,108080
65,134,108080,6212,108080
66,136,109080,6212,109080
66,136,110080,6212,110080
67,138,111080,6212,111080
67,138,112080,6212,112080
68,140,113080,6212,113080
68,140,114080,6212,114080
69,142,114890,6212,114890
70,144,115890,6212,115890
70,144,116110,6212,116110
71,146,116760,6212,116760
71,146,117760,6212,117760
72,148,118760,6212,118760
72,148,118760,6212,118760
72,148,119760,6212,119760
73,150,120760,6212,120760
73,150,120760,6212,120760
73,150,120760,6212,120760
73,150,121080,6212,121080
73,150,121890,6212,121890
73,150,122360,6212,122360
74,152,123360,6212,123360
74,152,124360,6212,124360
75,154,125360,6212,125360
76,156,127360,6212,127360
76,156,128360,6212,128360
77,158,129360,6212,129360
78,162,133360,6212,133360
78,162,133830,6212,133830
78,162,134300,6212,134300
79,164,135300,6212,135300
79,164,135300,6212,135300
80,172,143300,6212,143300
80,172,144300,6212,144300
80,172,145300,6212,145300
81,174,146300,6212,146300
81,174,147300,6212,147300
82,176,148300,6212,148300
82,176,149110,6212,149110
83,178,150110,6212,150110
83,178,151110,6212,151110
83,178,151270,6212,151270
84,180,151820,6212,151820
84,180,152820,6212,152820
85,182,153820,6212,153820
85,182,154820,6212,154820
86,184,155820,6212,155820
86,184,156820,6212,156820
87,186,157820,6212,157820
87,186,158820,6212,158820
88,194,158820,6212,158820
89,196,159820,6212,159820
89,196,160820,6212,160820
90,198,161630,6212,161630
90,198,162630,6212,162630
91,200,163630,6212,163630
91,200,164100,6212,164100
91,200,164570,6212,164570
92,202,165570,6212,165570
93,210,173570,6212,173570
93,210,174570,6212,174570
94,212,175570,6212,175570
94,212,176570,6212,176570
94,212,176800,6212,176800
95,214,177610,6212,177610
95,214,178610,6212,178610
95,214,178610,6212,178610
96,216,179610,6212,179610
96,216,179610,6212,179610
96,216,180610,6212,180610
97,218,181610,6212,181610
97,218,182610,6212,182610
98,220,183610,6212,183610
98,220,183610,6212,183610
98,220,184610,6212,184610
