ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
870575.11,14.02,0.67,344694.92,5.55
869962.52,14.01,0.67,343969.33,5.54
870020.14,14.01,0.67,343941.51,5.54
869871.67,14.01,0.67,343810.73,5.54
869447.79,14.0,0.66,343273.84,5.53
869299.32,14.0,0.66,343143.06,5.53
868875.44,14.0,0.66,342606.17,5.52
869160.8,14.0,0.66,342693.46,5.52
869012.32,14.0,0.66,342841.14,5.53
869075.0,14.01,0.66,342797.4,5.52
869075.0,14.01,0.66,345151.2,5.56
868849.73,14.0,0.66,344992.73,5.56
868701.26,14.0,0.66,344950.07,5.56
868741.5,14.01,0.66,345027.94,5.56
869073.31,14.01,0.67,344813.79,5.56
868761.55,14.01,0.67,344476.9,5.55
873347.86,14.08,0.74,349769.43,5.64
873405.48,14.08,0.74,349714.49,5.64
873242.89,14.08,0.74,349438.9,5.64
872819.01,14.08,0.73,348902.02,5.63
872206.42,14.07,0.73,348176.43,5.62
871593.84,14.06,0.72,347587.22,5.61
871511.25,14.06,0.72,347391.63,5.61
871428.67,14.06,0.72,347196.04,5.6
870816.08,14.05,0.71,346470.45,5.59
870667.61,14.05,0.71,346357.34,5.59
870730.29,14.06,0.71,346332.54,5.59
870581.81,14.06,0.71,346317.51,5.59
870433.34,14.05,0.71,346274.85,5.59
870284.87,14.05,0.71,346189.36,5.59
870894.93,14.07,0.72,346228.32,5.59
870471.05,14.06,0.72,345691.44,5.58
870048.46,14.06,0.71,345155.85,5.58
869899.99,14.06,0.71,345042.74,5.58
869306.11,14.06,0.71,344898.86,5.58
869157.64,14.06,0.71,344883.83,5.58
869009.17,14.06,0.71,344770.72,5.58
869294.53,14.06,0.72,345188.99,5.58
868920.69,14.06,0.71,344815.68,5.58
868838.11,14.06,0.71,344620.09,5.58
868689.64,14.06,0.71,344507.68,5.57
868983.18,14.06,0.72,344934.58,5.58
869161.58,14.07,0.72,344973.53,5.58
869013.11,14.07,0.72,345126.95,5.59
868400.53,14.06,0.72,344401.36,5.58
868400.53,14.06,0.72,347050.63,5.62
867976.65,14.05,0.71,346513.74,5.61
867828.17,14.05,0.71,346471.08,5.61
867456.16,14.05,0.71,346098.44,5.61
867541.07,14.05,0.71,346624.66,5.61
867392.6,14.05,0.71,346539.18,5.61
867244.13,14.05,0.71,346426.76,5.61
867095.66,14.05,0.71,346411.03,5.61
866947.19,14.05,0.71,346298.62,5.61
867240.73,14.06,0.71,346725.52,5.62
870827.29,14.11,0.77,348084.22,5.64
870403.41,14.11,0.76,347683.71,5.64
869335.93,14.11,0.77,347465.93,5.64
868723.34,14.1,0.76,346876.73,5.63
868574.87,14.1,0.76,346850.19,5.63
868202.86,14.1,0.75,346477.55,5.63
868054.39,14.1,0.75,346375.94,5.62
867630.5,14.09,0.75,345839.06,5.62
867017.92,14.08,0.74,345113.47,5.61
866594.04,14.08,0.74,344576.58,5.6
866445.57,14.08,0.74,344550.05,5.6
866445.57,14.08,0.74,344550.05,5.6
866297.1,14.08,0.74,344448.43,5.6
865873.21,14.07,0.73,343911.55,5.59
866186.33,14.08,0.74,343710.51,5.59
