ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,4,1810,6212,1810
3,4,2810,6212,2810
4,5,3620,6212,3620
4,5,4620,6212,4620
5,6,5430,6212,5430
6,8,5900,6212,5900
6,8,6900,6212,6900
6,8,6900,6212,6900
6,8,6900,6212,6900
6,8,7220,6212,7220
7,10,8220,6212,8220
8,11,9030,6212,9030
8,11,10030,6212,10030
9,12,10620,6212,10620
9,12,10620,6212,10620
9,12,10620,6212,10620
10,13,11170,6212,11170
11,14,11980,6212,11980
12,15,12980,6212,12980
13,16,13980,6212,13980
14,17,14450,6212,14450
15,18,14920,6212,14920
16,19,15920,6212,15920
17,21,16920,6212,16920
17,21,16920,6212,16920
17,21,17920,6212,17920
18,23,18920,6212,18920
18,23,19920,6212,19920
19,25,20920,6212,20920
20,26,21730,6212,21730
21,27,22540,6212,22540
21,27,23540,6212,23540
22,31,27540,6212,27540
23,33,28540,6212,28540
23,33,29540,6212,29540
24,35,30010,6212,30010
24,35,30480,6212,30480
25,36,30950,6212,30950
25,36,31950,6212,31950
26,37,32410,6212,32410
27,39,33060,6212,33060
27,39,34060,6212,34060
28,40,35060,6212,35060
28,40,35060,6212,35060
29,41,35870,6212,35870
30,43,36870,6212,36870
31,44,37340,6212,37340
31,44,37340,6212,37340
31,44,38340,6212,38340
32,46,39340,6212,39340
32,46,40340,6212,40340
33,48,41340,6212,41340
34,49,41800,6212,41800
34,49,41800,6212,41800
35,50,42610,6212,42610
36,58,50610,6212,50610
37,60,51610,6212,51610
37,60,52610,6212,52610
38,62,53080,6212,53080
38,62,54080,6212,54080
38,62,54890,6212,54890
39,64,55890,6212,55890
39,64,56700,6212,56700
40,66,57700,6212,57700
40,66,57700,6212,57700
40,66,58700,6212,58700
41,68,59510,6212,59510
41,68,60510,6212,60510
41,68,60830,6212,60830
42,70,61830,6212,61830
42,70,62830,6212,62830
42,70,63310,6212,63310
43,74,63790,6212,63790
43,74,64260,6212,64260
44,78,64910,6212,64910
45,86,72910,6212,72910
45,86,73910,6212,73910
45,86,74910,6212,74910
45,86,75910,6212,75910
46,88,76380,6212,76380
46,88,77380,6212,77380
47,90,78190,6212,78190
47,90,78510,6212,78510
47,90,79510,6212,79510
48,94,83510,6212,83510
49,96,84510,6212,84510
49,96,85320,6212,85320
49,96,86320,6212,86320
50,98,86910,6212,86910
50,98,86910,6212,86910
50,98,87910,6212,87910
50,98,88380,6212,88380
50,98,88380,6212,88380
50,98,88700,6212,88700
50,98,89020,6212,89020
51,100,90020,6212,90020
51,100,91020,6212,91020
52,102,91490,6212,91490
52,102,91960,6212,91960
52,102,91960,6212,91960
52,102,92960,6212,92960
53,104,93960,6212,93960
53,104,94430,6212,94430
54,106,95430,6212,95430
54,106,95800,6212,95800
54,106,95800,6212,95800
55,114,96610,6212,96610
55,114,97080,6212,97080
55,114,97550,6212,97550
56,116,98360,6212,98360
56,116,99360,6212,99360
57,118,100170,6212,100170
57,118,101170,6212,101170
58,122,101980,6212,101980
58,122,101980,6212,101980
58,122,102530,6212,102530
59,124,103530,6212,103530
59,124,104530,6212,104530
59,124,104530,6212,104530
59,124,104530,6212,104530
60,126,105530,6212,105530
60,126,106530,6212,106530
60,126,107080,6212,107080
60,126,108080,6212,108080
61,134,108080,6212,108080
62,136,109080,6212,109080
62,136,110080,6212,110080
63,138,111080,6212,111080
63,138,112080,6212,112080
64,140,113080,6212,113080
64,140,114080,6212,114080
65,142,114890,6212,114890
65,142,115890,6212,115890
65,142,116110,6212,116110
66,144,116760,6212,116760
66,144,117760,6212,117760
67,146,118760,6212,118760
68,154,118760,6212,118760
68,154,119760,6212,119760
69,156,120760,6212,120760
69,156,120760,6212,120760
69,156,120760,6212,120760
69,156,121080,6212,121080
70,160,121890,6212,121890
70,160,122360,6212,122360
71,162,123360,6212,123360
71,162,124360,6212,124360
72,164,125360,6212,125360
72,164,127360,6212,127360
72,164,128360,6212,128360
73,166,129360,6212,129360
74,170,133360,6212,133360
74,170,133830,6212,133830
74,170,134300,6212,134300
75,172,135300,6212,135300
75,172,135300,6212,135300
76,180,143300,6212,143300
76,180,144300,6212,144300
76,180,145300,6212,145300
77,182,146300,6212,146300
77,182,147300,6212,147300
78,184,148300,6212,148300
78,184,149110,6212,149110
78,184,150110,6212,150110
78,184,151110,6212,151110
78,184,151270,6212,151270
79,186,151820,6212,151820
79,186,152820,6212,152820
80,188,153820,6212,153820
80,188,154820,6212,154820
81,190,155820,6212,155820
81,190,156820,6212,156820
82,192,157820,6212,157820
82,192,158820,6212,158820
82,192,158820,6212,158820
83,194,159820,6212,159820
83,194,160820,6212,160820
84,196,161630,6212,161630
84,196,162630,6212,162630
85,198,163630,6212,163630
85,198,164100,6212,164100
85,198,164570,6212,164570
86,200,165570,6212,165570
86,200,173570,6212,173570
86,200,174570,6212,174570
87,202,175570,6212,175570
87,202,176570,6212,176570
87,202,176800,6212,176800
88,204,177610,6212,177610
88,204,178610,6212,178610
88,204,178610,6212,178610
89,206,179610,6212,179610
89,206,179610,6212,179610
89,206,180610,6212,180610
90,208,181610,6212,181610
