ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
870575.11,14.02,0.67,344694.92,5.55
858126.84,13.82,1.19,480199.86,7.73
858126.84,13.82,1.19,480065.06,7.73
857958.42,13.82,1.19,479960.37,7.73
857516.84,13.81,1.18,479403.2,7.72
857348.42,13.81,1.18,479269.4,7.72
856906.84,13.81,1.17,478712.23,7.71
857151.26,13.81,1.18,478754.96,7.71
856982.84,13.81,1.18,478819.63,7.72
856982.84,13.81,1.18,478819.63,7.72
856982.84,13.81,1.18,478629.61,7.71
856780.0,13.81,1.18,478493.71,7.71
856611.58,13.81,1.18,478389.02,7.71
856170.0,13.8,1.17,477831.86,7.7
856001.58,13.8,1.17,477698.05,7.7
855762.74,13.8,1.17,477343.62,7.7
855762.74,13.8,1.17,477343.62,7.7
855762.74,13.8,1.17,477197.86,7.7
855581.16,13.8,1.17,476900.69,7.69
855139.58,13.79,1.16,476343.53,7.68
854508.0,13.78,1.15,475596.36,7.67
853876.42,13.78,1.15,474849.2,7.66
853774.84,13.78,1.14,474632.03,7.66
853673.26,13.78,1.14,474414.87,7.66
853041.68,13.77,1.14,473667.7,7.64
852873.26,13.77,1.14,473471.31,7.64
852873.26,13.77,1.14,473288.69,7.64
852704.84,13.77,1.13,473246.59,7.64
852536.42,13.77,1.13,473141.9,7.64
852368.0,13.77,1.13,473008.09,7.64
852199.58,13.76,1.13,472860.81,7.64
851758.0,13.76,1.13,472303.64,7.63
851316.42,13.75,1.12,471746.48,7.62
851148.0,13.75,1.12,471655.27,7.62
850558.53,13.75,1.12,471347.06,7.62
850390.11,13.75,1.12,471150.67,7.62
850221.68,13.75,1.12,471108.57,7.62
850466.11,13.76,1.13,471151.3,7.62
850113.26,13.75,1.12,470914.7,7.62
850011.68,13.75,1.12,470697.54,7.62
849843.26,13.75,1.12,470712.9,7.62
849751.68,13.75,1.12,470505.74,7.61
849918.53,13.76,1.12,470457.06,7.61
849750.11,13.75,1.12,470596.32,7.62
849118.53,13.75,1.12,469849.16,7.61
849118.53,13.75,1.12,469849.16,7.61
848676.95,13.74,1.11,469291.99,7.6
848508.53,13.74,1.11,469187.3,7.6
848406.95,13.74,1.11,468970.13,7.6
848406.95,13.74,1.11,469468.51,7.6
848238.53,13.74,1.11,469334.7,7.6
848070.11,13.74,1.11,469187.42,7.6
847901.68,13.74,1.11,469096.21,7.6
847733.26,13.74,1.11,468948.92,7.6
847641.68,13.74,1.11,468741.76,7.6
847641.68,13.74,1.11,468599.55,7.59
847200.11,13.73,1.1,468042.38,7.59
846189.58,13.73,1.1,468042.38,7.6
845642.21,13.73,1.1,467363.95,7.59
845473.79,13.73,1.1,467272.74,7.59
845718.21,13.73,1.1,467315.47,7.59
845549.79,13.73,1.1,467380.14,7.59
845024.0,13.72,1.09,466780.14,7.58
844497.68,13.72,1.09,466048.55,7.57
843950.84,13.71,1.08,465501.7,7.56
843782.42,13.71,1.08,465412.01,7.56
843782.42,13.71,1.08,465277.21,7.56
843614.0,13.71,1.08,465128.41,7.56
843635.58,13.71,1.08,465152.75,7.56
843467.16,13.71,1.08,465079.91,7.56
843161.89,13.71,1.08,464780.83,7.56
842993.47,13.71,1.08,464633.55,7.55
842825.05,13.71,1.07,464542.33,7.55
842462.21,13.7,1.07,464246.44,7.55
842698.84,13.71,1.07,463521.94,7.54
842406.95,13.7,1.07,463196.1,7.53
842573.79,13.71,1.08,463147.43,7.53
841563.26,13.71,1.08,462470.0,7.53
841394.84,13.71,1.08,462609.26,7.54
841226.42,13.71,1.08,462461.97,7.54
841058.0,13.71,1.08,462370.76,7.54
841302.42,13.71,1.08,462403.6,7.54
841134.0,13.71,1.08,462478.16,7.54
841155.58,13.71,1.08,462326.5,7.54
840850.32,13.71,1.08,462027.42,7.53
840681.89,13.71,1.08,462130.58,7.54
840092.42,13.71,1.08,461822.38,7.54
839924.0,13.71,1.08,461625.99,7.53
839945.58,13.71,1.08,461773.88,7.54
839777.16,13.71,1.08,461684.19,7.54
840001.47,13.71,1.08,461923.19,7.54
840001.47,13.71,1.08,461784.82,7.54
839833.05,13.71,1.08,461721.07,7.54
839480.21,13.71,1.08,461435.17,7.54
839480.21,13.71,1.08,461435.17,7.54
839177.47,13.7,1.07,461137.37,7.53
838874.74,13.7,1.07,460834.63,7.53
838706.32,13.7,1.07,460659.89,7.52
838537.89,13.7,1.07,460570.2,7.52
838782.32,13.7,1.07,460767.29,7.53
838429.47,13.7,1.07,460481.4,7.52
940661.05,15.37,1.69,491983.21,8.04
940482.11,15.37,1.69,491860.5,8.04
940313.68,15.37,1.69,491058.54,8.03
940620.11,15.38,1.69,491383.44,8.03
940462.21,15.38,1.69,491082.42,8.03
940136.84,15.37,1.69,490794.82,8.02
940136.84,15.37,1.69,490794.82,8.02
940168.95,15.37,1.69,490596.68,8.02
940496.42,15.38,1.7,492389.99,8.05
940123.68,15.38,1.69,492301.17,8.05
940155.79,15.38,1.69,492345.08,8.05
939976.84,15.38,1.69,492302.68,8.05
940008.95,15.38,1.7,492346.58,8.06
939830.0,15.38,1.7,492304.18,8.06
939851.58,15.38,1.7,491906.82,8.05
939851.58,15.38,1.7,491906.82,8.05
940133.16,15.39,1.7,491086.66,8.04
939975.26,15.39,1.7,490940.28,8.04
939796.32,15.39,1.7,490898.17,8.04
939796.32,15.39,1.7,490814.12,8.04
939796.32,15.39,1.7,490958.08,8.04
939638.42,15.39,1.7,490884.49,8.04
939459.47,15.39,1.7,490769.59,8.04
939741.05,15.39,1.71,489949.44,8.03
939572.63,15.39,1.71,489498.68,8.02
939572.63,15.39,1.71,489498.68,8.02
939404.21,15.39,1.71,489047.91,8.01
939246.32,15.39,1.71,488974.32,8.01
939067.37,15.39,1.71,488859.42,8.01
938909.47,15.39,1.71,488785.83,8.01
938730.53,15.39,1.71,488670.93,8.01
938572.63,15.39,1.71,488524.54,8.01
938583.68,15.39,1.71,488672.43,8.01
938425.79,15.39,1.71,488550.91,8.01
938247.89,15.39,1.71,489478.88,8.03
938418.95,15.4,1.71,489758.51,8.04
938261.05,15.4,1.71,489683.07,8.04
938082.11,15.4,1.71,489570.02,8.03
938082.11,15.4,1.71,489446.66,8.03
937924.21,15.4,1.71,489303.82,8.03
937745.26,15.39,1.71,489258.17,8.03
937745.26,15.39,1.71,489051.54,8.03
937745.26,15.39,1.71,489051.54,8.03
937425.26,15.39,1.71,488731.54,8.02
937457.37,15.39,1.71,488278.0,8.02
937766.32,15.4,1.72,488598.83,8.02
937608.42,15.4,1.72,488523.38,8.02
937429.47,15.4,1.71,488410.33,8.02
937271.58,15.4,1.71,488336.74,8.02
936934.74,15.4,1.71,488300.41,8.03
936755.79,15.4,1.71,488185.51,8.02
936597.89,15.4,1.71,488042.67,8.02
935966.32,15.4,1.71,487576.49,8.02
936272.74,15.4,1.72,488005.23,8.03
935847.37,15.4,1.71,487590.84,8.02
935689.47,15.4,1.71,487444.45,8.02
935689.47,15.4,1.71,487444.45,8.02
934594.74,15.4,1.72,487124.22,8.03
934415.79,15.4,1.72,487082.11,8.03
934257.89,15.4,1.72,487008.52,8.03
934078.95,15.4,1.72,486893.62,8.03
933910.53,15.4,1.71,486091.66,8.02
933752.63,15.4,1.71,486018.07,8.02
933763.68,15.4,1.72,486093.16,8.02
933605.79,15.4,1.72,486017.72,8.02
933426.84,15.4,1.72,485904.67,8.02
933266.84,15.4,1.71,485744.67,8.01
933548.42,15.4,1.72,485275.72,8.01
