ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,3,2810,6212,2810
4,4,3810,6212,3810
5,5,4280,6212,4280
6,7,5280,6212,5280
6,7,6280,6212,6280
7,9,7280,6212,7280
8,10,8090,6212,8090
9,11,9090,6212,9090
9,11,9200,6212,9200
10,12,10010,6212,10010
11,14,11010,6212,11010
12,15,11820,6212,11820
12,15,12820,6212,12820
13,16,13630,6212,13630
14,17,14440,6212,14440
15,19,15440,6212,15440
16,20,16250,6212,16250
17,22,17250,6212,17250
18,24,18250,6212,18250
19,25,18480,6212,18480
20,33,26480,6212,26480
21,35,27480,6212,27480
22,36,27850,6212,27850
22,36,27850,6212,27850
23,40,31850,6212,31850
23,40,31850,6212,31850
23,40,32440,6212,32440
24,41,32910,6212,32910
25,42,33720,6212,33720
25,42,33720,6212,33720
25,42,34720,6212,34720
26,43,35530,6212,35530
27,45,36530,6212,36530
27,45,36530,6212,36530
27,45,37530,6212,37530
28,46,37750,6212,37750
29,48,38750,6212,38750
29,48,39070,6212,39070
30,49,39620,6212,39620
31,50,40430,6212,40430
32,52,41080,6212,41080
32,52,41080,6212,41080
32,52,42080,6212,42080
33,60,50080,6212,50080
34,62,51080,6212,51080
34,62,52080,6212,52080
35,64,53080,6212,53080
35,64,53890,6212,53890
35,64,54890,6212,54890
36,66,55890,6212,55890
37,68,56540,6212,56540
38,70,58540,6212,58540
38,70,59540,6212,59540
38,70,60540,6212,60540
38,70,60910,6212,60910
38,70,61910,6212,61910
38,70,61910,6212,61910
38,70,62380,6212,62380
38,70,62540,6212,62540
39,71,63010,6212,63010
40,73,64010,6212,64010
40,73,65010,6212,65010
41,74,65820,6212,65820
42,75,66630,6212,66630
43,77,67100,6212,67100
43,77,67570,6212,67570
44,79,69570,6212,69570
44,79,70030,6212,70030
45,81,71030,6212,71030
46,83,72030,6212,72030
47,84,72840,6212,72840
47,84,73840,6212,73840
48,86,74840,6212,74840
48,86,75840,6212,75840
48,86,76300,6212,76300
49,88,76770,6212,76770
50,90,77770,6212,77770
51,92,78240,6212,78240
51,92,79240,6212,79240
52,94,80240,6212,80240
52,94,81050,6212,81050
52,94,82050,6212,82050
52,94,82280,6212,82280
53,96,83280,6212,83280
53,96,84280,6212,84280
53,96,84750,6212,84750
54,98,85750,6212,85750
54,98,86750,6212,86750
55,100,87750,6212,87750
55,100,88070,6212,88070
55,100,89070,6212,89070
56,108,97070,6212,97070
56,108,97880,6212,97880
57,110,98880,6212,98880
58,112,99690,6212,99690
58,112,100690,6212,100690
58,112,101500,6212,101500
58,112,102500,6212,102500
59,120,102500,6212,102500
60,122,103500,6212,103500
60,122,103500,6212,103500
60,122,104500,6212,104500
61,124,105500,6212,105500
62,126,106150,6212,106150
62,126,107150,6212,107150
63,128,108150,6212,108150
63,128,108960,6212,108960
63,128,109960,6212,109960
64,130,110960,6212,110960
64,130,111960,6212,111960
65,132,112960,6212,112960
65,132,113960,6212,113960
66,134,114960,6212,114960
67,136,115770,6212,115770
67,136,116770,6212,116770
67,136,116990,6212,116990
67,136,117800,6212,117800
67,136,125800,6212,125800
68,138,126610,6212,126610
68,138,127080,6212,127080
69,140,128080,6212,128080
69,140,129080,6212,129080
69,140,130080,6212,130080
69,140,130550,6212,130550
70,142,131550,6212,131550
70,142,132550,6212,132550
71,144,132870,6212,132870
72,146,133870,6212,133870
72,146,134190,6212,134190
72,146,135190,6212,135190
73,148,136190,6212,136190
73,148,137000,6212,137000
73,148,138000,6212,138000
74,150,139000,6212,139000
74,150,140000,6212,140000
75,152,140470,6212,140470
75,152,141280,6212,141280
76,160,141280,6212,141280
77,162,142280,6212,142280
77,162,143280,6212,143280
78,164,145280,6212,145280
78,164,145600,6212,145600
79,166,147600,6212,147600
80,168,148600,6212,148600
80,168,149600,6212,149600
81,170,150600,6212,150600
81,170,151600,6212,151600
82,172,152600,6212,152600
82,172,153600,6212,153600
83,174,154600,6212,154600
84,176,155410,6212,155410
85,184,163410,6212,163410
85,184,163640,6212,163640
85,184,164450,6212,164450
86,186,165260,6212,165260
86,186,165260,6212,165260
86,186,165910,6212,165910
86,186,166910,6212,166910
87,188,167380,6212,167380
88,190,168380,6212,168380
88,190,168380,6212,168380
88,190,169190,6212,169190
88,190,169660,6212,169660
89,192,170470,6212,170470
89,192,171470,6212,171470
90,194,172470,6212,172470
90,194,173280,6212,173280
91,196,174280,6212,174280
91,196,174280,6212,174280
91,196,174280,6212,174280
91,196,174330,6212,174330
91,196,175330,6212,175330
92,198,176140,6212,176140
92,198,176460,6212,176460
92,198,176930,6212,176930
93,200,177930,6212,177930
94,202,178740,6212,178740
94,202,179740,6212,179740
95,204,180740,6212,180740
95,204,181290,6212,181290
96,206,181940,6212,181940
96,206,182940,6212,182940
97,208,183940,6212,183940
97,208,184940,6212,184940
97,208,184940,6212,184940
97,208,185940,6212,185940
98,210,186940,6212,186940
98,210,187940,6212,187940
99,212,188940,6212,188940
99,212,189940,6212,189940
100,214,190940,6212,190940
101,216,191940,6212,191940
101,216,192940,6212,192940
102,218,193940,6212,193940
102,218,194590,6212,194590
102,218,195590,6212,195590
102,218,195750,6212,195750
102,218,196040,6212,196040
