ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
873282.51,14.06,1.0,446604.12,7.19
872661.82,14.05,0.99,445872.72,7.18
872495.55,14.05,0.99,445720.04,7.18
872329.27,14.05,0.99,445567.37,7.18
872238.59,14.05,0.99,445365.96,7.17
872083.2,14.05,0.99,445219.45,7.17
871916.92,14.05,0.99,445183.82,7.17
872202.59,14.06,0.99,444959.98,7.17
871770.63,14.05,0.99,444417.3,7.16
871149.95,14.04,0.98,443685.9,7.15
871041.21,14.04,0.98,443577.16,7.15
870609.26,14.04,0.97,443168.1,7.15
870453.87,14.04,0.97,443021.59,7.14
870021.92,14.03,0.97,442478.91,7.14
869855.64,14.03,0.97,442443.28,7.14
869423.69,14.03,0.96,441900.6,7.13
868991.73,14.02,0.96,441357.92,7.12
869295.7,14.03,0.96,441096.65,7.12
868863.75,14.02,0.96,440553.97,7.11
869149.41,14.03,0.97,440318.51,7.11
869725.81,14.04,0.98,440329.65,7.11
869825.01,14.04,0.98,440318.14,7.11
868779.86,14.05,0.98,439985.16,7.11
868624.47,14.05,0.98,439910.62,7.11
868627.94,14.05,0.98,439803.36,7.11
868627.94,14.05,0.98,439803.36,7.11
868010.35,14.05,0.98,439362.14,7.11
868010.35,14.05,0.98,439362.14,7.11
867426.19,14.04,0.97,438777.99,7.1
867335.51,14.04,0.97,438576.58,7.1
866903.55,14.03,0.97,438033.9,7.09
866903.55,14.03,0.97,438033.9,7.09
866737.28,14.03,0.97,437926.3,7.09
866305.32,14.03,0.96,437383.63,7.08
866609.29,14.03,0.97,437122.35,7.08
866609.29,14.03,0.97,437122.35,7.08
865900.03,14.02,0.96,436357.33,7.07
866008.58,14.03,0.96,436355.16,7.07
865853.19,14.03,0.96,436296.78,7.07
865583.3,14.02,0.96,436026.89,7.06
865412.62,14.02,0.96,435745.48,7.06
864980.66,14.02,0.95,435202.8,7.05
865152.63,14.02,0.96,435215.73,7.05
865152.63,14.02,0.96,435215.73,7.05
864986.35,14.02,0.95,435091.97,7.05
863941.2,14.02,0.96,434758.99,7.06
863785.81,14.02,0.96,434612.48,7.05
