ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,3,2810,6212,2810
4,4,3810,6212,3810
5,5,4280,6212,4280
6,7,5280,6212,5280
6,7,6280,6212,6280
7,9,7280,6212,7280
7,9,8090,6212,8090
8,10,9090,6212,9090
8,10,9200,6212,9200
9,11,10010,6212,10010
10,13,11010,6212,11010
10,13,11820,6212,11820
11,15,12820,6212,12820
11,15,13630,6212,13630
12,16,14440,6212,14440
13,18,15440,6212,15440
13,18,16250,6212,16250
14,20,17250,6212,17250
15,22,18250,6212,18250
15,22,18480,6212,18480
16,30,26480,6212,26480
17,32,27480,6212,27480
17,32,27850,6212,27850
17,32,27850,6212,27850
18,36,31850,6212,31850
18,36,31850,6212,31850
19,37,32440,6212,32440
20,38,32910,6212,32910
21,39,33720,6212,33720
21,39,33720,6212,33720
22,40,34720,6212,34720
23,41,35530,6212,35530
24,43,36530,6212,36530
24,43,36530,6212,36530
24,43,37530,6212,37530
24,43,37750,6212,37750
25,45,38750,6212,38750
25,45,39070,6212,39070
25,45,39620,6212,39620
26,46,40430,6212,40430
27,48,41080,6212,41080
27,48,41080,6212,41080
27,48,42080,6212,42080
28,56,50080,6212,50080
29,58,51080,6212,51080
29,58,52080,6212,52080
30,60,53080,6212,53080
30,60,53890,6212,53890
31,62,54890,6212,54890
31,62,55890,6212,55890
32,64,56540,6212,56540
33,66,58540,6212,58540
33,66,59540,6212,59540
34,67,60540,6212,60540
34,67,60910,6212,60910
35,69,61910,6212,61910
35,69,61910,6212,61910
35,69,62380,6212,62380
35,69,62540,6212,62540
35,69,63010,6212,63010
36,71,64010,6212,64010
37,73,65010,6212,65010
37,73,65820,6212,65820
37,73,66630,6212,66630
38,75,67100,6212,67100
38,75,67570,6212,67570
39,77,69570,6212,69570
39,77,70030,6212,70030
40,79,71030,6212,71030
41,81,72030,6212,72030
41,81,72840,6212,72840
41,81,73840,6212,73840
42,83,74840,6212,74840
42,83,75840,6212,75840
42,83,76300,6212,76300
43,85,76770,6212,76770
43,85,77770,6212,77770
43,85,78240,6212,78240
44,86,79240,6212,79240
45,88,80240,6212,80240
45,88,81050,6212,81050
46,90,82050,6212,82050
46,90,82280,6212,82280
46,90,83280,6212,83280
47,92,84280,6212,84280
48,93,84750,6212,84750
49,95,85750,6212,85750
49,95,86750,6212,86750
50,97,87750,6212,87750
50,97,88070,6212,88070
50,97,89070,6212,89070
51,105,97070,6212,97070
51,105,97880,6212,97880
52,107,98880,6212,98880
52,107,99690,6212,99690
53,108,100690,6212,100690
54,109,101500,6212,101500
55,111,102500,6212,102500
56,119,102500,6212,102500
56,119,103500,6212,103500
56,119,103500,6212,103500
57,121,104500,6212,104500
57,121,105500,6212,105500
58,123,106150,6212,106150
58,123,107150,6212,107150
59,125,108150,6212,108150
59,125,108960,6212,108960
60,127,109960,6212,109960
60,127,110960,6212,110960
61,129,111960,6212,111960
61,129,112960,6212,112960
62,131,113960,6212,113960
62,131,114960,6212,114960
63,132,115770,6212,115770
64,134,116770,6212,116770
64,134,116990,6212,116990
64,134,117800,6212,117800
64,134,125800,6212,125800
65,135,126610,6212,126610
66,136,127080,6212,127080
67,138,128080,6212,128080
67,138,129080,6212,129080
68,140,130080,6212,130080
68,140,130550,6212,130550
69,142,131550,6212,131550
69,142,132550,6212,132550
69,142,132870,6212,132870
70,144,133870,6212,133870
70,144,134190,6212,134190
71,146,135190,6212,135190
71,146,136190,6212,136190
72,147,137000,6212,137000
73,148,138000,6212,138000
74,150,139000,6212,139000
74,150,140000,6212,140000
74,150,140470,6212,140470
75,152,141280,6212,141280
76,160,141280,6212,141280
76,160,142280,6212,142280
77,162,143280,6212,143280
78,164,145280,6212,145280
78,164,145600,6212,145600
79,166,147600,6212,147600
80,168,148600,6212,148600
80,168,149600,6212,149600
81,170,150600,6212,150600
81,170,151600,6212,151600
82,172,152600,6212,152600
82,172,153600,6212,153600
83,174,154600,6212,154600
83,174,155410,6212,155410
84,182,163410,6212,163410
84,182,163640,6212,163640
85,184,164450,6212,164450
85,184,165260,6212,165260
85,184,165260,6212,165260
86,186,165910,6212,165910
86,186,166910,6212,166910
87,188,167380,6212,167380
87,188,168380,6212,168380
87,188,168380,6212,168380
88,190,169190,6212,169190
88,190,169660,6212,169660
88,190,170470,6212,170470
89,192,171470,6212,171470
89,192,172470,6212,172470
90,194,173280,6212,173280
90,194,174280,6212,174280
90,194,174280,6212,174280
90,194,174280,6212,174280
90,194,174330,6212,174330
91,196,175330,6212,175330
91,196,176140,6212,176140
91,196,176460,6212,176460
92,198,176930,6212,176930
92,198,177930,6212,177930
93,200,178740,6212,178740
93,200,179740,6212,179740
94,202,180740,6212,180740
94,202,181290,6212,181290
95,204,181940,6212,181940
95,204,182940,6212,182940
96,206,183940,6212,183940
96,206,184940,6212,184940
96,206,184940,6212,184940
97,208,185940,6212,185940
97,208,186940,6212,186940
98,210,187940,6212,187940
98,210,188940,6212,188940
99,212,189940,6212,189940
99,212,190940,6212,190940
100,214,191940,6212,191940
100,214,192940,6212,192940
101,216,193940,6212,193940
102,218,194590,6212,194590
102,218,195590,6212,195590
102,218,195750,6212,195750
102,218,196040,6212,196040
