ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
873282.51,14.06,1.0,446604.12,7.19
872661.82,14.05,0.99,445872.72,7.18
872495.55,14.05,0.99,445720.04,7.18
872329.27,14.05,0.99,445567.37,7.18
872238.59,14.05,0.99,445365.96,7.17
872083.2,14.05,0.99,445219.45,7.17
871916.92,14.05,0.99,445183.82,7.17
872202.59,14.06,0.99,444959.98,7.17
871683.32,14.05,0.99,444384.96,7.16
871062.63,14.04,0.98,443653.56,7.15
870953.9,14.04,0.98,443544.82,7.15
870521.95,14.04,0.97,443002.15,7.14
870366.56,14.04,0.97,442855.64,7.14
870389.02,14.04,0.97,443005.33,7.15
870233.63,14.04,0.97,442858.82,7.14
870256.08,14.04,0.98,443008.51,7.15
869824.13,14.03,0.97,442599.44,7.14
870128.1,14.04,0.98,442338.16,7.14
869590.52,14.04,0.97,441800.59,7.13
869876.19,14.04,0.98,441565.12,7.13
870452.58,14.05,0.99,441576.27,7.13
870513.31,14.06,0.99,441592.87,7.13
869468.16,14.06,0.99,441259.89,7.13
869753.82,14.06,1.0,441024.43,7.13
869674.55,14.06,1.0,440901.04,7.13
869674.55,14.06,1.0,440901.04,7.13
869056.96,14.06,1.0,440459.82,7.13
869056.96,14.06,1.0,440459.82,7.13
868821.12,14.06,1.0,440113.25,7.12
868730.43,14.06,0.99,439911.84,7.12
868298.48,14.05,0.99,439369.17,7.11
868298.48,14.05,0.99,439369.17,7.11
867677.79,14.05,0.98,438637.76,7.1
867245.84,14.04,0.98,438095.08,7.09
867090.45,14.04,0.98,437969.06,7.09
867090.45,14.04,0.98,437969.06,7.09
866924.17,14.04,0.98,437912.94,7.09
866729.33,14.04,0.97,437718.1,7.09
866573.94,14.04,0.97,437659.72,7.09
866253.94,14.03,0.97,437339.72,7.08
866506.05,14.04,0.97,437632.93,7.09
866074.09,14.03,0.97,437090.25,7.08
866246.06,14.04,0.97,437103.18,7.08
866246.06,14.04,0.97,437103.18,7.08
866079.78,14.04,0.97,437229.44,7.09
865034.63,14.04,0.97,436896.46,7.09
864879.24,14.04,0.97,436749.94,7.09
