ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,3,2810,6212,2810
4,4,3810,6212,3810
5,5,4280,6212,4280
6,7,5280,6212,5280
6,7,6280,6212,6280
7,9,7280,6212,7280
8,10,8090,6212,8090
9,11,9090,6212,9090
9,11,9200,6212,9200
10,12,10010,6212,10010
10,12,11010,6212,11010
11,13,11820,6212,11820
12,15,12820,6212,12820
13,16,13630,6212,13630
14,17,14440,6212,14440
14,17,15440,6212,15440
15,18,16250,6212,16250
16,26,17250,6212,17250
16,26,18250,6212,18250
17,27,18480,6212,18480
18,35,26480,6212,26480
19,37,27480,6212,27480
20,38,27850,6212,27850
20,38,27850,6212,27850
21,42,31850,6212,31850
21,42,31850,6212,31850
21,42,32440,6212,32440
22,43,32910,6212,32910
23,44,33720,6212,33720
23,44,33720,6212,33720
24,45,34720,6212,34720
25,46,35530,6212,35530
25,46,36530,6212,36530
25,46,36530,6212,36530
26,47,37530,6212,37530
27,48,37750,6212,37750
28,50,38750,6212,38750
28,50,39070,6212,39070
29,51,39620,6212,39620
30,52,40430,6212,40430
30,52,41080,6212,41080
30,52,41080,6212,41080
31,53,42080,6212,42080
32,61,50080,6212,50080
33,63,51080,6212,51080
33,63,52080,6212,52080
34,65,53080,6212,53080
35,66,53890,6212,53890
35,66,54890,6212,54890
36,68,55890,6212,55890
36,68,56540,6212,56540
37,70,58540,6212,58540
38,72,59540,6212,59540
38,72,60540,6212,60540
39,74,60910,6212,60910
40,76,61910,6212,61910
40,76,61910,6212,61910
40,76,62380,6212,62380
40,76,62540,6212,62540
40,76,63010,6212,63010
41,78,64010,6212,64010
41,78,65010,6212,65010
41,78,65820,6212,65820
42,80,66630,6212,66630
43,82,67100,6212,67100
43,82,67570,6212,67570
44,84,69570,6212,69570
44,84,70030,6212,70030
44,84,71030,6212,71030
45,86,72030,6212,72030
46,88,72840,6212,72840
46,88,73840,6212,73840
46,88,74840,6212,74840
47,90,75840,6212,75840
47,90,76300,6212,76300
47,90,76770,6212,76770
48,92,77770,6212,77770
48,92,78240,6212,78240
49,94,79240,6212,79240
49,94,80240,6212,80240
50,96,81050,6212,81050
51,98,82050,6212,82050
51,98,82280,6212,82280
51,98,83280,6212,83280
51,98,84280,6212,84280
51,98,84750,6212,84750
52,100,85750,6212,85750
52,100,86750,6212,86750
53,102,87750,6212,87750
53,102,88070,6212,88070
54,104,89070,6212,89070
55,112,97070,6212,97070
55,112,97880,6212,97880
55,112,98880,6212,98880
56,114,99690,6212,99690
56,114,100690,6212,100690
57,116,101500,6212,101500
57,116,102500,6212,102500
57,116,102500,6212,102500
58,120,103500,6212,103500
58,120,103500,6212,103500
59,124,104500,6212,104500
59,124,105500,6212,105500
60,128,106150,6212,106150
60,128,107150,6212,107150
61,132,108150,6212,108150
62,134,108960,6212,108960
62,134,109960,6212,109960
62,134,110960,6212,110960
63,138,111960,6212,111960
63,138,112960,6212,112960
63,138,113960,6212,113960
64,142,114960,6212,114960
65,144,115770,6212,115770
65,144,116770,6212,116770
65,144,116990,6212,116990
66,146,117800,6212,117800
67,154,125800,6212,125800
67,154,126610,6212,126610
67,154,127080,6212,127080
68,162,128080,6212,128080
69,164,129080,6212,129080
69,164,130080,6212,130080
69,164,130550,6212,130550
70,168,131550,6212,131550
70,168,132550,6212,132550
71,170,132870,6212,132870
71,170,133870,6212,133870
72,172,134190,6212,134190
73,176,135190,6212,135190
73,176,136190,6212,136190
74,178,137000,6212,137000
74,178,138000,6212,138000
74,178,139000,6212,139000
75,182,140000,6212,140000
75,182,140470,6212,140470
76,184,141280,6212,141280
76,184,141280,6212,141280
76,184,142280,6212,142280
76,184,143280,6212,143280
77,186,145280,6212,145280
78,188,145600,6212,145600
79,190,147600,6212,147600
79,190,148600,6212,148600
80,192,149600,6212,149600
80,192,150600,6212,150600
81,196,151600,6212,151600
82,198,152600,6212,152600
82,198,153600,6212,153600
82,198,154600,6212,154600
83,200,155410,6212,155410
84,208,163410,6212,163410
84,208,163640,6212,163640
84,208,164450,6212,164450
85,210,165260,6212,165260
85,210,165260,6212,165260
85,210,165910,6212,165910
86,214,166910,6212,166910
86,214,167380,6212,167380
87,218,168380,6212,168380
87,218,168380,6212,168380
88,220,169190,6212,169190
88,220,169660,6212,169660
88,220,170470,6212,170470
88,220,171470,6212,171470
89,224,172470,6212,172470
90,226,173280,6212,173280
90,226,174280,6212,174280
90,226,174280,6212,174280
90,226,174280,6212,174280
90,226,174330,6212,174330
91,230,175330,6212,175330
92,232,176140,6212,176140
92,232,176460,6212,176460
92,232,176930,6212,176930
93,236,177930,6212,177930
94,238,178740,6212,178740
94,238,179740,6212,179740
94,238,180740,6212,180740
94,238,181290,6212,181290
95,242,181940,6212,181940
96,246,182940,6212,182940
96,246,183940,6212,183940
97,248,184940,6212,184940
97,248,184940,6212,184940
97,248,185940,6212,185940
98,252,186940,6212,186940
99,260,187940,6212,187940
99,260,188940,6212,188940
100,264,189940,6212,189940
101,268,190940,6212,190940
101,268,191940,6212,191940
102,270,192940,6212,192940
102,270,193940,6212,193940
103,274,194590,6212,194590
