ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
873282.51,14.06,1.0,446604.12,7.19
541432.11,8.72,1.35,578234.26,9.31
541295.26,8.72,1.35,578043.63,9.31
541158.42,8.72,1.35,577853.0,9.31
541109.47,8.72,1.35,577684.58,9.31
541014.74,8.72,1.35,577528.56,9.3
540877.89,8.72,1.35,577404.71,9.3
540783.16,8.72,1.35,577293.01,9.3
540394.21,8.71,1.34,576784.59,9.3
539815.26,8.7,1.33,576086.17,9.29
539705.26,8.7,1.33,575976.17,9.29
539316.32,8.7,1.33,575521.75,9.28
539179.47,8.7,1.33,575353.58,9.28
538790.53,8.69,1.32,574845.16,9.27
538695.79,8.69,1.32,574628.44,9.27
538306.84,8.68,1.32,574120.02,9.26
537917.89,8.68,1.31,573611.6,9.26
537781.05,8.68,1.31,573548.45,9.26
537392.11,8.67,1.31,573040.03,9.25
537286.84,8.67,1.3,572830.06,9.25
537181.58,8.67,1.3,572462.37,9.24
537348.32,8.68,1.31,572509.63,9.24
536590.42,8.67,1.31,571859.28,9.25
536495.68,8.67,1.31,571747.58,9.24
536546.74,8.68,1.31,571679.16,9.24
536546.74,8.68,1.31,571679.16,9.24
536125.68,8.67,1.31,571262.27,9.24
536125.68,8.67,1.31,571262.27,9.24
535535.68,8.67,1.3,570672.27,9.23
535486.74,8.67,1.3,570503.85,9.23
535097.79,8.66,1.29,569995.43,9.23
535097.79,8.66,1.29,569995.43,9.23
534518.84,8.65,1.28,569297.01,9.22
534129.89,8.65,1.28,568788.59,9.21
533993.05,8.65,1.28,568620.42,9.21
533993.05,8.65,1.28,568620.42,9.21
533414.11,8.64,1.27,567922.0,9.2
533590.53,8.64,1.27,567995.37,9.2
533495.79,8.64,1.27,567883.67,9.2
533200.11,8.64,1.27,567587.98,9.19
533071.16,8.64,1.27,567393.56,9.19
532682.21,8.63,1.26,566885.14,9.19
532884.32,8.64,1.27,567055.73,9.19
532884.32,8.64,1.27,567055.73,9.19
532305.37,8.63,1.26,566411.31,9.18
531715.89,8.63,1.26,565932.11,9.18
531621.16,8.63,1.26,565776.09,9.18
531484.32,8.63,1.26,565652.24,9.18
531389.58,8.63,1.26,565540.53,9.18
531000.63,8.62,1.25,565032.11,9.18
530863.79,8.62,1.25,564863.94,9.17
530769.05,8.62,1.25,564752.24,9.17
530971.16,8.63,1.26,564922.83,9.18
530739.58,8.63,1.26,564642.96,9.18
530286.95,8.62,1.25,563751.14,9.16
529581.68,8.61,1.24,563013.87,9.15
529832.74,8.61,1.25,562792.57,9.15
529738.0,8.61,1.25,562680.87,9.15
529738.0,8.61,1.25,562680.87,9.15
530041.89,8.62,1.25,562914.39,9.15
529892.95,8.62,1.25,562765.63,9.15
