ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,4,1000,6212,1000
2,5,2000,6212,2000
3,6,2470,6212,2470
4,8,3470,6212,3470
5,9,4020,6212,4020
6,11,5020,6212,5020
7,13,6020,6212,6020
7,13,7020,6212,7020
8,15,7020,6212,7020
9,17,8020,6212,8020
9,17,8490,6212,8490
9,17,9490,6212,9490
10,19,10490,6212,10490
10,19,11490,6212,11490
11,21,13490,6212,13490
12,25,13490,6212,13490
12,25,14300,6212,14300
12,25,14460,6212,14460
12,25,15460,6212,15460
13,29,19460,6212,19460
13,29,20050,6212,20050
14,33,21050,6212,21050
15,35,22050,6212,22050
15,35,22860,6212,22860
16,37,23860,6212,23860
17,41,23860,6212,23860
18,43,24860,6212,24860
18,43,25670,6212,25670
19,45,26670,6212,26670
19,45,27670,6212,27670
19,45,28670,6212,28670
20,46,29140,6212,29140
20,46,29950,6212,29950
21,47,30420,6212,30420
22,48,31010,6212,31010
23,52,32010,6212,32010
24,54,32330,6212,32330
24,54,32800,6212,32800
25,55,33800,6212,33800
26,57,34800,6212,34800
27,61,35800,6212,35800
28,65,35800,6212,35800
28,65,36120,6212,36120
29,73,44120,6212,44120
29,73,45120,6212,45120
30,75,46120,6212,46120
31,83,54120,6212,54120
32,85,55120,6212,55120
33,89,55120,6212,55120
34,91,55590,6212,55590
34,91,56590,6212,56590
34,91,56590,6212,56590
35,99,64590,6212,64590
36,100,65590,6212,65590
37,102,66590,6212,66590
38,104,66590,6212,66590
39,105,67400,6212,67400
40,106,68400,6212,68400
41,108,68870,6212,68870
42,109,69870,6212,69870
43,111,70870,6212,70870
44,113,72870,6212,72870
44,113,73190,6212,73190
45,115,73190,6212,73190
46,117,74190,6212,74190
47,119,74510,6212,74510
47,119,75510,6212,75510
48,121,76510,6212,76510
48,121,76980,6212,76980
48,121,77980,6212,77980
48,121,77980,6212,77980
49,123,78450,6212,78450
50,125,80450,6212,80450
51,133,88450,6212,88450
51,133,88450,6212,88450
52,135,89450,6212,89450
52,135,90450,6212,90450
53,137,91100,6212,91100
54,139,92100,6212,92100
55,141,92750,6212,92750
55,141,92750,6212,92750
56,143,93750,6212,93750
57,145,94750,6212,94750
57,145,94980,6212,94980
57,145,95790,6212,95790
57,145,96340,6212,96340
57,145,96340,6212,96340
58,149,97340,6212,97340
59,150,98340,6212,98340
60,154,98340,6212,98340
61,162,106340,6212,106340
62,166,106340,6212,106340
63,168,106810,6212,106810
64,170,107810,6212,107810
65,174,107810,6212,107810
66,178,111810,6212,111810
66,178,112180,6212,112180
66,178,112990,6212,112990
67,179,113990,6212,113990
68,181,114990,6212,114990
69,183,115990,6212,115990
69,183,116800,6212,116800
69,183,116800,6212,116800
69,183,117800,6212,117800
70,185,118800,6212,118800
71,187,119800,6212,119800
72,189,120800,6212,120800
73,191,121800,6212,121800
73,191,122800,6212,122800
74,193,123800,6212,123800
75,195,124270,6212,124270
76,197,125270,6212,125270
77,199,126270,6212,126270
78,201,126270,6212,126270
79,203,127270,6212,127270
79,203,128270,6212,128270
79,203,129270,6212,129270
80,211,137270,6212,137270
81,213,138270,6212,138270
82,221,146270,6212,146270
82,221,147270,6212,147270
82,221,147590,6212,147590
83,223,148590,6212,148590
83,223,149180,6212,149180
84,227,153180,6212,153180
85,229,155180,6212,155180
86,231,155650,6212,155650
87,232,156120,6212,156120
87,232,156350,6212,156350
88,234,157350,6212,157350
89,236,158350,6212,158350
90,238,160350,6212,160350
91,240,161350,6212,161350
