ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
879714.42,14.16,1.47,585441.23,9.43
879082.93,14.16,1.46,584702.06,9.42
878981.44,14.16,1.46,584492.9,9.41
879256.44,14.16,1.47,584211.1,9.41
879074.95,14.16,1.47,583921.94,9.41
879332.16,14.17,1.47,583676.51,9.4
879574.95,14.17,1.48,583362.5,9.4
878839.62,14.16,1.47,582627.16,9.39
879208.12,14.17,1.48,582888.0,9.39
879465.34,14.18,1.48,582631.28,9.39
880241.61,14.19,1.5,582893.5,9.4
879524.06,14.18,1.49,582121.79,9.39
879781.27,14.19,1.49,581876.36,9.38
879063.72,14.18,1.48,581115.94,9.37
878850.98,14.18,1.49,580202.54,9.36
878944.25,14.18,1.49,580272.28,9.36
878416.7,14.17,1.48,579690.57,9.35
878553.58,14.18,1.48,579827.45,9.36
877922.09,14.17,1.48,579218.19,9.35
877254.3,14.17,1.47,578612.72,9.34
877008.37,14.16,1.47,578259.12,9.34
877147.31,14.17,1.48,578949.34,9.35
876860.53,14.17,1.47,578684.8,9.35
876417.81,14.16,1.47,578134.4,9.34
876638.96,14.17,1.47,578558.47,9.35
879929.83,14.22,1.53,581276.94,9.39
880187.04,14.23,1.53,581031.51,9.39
879659.49,14.22,1.53,580429.32,9.38
879916.7,14.23,1.53,580183.9,9.38
879199.15,14.22,1.52,579412.19,9.37
879456.36,14.22,1.53,579166.76,9.37
879354.87,14.22,1.53,578957.6,9.36
878827.33,14.22,1.52,578375.89,9.36
878725.84,14.22,1.52,578166.72,9.35
878418.29,14.21,1.52,577805.01,9.35
878557.23,14.22,1.52,578495.24,9.36
878562.75,14.22,1.52,578393.08,9.36
879339.02,14.23,1.54,578655.3,9.36
878707.53,14.22,1.53,577916.13,9.35
878964.74,14.23,1.54,577670.71,9.35
879103.68,14.23,1.54,578360.93,9.36
879103.68,14.23,1.54,578218.36,9.36
878808.12,14.23,1.54,577922.81,9.36
877647.55,14.23,1.54,577267.83,9.36
876930.0,14.22,1.53,576496.12,9.35
877469.66,14.23,1.54,576478.99,9.35
876454.28,14.23,1.54,575995.52,9.35
876697.07,14.24,1.55,575681.5,9.35
876868.94,14.24,1.55,576644.64,9.37
876767.45,14.24,1.55,576565.38,9.37
876064.33,14.23,1.54,575862.26,9.36
876064.33,14.23,1.54,575862.26,9.36
875048.94,14.23,1.54,575378.79,9.36
874417.45,14.23,1.53,574639.62,9.35
874957.12,14.24,1.55,574622.49,9.35
874957.12,14.24,1.55,574622.49,9.35
874514.39,14.23,1.54,574072.09,9.34
873882.9,14.22,1.53,573462.84,9.33
874687.18,14.24,1.55,573722.67,9.34
874055.69,14.23,1.54,572983.5,9.33
874330.69,14.24,1.54,572701.7,9.33
874117.95,14.24,1.55,571788.3,9.31
874062.61,14.24,1.55,571732.96,9.31
875219.58,14.26,1.56,572539.37,9.33
875462.37,14.26,1.57,572225.36,9.32
875510.88,14.26,1.57,572166.2,9.32
874807.76,14.26,1.56,571463.07,9.31
875064.97,14.26,1.57,571217.65,9.31
874963.48,14.26,1.57,571008.48,9.31
875220.69,14.27,1.58,570763.06,9.3
875580.31,14.27,1.58,571517.89,9.32
876356.58,14.29,1.6,571780.1,9.32
875994.08,14.29,1.59,571502.71,9.32
874978.69,14.29,1.6,571044.75,9.33
874978.69,14.29,1.6,571044.75,9.33
875253.69,14.3,1.6,570762.95,9.32
875496.48,14.3,1.61,570448.94,9.32
876158.74,14.31,1.62,571267.07,9.33
876698.4,14.33,1.63,571249.94,9.33
877304.43,14.34,1.64,571293.46,9.34
878461.4,14.36,1.66,572099.87,9.35
879001.06,14.37,1.67,572082.74,9.35
879243.85,14.37,1.68,571768.72,9.35
879278.52,14.37,1.68,571803.39,9.35
878750.97,14.37,1.68,571221.68,9.34
878483.42,14.36,1.67,570899.97,9.34
878483.42,14.36,1.67,570899.97,9.34
878622.36,14.37,1.68,571590.19,9.35
877990.87,14.36,1.67,570851.03,9.34
877990.87,14.36,1.67,570857.71,9.34
876975.49,14.36,1.67,570374.24,9.34
878612.99,14.39,1.7,572090.17,9.37
879389.26,14.4,1.71,572352.38,9.37
879646.47,14.41,1.72,572095.66,9.37
880006.09,14.42,1.72,572850.5,9.38
879338.3,14.41,1.72,572245.03,9.38
879265.17,14.41,1.72,572171.9,9.38
878737.62,14.41,1.72,571601.48,9.37
878034.5,14.4,1.71,570898.36,9.36
878291.71,14.41,1.71,570652.93,9.36
878548.92,14.41,1.72,570407.51,9.36
878021.37,14.41,1.71,569825.8,9.35
878021.37,14.41,1.71,569825.8,9.35
877303.83,14.4,1.7,569054.09,9.34
877561.04,14.4,1.71,568797.37,9.33
877803.83,14.41,1.72,568483.36,9.33
878046.61,14.42,1.72,568169.34,9.33
878303.83,14.42,1.73,567912.63,9.33
877586.28,14.41,1.72,567152.21,9.31
877843.49,14.42,1.73,566906.78,9.31
878619.76,14.43,1.74,567169.0,9.32
878876.97,14.44,1.75,566923.57,9.31
879134.18,14.45,1.75,566678.14,9.31
880291.15,14.46,1.77,567484.56,9.32
880830.82,14.48,1.78,567467.42,9.33
880127.69,14.47,1.77,566764.29,9.32
880384.9,14.47,1.78,566518.87,9.31
879369.52,14.48,1.78,566035.4,9.32
879626.73,14.48,1.79,565789.97,9.32
878324.81,14.48,1.79,564834.48,9.31
877621.68,14.47,1.78,564131.36,9.3
877584.13,14.47,1.78,564050.94,9.3
878123.8,14.48,1.79,564033.8,9.3
877816.25,14.48,1.79,563672.09,9.3
877107.12,14.48,1.78,562390.56,9.28
876744.62,14.48,1.78,562113.17,9.28
876643.12,14.47,1.78,561904.01,9.28
876541.63,14.47,1.78,561694.84,9.28
876594.09,14.48,1.78,561693.13,9.28
876851.3,14.48,1.79,561447.71,9.27
877390.96,14.49,1.8,561430.57,9.27
876930.62,14.49,1.8,560413.43,9.26
877205.62,14.5,1.81,560131.63,9.26
876678.08,14.49,1.8,559549.92,9.25
876678.08,14.49,1.8,559549.92,9.25
876935.29,14.5,1.81,559304.5,9.25
876833.8,14.5,1.8,559095.33,9.24
877373.46,14.51,1.82,559078.2,9.24
877335.91,14.51,1.82,558986.49,9.24
877593.12,14.52,1.82,558741.06,9.24
877325.58,14.51,1.82,558419.35,9.24
876608.03,14.5,1.81,557647.64,9.23
876608.03,14.5,1.81,557647.64,9.23
876865.24,14.51,1.82,557402.21,9.22
877122.45,14.52,1.82,557156.79,9.22
877397.64,14.52,1.83,557213.76,9.22
877937.31,14.53,1.84,557196.62,9.22
876921.92,14.54,1.84,556713.15,9.23
877698.19,14.55,1.86,556975.37,9.23
877940.98,14.56,1.86,556661.35,9.23
878480.65,14.57,1.87,556644.22,9.23
878755.65,14.57,1.88,556362.42,9.23
878210.31,14.57,1.87,555817.08,9.22
879598.29,14.59,1.9,556911.49,9.24
880374.56,14.61,1.91,557173.7,9.24
881150.83,14.62,1.93,557435.91,9.25
881393.62,14.63,1.93,557121.9,9.25
880866.07,14.62,1.93,556540.19,9.24
881642.34,14.63,1.94,556802.41,9.24
881387.53,14.63,1.94,556329.38,9.24
881927.2,14.64,1.95,556312.24,9.24
881209.65,14.63,1.94,555540.53,9.23
880996.91,14.64,1.94,554627.13,9.21
882117.82,14.65,1.96,556095.26,9.24
881792.49,14.65,1.96,555769.93,9.23
881704.94,14.65,1.96,555628.22,9.23
882244.6,14.66,1.97,555611.08,9.23
882297.05,14.66,1.97,555609.37,9.23
882554.26,14.67,1.98,555352.65,9.23
883188.66,14.68,1.99,555485.73,9.23
883139.89,14.68,1.99,555436.96,9.23
884679.56,14.71,2.01,556419.83,9.25
884152.01,14.7,2.01,555849.41,9.24
883587.28,14.69,2.0,555229.19,9.23
883587.28,14.69,2.0,555235.87,9.23
883844.49,14.7,2.01,554990.45,9.23
884101.7,14.71,2.01,554733.73,9.23
884736.09,14.72,2.02,554866.81,9.23
885076.72,14.73,2.03,555285.86,9.24
885852.99,14.74,2.05,555548.08,9.24
885989.86,14.74,2.05,555684.95,9.25
885286.74,14.73,2.04,554981.83,9.24
886826.4,14.76,2.07,555964.69,9.25
885811.02,14.76,2.07,555481.22,9.26
885093.47,14.75,2.06,554709.51,9.25
885633.13,14.76,2.07,554692.37,9.25
885365.59,14.76,2.07,554381.95,9.24
885640.59,14.77,2.07,554100.15,9.24
885897.8,14.77,2.08,553854.73,9.24
886155.01,14.78,2.09,553598.01,9.23
885829.67,14.78,2.08,553272.67,9.23
886086.88,14.78,2.09,553027.25,9.23
886361.88,14.79,2.1,552745.45,9.22
886500.83,14.8,2.1,553435.67,9.24
885783.28,14.79,2.09,552663.96,9.23
885745.73,14.79,2.09,552583.54,9.22
886002.94,14.79,2.1,552338.11,9.22
886260.15,14.8,2.11,552092.69,9.22
886502.94,14.81,2.11,551778.68,9.22
886760.15,14.81,2.12,551533.25,9.21
886547.41,14.81,2.12,550619.84,9.2
887209.67,14.83,2.13,551437.98,9.22
886682.12,14.82,2.13,550856.27,9.21
886716.79,14.82,2.13,550890.93,9.21
886502.06,14.82,2.13,550620.72,9.2
886759.27,14.83,2.13,550375.29,9.2
886056.14,14.82,2.12,549672.17,9.19
885893.02,14.82,2.12,549509.04,9.19
885893.02,14.82,2.12,549515.72,9.19
885175.47,14.81,2.11,548744.01,9.18
884457.92,14.8,2.1,547972.3,9.17
883930.37,14.79,2.1,547390.59,9.16
883854.65,14.79,2.1,547371.06,9.16
883567.87,14.79,2.1,547106.52,9.16
884321.36,14.8,2.11,547112.93,9.16
884283.81,14.8,2.11,547021.22,9.16
884071.07,14.8,2.11,546107.82,9.14
884071.07,14.8,2.11,546114.49,9.14
884292.22,14.81,2.12,546538.56,9.15
884535.01,14.82,2.12,546224.55,9.15
884792.22,14.82,2.13,545979.12,9.15
885067.22,14.83,2.14,545697.32,9.14
885673.25,14.84,2.15,545740.85,9.15
884657.87,14.84,2.15,545257.37,9.15
883940.32,14.83,2.14,544465.18,9.14
884197.53,14.84,2.15,544219.76,9.13
884454.74,14.85,2.16,543974.33,9.13
886092.24,14.88,2.18,545690.26,9.16
885564.69,14.87,2.18,545108.55,9.15
886104.36,14.88,2.19,545091.41,9.15
886104.36,14.88,2.19,545098.09,9.15
885559.02,14.87,2.18,544552.76,9.15
885834.02,14.88,2.19,544270.96,9.14
885508.69,14.88,2.18,543945.62,9.14
885432.96,14.88,2.19,543926.09,9.14
885146.19,14.88,2.18,543661.55,9.14
885403.4,14.88,2.19,543416.12,9.13
885399.57,14.88,2.19,543602.58,9.14
886005.6,14.9,2.2,543646.1,9.14
885492.48,14.89,2.2,543132.97,9.13
884774.93,14.88,2.19,542361.26,9.12
885314.59,14.89,2.2,542344.13,9.12
885571.8,14.9,2.21,542087.41,9.12
884556.42,14.9,2.21,541603.94,9.12
884831.42,14.91,2.22,541322.14,9.12
885371.08,14.92,2.23,541305.0,9.12
885910.75,14.93,2.24,541287.86,9.12
885383.2,14.92,2.23,540706.15,9.11
885214.21,14.92,2.23,540519.86,9.11
885848.6,14.94,2.24,540652.94,9.12
886105.81,14.94,2.25,540396.22,9.11
886105.81,14.94,2.25,540396.22,9.11
