ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,2,1000,6212,1000
2,3,2000,6212,2000
3,4,2470,6212,2470
3,4,3470,6212,3470
4,5,4020,6212,4020
5,6,5020,6212,5020
6,7,6020,6212,6020
7,8,7020,6212,7020
8,16,7020,6212,7020
9,24,8020,6212,8020
10,26,8490,6212,8490
11,27,9490,6212,9490
11,27,10490,6212,10490
12,28,11490,6212,11490
13,30,13490,6212,13490
13,30,13490,6212,13490
14,31,14300,6212,14300
14,31,14460,6212,14460
15,32,15460,6212,15460
16,36,19460,6212,19460
17,37,20050,6212,20050
17,37,21050,6212,21050
18,45,22050,6212,22050
19,46,22860,6212,22860
19,46,23860,6212,23860
19,46,23860,6212,23860
20,54,24860,6212,24860
21,55,25670,6212,25670
21,55,26670,6212,26670
22,56,27670,6212,27670
23,64,28670,6212,28670
23,64,29140,6212,29140
24,65,29950,6212,29950
25,66,30420,6212,30420
26,67,31010,6212,31010
26,67,32010,6212,32010
26,67,32330,6212,32330
27,69,32800,6212,32800
28,70,33800,6212,33800
28,70,34800,6212,34800
29,78,35800,6212,35800
29,78,35800,6212,35800
29,78,36120,6212,36120
30,86,44120,6212,44120
31,87,45120,6212,45120
32,95,46120,6212,46120
32,95,54120,6212,54120
32,95,55120,6212,55120
32,95,55120,6212,55120
32,95,55590,6212,55590
33,96,56590,6212,56590
33,96,56590,6212,56590
34,104,64590,6212,64590
35,105,65590,6212,65590
35,105,66590,6212,66590
35,105,66590,6212,66590
36,106,67400,6212,67400
37,107,68400,6212,68400
38,109,68870,6212,68870
39,110,69870,6212,69870
39,110,70870,6212,70870
40,112,72870,6212,72870
40,112,73190,6212,73190
40,112,73190,6212,73190
40,112,74190,6212,74190
41,114,74510,6212,74510
42,116,75510,6212,75510
42,116,76510,6212,76510
42,116,76980,6212,76980
43,124,77980,6212,77980
43,124,77980,6212,77980
44,126,78450,6212,78450
45,128,80450,6212,80450
46,136,88450,6212,88450
46,136,88450,6212,88450
46,136,89450,6212,89450
46,136,90450,6212,90450
47,138,91100,6212,91100
47,138,92100,6212,92100
48,140,92750,6212,92750
48,140,92750,6212,92750
48,140,93750,6212,93750
48,140,94750,6212,94750
48,140,94980,6212,94980
48,140,95790,6212,95790
49,142,96340,6212,96340
49,142,96340,6212,96340
50,144,97340,6212,97340
50,144,98340,6212,98340
50,144,98340,6212,98340
51,152,106340,6212,106340
51,152,106340,6212,106340
51,152,106810,6212,106810
52,156,107810,6212,107810
52,156,107810,6212,107810
53,160,111810,6212,111810
54,162,112180,6212,112180
54,162,112990,6212,112990
55,164,113990,6212,113990
55,164,114990,6212,114990
55,164,115990,6212,115990
55,164,116800,6212,116800
55,164,116800,6212,116800
56,166,117800,6212,117800
56,166,118800,6212,118800
57,168,119800,6212,119800
57,168,120800,6212,120800
58,170,121800,6212,121800
58,170,122800,6212,122800
59,172,123800,6212,123800
59,172,124270,6212,124270
59,172,125270,6212,125270
60,174,126270,6212,126270
60,174,126270,6212,126270
60,174,127270,6212,127270
61,176,128270,6212,128270
61,176,129270,6212,129270
62,184,137270,6212,137270
63,186,138270,6212,138270
64,194,146270,6212,146270
64,194,147270,6212,147270
64,194,147590,6212,147590
65,196,148590,6212,148590
65,196,149180,6212,149180
66,200,153180,6212,153180
66,200,155180,6212,155180
66,200,155650,6212,155650
66,200,156120,6212,156120
66,200,156350,6212,156350
67,202,157350,6212,157350
67,202,158350,6212,158350
68,204,160350,6212,160350
69,206,161350,6212,161350
69,206,162160,6212,162160
69,206,162160,6212,162160
70,208,163160,6212,163160
70,208,163630,6212,163630
71,210,164630,6212,164630
71,210,164950,6212,164950
71,210,165950,6212,165950
72,212,166500,6212,166500
72,212,167500,6212,167500
72,212,167500,6212,167500
73,214,168500,6212,168500
73,214,169500,6212,169500
74,216,169970,6212,169970
74,216,170970,6212,170970
75,224,178970,6212,178970
75,224,179440,6212,179440
76,226,180440,6212,180440
76,226,181440,6212,181440
77,230,182440,6212,182440
77,230,183250,6212,183250
77,230,184250,6212,184250
77,230,184720,6212,184720
77,230,185190,6212,185190
78,232,186190,6212,186190
78,232,187000,6212,187000
79,234,187470,6212,187470
79,234,188470,6212,188470
80,238,189470,6212,189470
80,238,190470,6212,190470
80,238,192470,6212,192470
80,238,192470,6212,192470
80,238,193060,6212,193060
80,238,193430,6212,193430
