ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
879714.42,14.16,1.47,588033.72,9.47
1149884.21,18.52,2.73,884668.7,14.25
1149761.58,18.52,2.73,884464.0,14.24
1149498.42,18.51,2.73,884237.76,14.24
1149295.79,18.51,2.72,883953.06,14.24
1149032.63,18.51,2.72,883726.97,14.24
1148769.47,18.51,2.72,883500.87,14.24
1148116.84,18.5,2.71,882766.17,14.23
1148116.84,18.5,2.71,882396.79,14.22
1147906.32,18.5,2.71,881682.54,14.21
1148163.79,18.51,2.72,881716.78,14.21
1147511.16,18.5,2.71,880982.08,14.2
1147248.0,18.5,2.71,880944.26,14.21
1146595.37,18.49,2.7,880209.56,14.2
1146132.21,18.49,2.7,879832.19,14.19
1146132.21,18.49,2.7,879832.19,14.19
1145669.58,18.49,2.7,879287.49,14.19
1145509.58,18.48,2.69,879127.49,14.19
1144856.95,18.48,2.69,878392.79,14.18
1144014.84,18.47,2.68,877507.19,14.17
1143759.26,18.47,2.68,877169.54,14.17
1143548.74,18.47,2.68,876732.34,14.16
1143338.21,18.47,2.68,876231.15,14.16
1142875.58,18.47,2.68,875686.45,14.15
1142665.05,18.47,2.68,875542.88,14.15
1142665.05,18.47,2.68,875542.88,14.15
1142454.53,18.46,2.68,875255.65,14.15
1141991.89,18.46,2.67,874710.95,14.14
1141781.37,18.46,2.67,874472.87,14.14
1141128.74,18.45,2.66,873738.16,14.13
1140918.21,18.45,2.66,873450.94,14.13
1140520.74,18.45,2.66,873137.15,14.12
1140058.11,18.44,2.65,872592.45,14.11
1139935.47,18.44,2.65,872387.75,14.11
1139679.89,18.44,2.65,872050.1,14.11
1139469.37,18.44,2.65,871985.0,14.11
1139162.32,18.43,2.64,871677.95,14.11
1139419.79,18.44,2.65,871712.19,14.11
1138767.16,18.43,2.64,870977.48,14.1
1138504.0,18.43,2.64,870939.67,14.1
1138293.47,18.43,2.64,870667.57,14.1
1138293.47,18.43,2.64,870667.57,14.1
1137986.42,18.43,2.64,870360.52,14.09
1136386.42,18.42,2.63,869217.64,14.09
1135733.79,18.42,2.63,868482.94,14.08
1135523.26,18.42,2.63,867789.31,14.07
1134175.89,18.42,2.63,867308.44,14.08
1133965.37,18.42,2.63,866749.12,14.08
1133965.37,18.42,2.63,866749.12,14.08
1133567.89,18.41,2.62,866435.33,14.07
1132915.26,18.41,2.62,865700.63,14.06
1132915.26,18.41,2.62,865700.63,14.06
1131567.89,18.41,2.62,864850.38,14.07
1130915.26,18.4,2.61,864115.67,14.06
1130704.74,18.4,2.61,863727.0,14.05
1130704.74,18.4,2.61,863727.0,14.05
1130242.11,18.39,2.6,863182.3,14.05
1129589.47,18.39,2.6,862447.59,14.04
1129846.95,18.39,2.6,862481.83,14.04
1129194.32,18.38,2.59,861747.13,14.03
1128931.16,18.38,2.59,861785.89,14.03
1128468.0,18.38,2.59,861408.52,14.03
1128220.53,18.38,2.59,861168.16,14.03
1128220.53,18.38,2.59,861168.16,14.03
1128010.0,18.38,2.59,860427.05,14.02
1128354.0,18.38,2.6,860623.76,14.02
1127754.0,18.38,2.59,859779.62,14.01
1127490.84,18.38,2.59,859742.43,14.01
1127156.84,18.37,2.58,859415.54,14.01
1126946.32,18.37,2.58,859128.32,14.01
1126946.32,18.37,2.58,859128.32,14.01
1127203.79,18.38,2.59,859162.55,14.01
1126740.63,18.38,2.59,858777.56,14.01
1125477.47,18.38,2.59,858061.5,14.01
1125477.47,18.38,2.59,858061.5,14.01
1125214.32,18.38,2.59,858100.27,14.02
1125003.79,18.38,2.59,857742.73,14.01
1125142.74,18.38,2.59,857577.68,14.01
1124879.58,18.38,2.59,857693.84,14.01
1125018.53,18.38,2.6,857528.79,14.01
1125018.53,18.38,2.6,857528.79,14.01
1124755.37,18.38,2.59,857644.95,14.02
1124544.84,18.38,2.59,857085.63,14.01
1124325.89,18.38,2.59,856877.15,14.01
1123810.63,18.37,2.58,856361.89,14.0
1123713.26,18.37,2.58,856045.02,14.0
1123713.26,18.37,2.58,856045.02,14.0
1123513.26,18.37,2.58,855893.89,14.0
1123250.11,18.37,2.58,855667.65,14.0
1123250.11,18.37,2.58,855667.65,14.0
1121902.74,18.37,2.59,854817.4,14.0
1121902.74,18.37,2.59,854817.4,14.0
1121505.26,18.37,2.58,854427.03,14.0
1121305.26,18.37,2.58,853961.43,13.99
1121305.26,18.37,2.58,853961.43,13.99
1120463.16,18.37,2.58,853370.88,13.99
1120780.42,18.37,2.58,853562.87,13.99
1120212.53,18.37,2.58,852970.34,13.99
1119949.37,18.37,2.58,852286.62,13.98
1119602.0,18.36,2.57,851831.71,13.97
1119338.84,18.36,2.57,851755.91,13.97
530446.21,8.7,1.33,651552.05,10.69
530446.21,8.7,1.33,651552.05,10.69
530362.0,8.7,1.33,650887.18,10.68
530067.26,8.7,1.33,650509.4,10.68
529983.05,8.7,1.33,650373.26,10.68
529814.63,8.7,1.33,650206.82,10.67
529730.42,8.7,1.33,650070.67,10.67
529562.0,8.7,1.33,649904.23,10.67
529477.79,8.7,1.33,649806.77,10.67
529153.68,8.69,1.32,649457.46,10.67
528985.26,8.69,1.32,649252.33,10.67
528901.05,8.69,1.32,649154.87,10.67
528901.05,8.69,1.32,649154.87,10.67
528732.63,8.69,1.32,648949.75,10.67
528648.42,8.69,1.32,648284.88,10.66
528353.68,8.69,1.32,647907.1,10.65
527764.21,8.69,1.32,647323.37,10.66
527680.0,8.69,1.32,647225.9,10.66
527090.53,8.69,1.32,646642.17,10.66
526922.11,8.69,1.32,646437.05,10.66
526620.53,8.68,1.32,646136.2,10.65
526536.32,8.68,1.32,645928.35,10.65
526756.32,8.69,1.32,646224.85,10.66
526293.16,8.69,1.32,645786.67,10.66
525977.37,8.68,1.32,644835.19,10.65
526296.74,8.69,1.32,644463.23,10.64
525974.21,8.69,1.32,643918.85,10.63
525765.79,8.68,1.31,643707.62,10.63
525681.58,8.68,1.31,643610.16,10.63
525513.16,8.68,1.31,643405.03,10.63
525134.21,8.68,1.31,642362.38,10.61
525050.0,8.68,1.31,642154.53,10.61
525071.58,8.68,1.31,642249.8,10.62
525071.58,8.68,1.31,642249.8,10.62
524987.37,8.68,1.31,642152.33,10.62
525254.11,8.68,1.32,642343.32,10.62
525169.89,8.68,1.32,642190.49,10.62
524944.74,8.68,1.31,642004.38,10.62
524776.32,8.68,1.31,641854.62,10.62
525118.42,8.69,1.32,641848.14,10.62
524950.0,8.68,1.32,641982.9,10.62
524950.0,8.68,1.32,641982.9,10.62
524865.79,8.68,1.32,641885.44,10.62
524697.37,8.68,1.32,641680.32,10.62
525048.32,8.69,1.32,641787.64,10.62
524879.89,8.69,1.32,641773.84,10.62
524290.42,8.69,1.32,641190.11,10.63
523915.26,8.68,1.32,640854.0,10.62
523831.05,8.68,1.32,640717.86,10.62
523662.63,8.68,1.32,640551.42,10.62
523578.42,8.68,1.32,640466.53,10.62
523642.11,8.69,1.32,640337.6,10.62
523557.89,8.69,1.32,640225.97,10.62
523824.63,8.69,1.32,640745.82,10.63
523449.47,8.69,1.32,640363.24,10.63
523365.26,8.69,1.32,640227.09,10.62
523386.84,8.69,1.32,640250.65,10.63
523737.79,8.69,1.33,640358.04,10.63
523569.37,8.69,1.32,640393.28,10.63
523485.16,8.69,1.32,640222.62,10.63
523358.84,8.69,1.32,640061.36,10.63
523106.21,8.69,1.32,639955.1,10.63
523106.21,8.69,1.32,639955.1,10.63
523378.84,8.7,1.33,638743.69,10.61
523032.53,8.69,1.32,638392.82,10.61
522948.32,8.69,1.32,638239.99,10.61
522806.84,8.69,1.32,638066.35,10.6
522638.42,8.69,1.32,637916.6,10.6
522989.37,8.69,1.33,638023.92,10.61
522939.37,8.69,1.32,637973.92,10.6
522939.37,8.69,1.32,637973.92,10.6
522960.95,8.69,1.33,638102.12,10.61
522876.74,8.69,1.33,637894.27,10.61
522876.74,8.69,1.33,637894.27,10.61
522708.32,8.69,1.32,637799.53,10.61
522624.11,8.69,1.32,637663.39,10.61
522248.95,8.69,1.32,637375.28,10.6
522080.53,8.69,1.32,637208.84,10.6
522431.47,8.69,1.32,637316.23,10.6
522271.47,8.69,1.32,637156.23,10.6
522103.05,8.69,1.32,637142.36,10.6
522103.05,8.69,1.32,637142.36,10.6
521513.58,8.69,1.32,636558.63,10.61
521429.37,8.69,1.32,635854.85,10.6
521345.16,8.69,1.32,635700.52,10.6
521476.74,8.69,1.33,635796.7,10.6
521308.32,8.69,1.32,635648.44,10.6
521224.11,8.69,1.32,635550.98,10.6
521055.68,8.69,1.32,635345.86,10.6
521359.89,8.7,1.33,634896.96,10.59
521086.74,8.69,1.33,634713.21,10.59
521002.53,8.69,1.33,634505.36,10.59
520834.11,8.69,1.32,634410.62,10.59
