ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,2,650,6212,650
2,10,1020,6212,1020
3,18,2020,6212,2020
4,26,3020,6212,3020
5,34,4020,6212,4020
6,36,4020,6212,4020
7,44,4020,6212,4020
8,48,5020,6212,5020
9,50,6020,6212,6020
10,58,6830,6212,6830
11,60,7640,6212,7640
12,62,7640,6212,7640
13,64,7640,6212,7640
14,72,8640,6212,8640
15,74,9640,6212,9640
16,76,10640,6212,10640
17,78,11640,6212,11640
18,86,12640,6212,12640
19,94,13640,6212,13640
20,102,14450,6212,14450
21,104,14450,6212,14450
22,112,15450,6212,15450
23,114,16450,6212,16450
24,122,16920,6212,16920
25,130,24920,6212,24920
26,138,25920,6212,25920
27,146,26920,6212,26920
28,154,27920,6212,27920
29,162,28240,6212,28240
30,164,28240,6212,28240
31,166,28240,6212,28240
32,174,28240,6212,28240
33,182,36240,6212,36240
34,184,36710,6212,36710
35,186,36940,6212,36940
36,188,37400,6212,37400
37,190,38400,6212,38400
38,192,38990,6212,38990
39,194,39800,6212,39800
40,202,43800,6212,43800
41,210,44120,6212,44120
42,212,44770,6212,44770
43,214,45770,6212,45770
44,222,49770,6212,49770
45,230,50770,6212,50770
46,232,50770,6212,50770
46,232,51580,6212,51580
47,240,55580,6212,55580
48,248,56580,6212,56580
49,250,56580,6212,56580
50,252,57390,6212,57390
51,260,57710,6212,57710
52,262,58710,6212,58710
53,264,59710,6212,59710
54,272,60520,6212,60520
55,273,61520,6212,61520
56,275,62520,6212,62520
57,283,63520,6212,63520
58,291,64520,6212,64520
59,299,65520,6212,65520
60,301,66520,6212,66520
61,309,66520,6212,66520
62,311,67330,6212,67330
63,313,68330,6212,68330
64,315,69330,6212,69330
65,323,70140,6212,70140
66,325,71140,6212,71140
