ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
915215.96,14.73,2.47,845526.96,13.61
915998.89,14.75,2.48,845449.99,13.61
916267.65,14.75,2.49,845381.32,13.61
916536.41,14.76,2.5,845486.55,13.62
916841.4,14.77,2.5,845606.06,13.62
916841.4,14.77,2.5,845494.82,13.62
917254.87,14.78,2.51,845647.34,13.62
917111.09,14.78,2.51,844987.47,13.61
917314.46,14.78,2.52,844693.54,13.61
917772.02,14.79,2.53,844843.65,13.62
917769.77,14.79,2.53,844784.22,13.62
917769.77,14.79,2.53,844672.98,13.61
918872.68,14.81,2.55,845425.55,13.63
919141.43,14.82,2.55,845530.78,13.63
919344.8,14.82,2.56,845236.86,13.63
919153.74,14.82,2.56,845061.97,13.63
918962.69,14.82,2.56,844810.05,13.63
919231.44,14.83,2.56,844787.84,13.63
919500.2,14.83,2.57,844756.4,13.63
919994.0,14.84,2.58,844977.33,13.63
919994.0,14.84,2.58,844866.09,13.63
920262.76,14.85,2.59,844787.24,13.63
920071.7,14.85,2.59,844527.57,13.63
920782.07,14.86,2.6,844633.14,13.63
919764.65,14.87,2.6,843820.25,13.64
920033.4,14.87,2.61,843818.19,13.64
920338.4,14.88,2.62,843991.63,13.65
920607.15,14.89,2.62,844096.86,13.65
921412.17,14.9,2.64,844177.66,13.65
921412.17,14.9,2.64,844052.66,13.65
921412.17,14.9,2.64,843941.43,13.65
921825.64,14.91,2.64,844093.95,13.65
920808.22,14.91,2.65,843282.54,13.65
921058.77,14.92,2.65,843269.01,13.66
921474.95,14.92,2.66,843225.04,13.66
921733.83,14.93,2.66,843083.33,13.65
921542.77,14.93,2.66,842908.44,13.65
921734.67,14.93,2.67,842690.44,13.65
921732.42,14.93,2.67,842631.01,13.65
921449.96,14.94,2.67,842247.4,13.65
922254.98,14.95,2.69,842217.86,13.65
922803.6,14.96,2.7,842211.34,13.66
923020.56,14.97,2.7,841878.67,13.65
922738.09,14.97,2.71,841495.06,13.66
923006.85,14.98,2.72,841561.97,13.66
923006.85,14.98,2.72,841450.73,13.66
923050.94,14.98,2.72,841132.34,13.65
922793.57,14.99,2.72,840723.7,13.66
