ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,2,650,6212,650
2,3,1020,6212,1020
3,5,2020,6212,2020
4,7,3020,6212,3020
4,7,4020,6212,4020
5,11,4020,6212,4020
6,15,4020,6212,4020
7,16,5020,6212,5020
8,18,6020,6212,6020
8,18,6830,6212,6830
8,18,7640,6212,7640
9,22,7640,6212,7640
10,24,7640,6212,7640
11,26,8640,6212,8640
12,28,9640,6212,9640
13,30,10640,6212,10640
14,32,11640,6212,11640
15,33,12640,6212,12640
16,35,13640,6212,13640
16,35,14450,6212,14450
17,39,14450,6212,14450
18,43,15450,6212,15450
19,45,16450,6212,16450
20,47,16920,6212,16920
21,55,24920,6212,24920
22,59,25920,6212,25920
22,59,26920,6212,26920
23,61,27920,6212,27920
23,61,28240,6212,28240
24,65,28240,6212,28240
25,69,28240,6212,28240
26,73,28240,6212,28240
27,81,36240,6212,36240
28,82,36710,6212,36710
28,82,36940,6212,36940
28,82,37400,6212,37400
29,84,38400,6212,38400
29,84,38990,6212,38990
29,84,39800,6212,39800
30,88,43800,6212,43800
31,90,44120,6212,44120
32,92,44770,6212,44770
33,94,45770,6212,45770
34,98,49770,6212,49770
35,100,50770,6212,50770
36,104,50770,6212,50770
36,104,51580,6212,51580
37,108,55580,6212,55580
38,110,56580,6212,56580
38,110,56580,6212,56580
38,110,57390,6212,57390
38,110,57710,6212,57710
39,112,58710,6212,58710
40,114,59710,6212,59710
40,114,60520,6212,60520
40,114,61520,6212,61520
41,116,62520,6212,62520
42,118,63520,6212,63520
42,118,64520,6212,64520
43,120,65520,6212,65520
44,122,66520,6212,66520
44,122,66520,6212,66520
44,122,67330,6212,67330
45,124,68330,6212,68330
46,126,69330,6212,69330
46,126,70140,6212,70140
47,128,71140,6212,71140
47,128,71140,6212,71140
48,130,72140,6212,72140
49,132,74140,6212,74140
49,132,75140,6212,75140
