ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,1,650,6212,650
2,2,1020,6212,1020
3,3,2020,6212,2020
4,5,3020,6212,3020
4,5,4020,6212,4020
5,13,4020,6212,4020
5,13,4020,6212,4020
6,14,5020,6212,5020
7,16,6020,6212,6020
8,17,6830,6212,6830
9,18,7640,6212,7640
9,18,7640,6212,7640
9,18,7640,6212,7640
9,18,8640,6212,8640
10,20,9640,6212,9640
10,20,10640,6212,10640
11,22,11640,6212,11640
12,23,12640,6212,12640
13,25,13640,6212,13640
14,26,14450,6212,14450
15,34,14450,6212,14450
15,34,15450,6212,15450
16,36,16450,6212,16450
17,38,16920,6212,16920
18,46,24920,6212,24920
19,48,25920,6212,25920
19,48,26920,6212,26920
20,50,27920,6212,27920
20,50,28240,6212,28240
20,50,28240,6212,28240
20,50,28240,6212,28240
20,50,28240,6212,28240
21,58,36240,6212,36240
21,58,36710,6212,36710
21,58,36940,6212,36940
21,58,37400,6212,37400
21,58,38400,6212,38400
21,58,38990,6212,38990
22,59,39800,6212,39800
23,63,43800,6212,43800
24,64,44120,6212,44120
25,66,44770,6212,44770
26,68,45770,6212,45770
27,72,49770,6212,49770
27,72,50770,6212,50770
28,76,50770,6212,50770
28,76,51580,6212,51580
29,80,55580,6212,55580
30,82,56580,6212,56580
30,82,56580,6212,56580
31,83,57390,6212,57390
31,83,57710,6212,57710
32,85,58710,6212,58710
32,85,59710,6212,59710
33,86,60520,6212,60520
33,86,61520,6212,61520
34,88,62520,6212,62520
34,88,63520,6212,63520
34,88,64520,6212,64520
35,90,65520,6212,65520
36,92,66520,6212,66520
36,92,66520,6212,66520
37,93,67330,6212,67330
37,93,68330,6212,68330
38,95,69330,6212,69330
39,96,70140,6212,70140
39,96,71140,6212,71140
39,96,71140,6212,71140
40,98,72140,6212,72140
41,100,74140,6212,74140
41,100,75140,6212,75140
41,100,76140,6212,76140
42,108,84140,6212,84140
43,109,84950,6212,84950
44,111,85950,6212,85950
45,113,86600,6212,86600
45,113,87600,6212,87600
46,115,88600,6212,88600
46,115,89600,6212,89600
47,117,90600,6212,90600
48,119,91600,6212,91600
48,119,92250,6212,92250
49,120,92720,6212,92720
50,122,93370,6212,93370
50,122,94370,6212,94370
50,122,95370,6212,95370
50,122,96370,6212,96370
50,122,96370,6212,96370
50,122,96370,6212,96370
51,130,104370,6212,104370
52,132,105370,6212,105370
52,132,106370,6212,106370
52,132,107180,6212,107180
53,134,107650,6212,107650
54,136,108650,6212,108650
55,138,110650,6212,110650
55,138,111460,6212,111460
55,138,111460,6212,111460
56,139,111830,6212,111830
57,140,112300,6212,112300
57,140,112620,6212,112620
58,141,113430,6212,113430
58,141,113430,6212,113430
59,142,114240,6212,114240
59,142,115240,6212,115240
60,143,116050,6212,116050
61,144,117050,6212,117050
61,144,117640,6212,117640
62,148,121640,6212,121640
63,149,122230,6212,122230
64,153,126230,6212,126230
65,154,127230,6212,127230
66,156,128230,6212,128230
66,156,128230,6212,128230
66,156,128550,6212,128550
66,156,129550,6212,129550
67,158,130550,6212,130550
68,160,131360,6212,131360
68,160,132360,6212,132360
68,160,132680,6212,132680
68,160,133150,6212,133150
69,162,134150,6212,134150
70,164,135150,6212,135150
71,172,143150,6212,143150
72,174,143620,6212,143620
72,174,144620,6212,144620
73,176,145620,6212,145620
74,178,146620,6212,146620
74,178,147090,6212,147090
74,178,148090,6212,148090
75,180,149090,6212,149090
75,180,150090,6212,150090
76,184,154090,6212,154090
76,184,155090,6212,155090
77,186,156090,6212,156090
77,186,156900,6212,156900
78,188,157710,6212,157710
78,188,158520,6212,158520
78,188,158520,6212,158520
78,188,159520,6212,159520
79,196,167520,6212,167520
80,198,168520,6212,168520
80,198,169520,6212,169520
80,198,170520,6212,170520
81,200,171520,6212,171520
82,202,172330,6212,172330
82,202,173330,6212,173330
82,202,173800,6212,173800
82,202,174270,6212,174270
83,210,182270,6212,182270
84,212,183270,6212,183270
85,214,183920,6212,183920
85,214,184390,6212,184390
86,216,185200,6212,185200
86,216,186200,6212,186200
87,218,187200,6212,187200
88,220,188200,6212,188200
89,222,189200,6212,189200
89,222,190200,6212,190200
90,224,192200,6212,192200
91,226,193200,6212,193200
91,226,193750,6212,193750
91,226,193750,6212,193750
92,228,195750,6212,195750
92,228,196070,6212,196070
93,230,197070,6212,197070
93,230,198070,6212,198070
93,230,198070,6212,198070
94,232,199070,6212,199070
94,232,199540,6212,199540
94,232,200540,6212,200540
94,232,200860,6212,200860
94,232,200860,6212,200860
95,234,201860,6212,201860
95,234,202860,6212,202860
96,236,204860,6212,204860
96,236,204860,6212,204860
97,238,205510,6212,205510
97,238,205830,6212,205830
97,238,206300,6212,206300
97,238,206770,6212,206770
98,240,207770,6212,207770
99,242,208580,6212,208580
99,242,209580,6212,209580
99,242,209580,6212,209580
99,242,210580,6212,210580
99,242,210580,6212,210580
100,250,210580,6212,210580
101,252,211580,6212,211580
101,252,212390,6212,212390
101,252,213390,6212,213390
102,254,214390,6212,214390
103,256,215390,6212,215390
103,256,216390,6212,216390
104,258,217200,6212,217200
104,258,218010,6212,218010
105,260,218480,6212,218480
106,262,219480,6212,219480
106,262,219710,6212,219710
106,262,219710,6212,219710
106,262,220360,6212,220360
106,262,221360,6212,221360
106,262,221830,6212,221830
107,264,222640,6212,222640
108,266,223640,6212,223640
108,266,223960,6212,223960
108,266,223960,6212,223960
108,266,224960,6212,224960
108,266,225280,6212,225280
108,266,226090,6212,226090
108,266,226090,6212,226090
108,266,226090,6212,226090
108,266,227090,6212,227090
108,266,227090,6212,227090
109,274,235090,6212,235090
110,276,236090,6212,236090
111,278,237090,6212,237090
112,280,237740,6212,237740
112,280,238740,6212,238740
112,280,239210,6212,239210
112,280,239210,6212,239210
112,280,239680,6212,239680
113,282,240680,6212,240680
114,284,241150,6212,241150
114,284,242150,6212,242150
114,284,242150,6212,242150
115,286,243150,6212,243150
115,286,243470,6212,243470
115,286,244470,6212,244470
115,286,245060,6212,245060
116,288,245710,6212,245710
116,288,246710,6212,246710
117,290,247360,6212,247360
118,292,248360,6212,248360
118,292,249360,6212,249360
118,292,250170,6212,250170
118,292,251170,6212,251170
119,294,252170,6212,252170
120,298,256170,6212,256170
121,300,257170,6212,257170
121,300,258170,6212,258170
121,300,258820,6212,258820
121,300,259140,6212,259140
122,302,260140,6212,260140
123,304,260610,6212,260610
123,304,261610,6212,261610
124,306,262610,6212,262610
124,306,263080,6212,263080
125,310,267080,6212,267080
126,312,268080,6212,268080
126,312,268080,6212,268080
126,312,268540,6212,268540
126,312,268540,6212,268540
126,312,269540,6212,269540
126,312,269540,6212,269540
127,314,270540,6212,270540
127,314,271010,6212,271010
128,322,271010,6212,271010
129,324,271480,6212,271480
129,324,272480,6212,272480
129,324,272710,6212,272710
129,324,273180,6212,273180
129,324,273180,6212,273180
130,326,274180,6212,274180
130,326,274990,6212,274990
130,326,275990,6212,275990
130,326,275990,6212,275990
131,328,276310,6212,276310
132,330,277310,6212,277310
132,330,278310,6212,278310
132,330,279310,6212,279310
133,332,280310,6212,280310
133,332,281310,6212,281310
133,332,281770,6212,281770
134,334,282770,6212,282770
134,334,283770,6212,283770
134,334,284580,6212,284580
135,336,285390,6212,285390
136,338,287390,6212,287390
136,338,287620,6212,287620
137,340,288620,6212,288620
137,340,288620,6212,288620
137,340,288990,6212,288990
138,342,289990,6212,289990
139,344,290460,6212,290460
139,344,291460,6212,291460
139,344,292460,6212,292460
140,346,293460,6212,293460
141,348,294460,6212,294460
141,348,295270,6212,295270
141,348,296270,6212,296270
141,348,296270,6212,296270
141,348,296740,6212,296740
142,350,297550,6212,297550
142,350,297550,6212,297550
142,350,298360,6212,298360
143,352,298830,6212,298830
143,352,299060,6212,299060
144,354,300060,6212,300060
144,354,301060,6212,301060
144,354,301870,6212,301870
145,356,302680,6212,302680
145,356,302680,6212,302680
146,358,303680,6212,303680
146,358,304150,6212,304150
147,366,312150,6212,312150
147,366,312960,6212,312960
148,368,313430,6212,313430
148,368,313430,6212,313430
148,368,314430,6212,314430
148,368,315430,6212,315430
149,370,316430,6212,316430
149,370,316900,6212,316900
149,370,317900,6212,317900
149,370,317900,6212,317900
150,374,321900,6212,321900
150,374,322490,6212,322490
151,376,323490,6212,323490
152,384,323490,6212,323490
152,384,324490,6212,324490
153,386,325300,6212,325300
154,388,326300,6212,326300
154,388,327300,6212,327300
154,388,328110,6212,328110
155,390,329110,6212,329110
155,390,329270,6212,329270
155,390,330270,6212,330270
155,390,330270,6212,330270
156,392,331080,6212,331080
156,392,331630,6212,331630
157,394,332630,6212,332630
158,396,333090,6212,333090
158,396,334090,6212,334090
159,398,335090,6212,335090
159,398,336090,6212,336090
159,398,336090,6212,336090
160,400,337090,6212,337090
161,402,338090,6212,338090
161,402,338900,6212,338900
162,410,346900,6212,346900
162,410,347900,6212,347900
163,412,348900,6212,348900
163,412,349120,6212,349120
164,414,349930,6212,349930
164,414,349930,6212,349930
164,414,350930,6212,350930
164,414,351740,6212,351740
165,416,352550,6212,352550
166,418,353550,6212,353550
166,418,354550,6212,354550
167,420,355550,6212,355550
168,424,359550,6212,359550
168,424,360550,6212,360550
168,424,361010,6212,361010
169,432,369010,6212,369010
169,432,369820,6212,369820
169,432,370820,6212,370820
170,434,371820,6212,371820
171,436,372280,6212,372280
171,436,372750,6212,372750
171,436,372980,6212,372980
171,436,373980,6212,373980
172,438,374980,6212,374980
172,438,375980,6212,375980
172,438,375980,6212,375980
173,440,376980,6212,376980
173,440,377980,6212,377980
173,440,378450,6212,378450
173,440,378680,6212,378680
173,440,379150,6212,379150
174,442,379620,6212,379620
174,442,379620,6212,379620
174,442,380430,6212,380430
175,444,381240,6212,381240
175,444,381560,6212,381560
176,446,382560,6212,382560
176,446,383030,6212,383030
177,448,383400,6212,383400
177,448,383400,6212,383400
177,448,384400,6212,384400
178,450,385400,6212,385400
178,450,386210,6212,386210
178,450,386680,6212,386680
178,450,386680,6212,386680
179,452,388680,6212,388680
180,460,396680,6212,396680
180,460,397680,6212,397680
181,462,398490,6212,398490
181,462,398490,6212,398490
182,464,399490,6212,399490
182,464,400490,6212,400490
183,466,401490,6212,401490
183,466,402490,6212,402490
184,468,403490,6212,403490
185,470,404490,6212,404490
185,470,405490,6212,405490
186,472,406490,6212,406490
186,472,406490,6212,406490
186,472,407140,6212,407140
187,474,407510,6212,407510
187,474,408320,6212,408320
187,474,409320,6212,409320
188,476,410320,6212,410320
188,476,410790,6212,410790
189,480,414790,6212,414790
189,480,415790,6212,415790
190,482,416790,6212,416790
190,482,417110,6212,417110
191,484,417580,6212,417580
191,484,418390,6212,418390
192,486,420390,6212,420390
192,486,420390,6212,420390
192,486,421390,6212,421390
193,488,422390,6212,422390
194,492,426390,6212,426390
194,492,427390,6212,427390
195,494,428390,6212,428390
195,494,429390,6212,429390
196,496,429940,6212,429940
196,496,430410,6212,430410
197,498,431410,6212,431410
197,498,431880,6212,431880
198,500,432530,6212,432530
199,502,434530,6212,434530
199,502,435340,6212,435340
199,502,435810,6212,435810
200,504,436280,6212,436280
200,504,436280,6212,436280
200,504,437090,6212,437090
201,506,437680,6212,437680
201,506,438680,6212,438680
201,506,439150,6212,439150
201,506,439960,6212,439960
202,508,440960,6212,440960
203,510,442960,6212,442960
204,512,443430,6212,443430
204,512,444240,6212,444240
204,512,445240,6212,445240
205,514,445890,6212,445890
206,516,447890,6212,447890
206,516,448700,6212,448700
207,518,449700,6212,449700
207,518,450020,6212,450020
208,520,450490,6212,450490
208,520,451490,6212,451490
208,520,451490,6212,451490
208,520,451490,6212,451490
209,522,453490,6212,453490
210,530,461490,6212,461490
210,530,461490,6212,461490
211,532,462490,6212,462490
211,532,462960,6212,462960
