ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,1,650,6212,650
2,2,1020,6212,1020
3,4,2020,6212,2020
4,8,3020,6212,3020
5,9,4020,6212,4020
6,17,4020,6212,4020
6,17,4020,6212,4020
7,18,5020,6212,5020
7,18,6020,6212,6020
8,19,6830,6212,6830
9,20,7640,6212,7640
9,20,7640,6212,7640
9,20,7640,6212,7640
10,22,8640,6212,8640
10,22,9640,6212,9640
11,24,10640,6212,10640
11,24,11640,6212,11640
12,25,12640,6212,12640
13,27,13640,6212,13640
14,28,14450,6212,14450
14,28,14450,6212,14450
14,28,15450,6212,15450
15,30,16450,6212,16450
15,30,16920,6212,16920
16,38,24920,6212,24920
17,40,25920,6212,25920
17,40,26920,6212,26920
18,42,27920,6212,27920
18,42,28240,6212,28240
18,42,28240,6212,28240
18,42,28240,6212,28240
19,50,28240,6212,28240
19,50,36240,6212,36240
19,50,36710,6212,36710
20,51,36940,6212,36940
21,52,37400,6212,37400
21,52,38400,6212,38400
21,52,38990,6212,38990
22,53,39800,6212,39800
23,57,43800,6212,43800
24,58,44120,6212,44120
25,60,44770,6212,44770
25,60,45770,6212,45770
26,64,49770,6212,49770
27,66,50770,6212,50770
27,66,50770,6212,50770
28,67,51580,6212,51580
29,71,55580,6212,55580
29,71,56580,6212,56580
30,79,56580,6212,56580
31,80,57390,6212,57390
31,80,57710,6212,57710
32,84,58710,6212,58710
33,86,59710,6212,59710
34,87,60520,6212,60520
35,88,61520,6212,61520
35,88,62520,6212,62520
36,90,63520,6212,63520
37,91,64520,6212,64520
37,91,65520,6212,65520
38,93,66520,6212,66520
38,93,66520,6212,66520
39,94,67330,6212,67330
39,94,68330,6212,68330
40,96,69330,6212,69330
41,97,70140,6212,70140
41,97,71140,6212,71140
41,97,71140,6212,71140
42,101,72140,6212,72140
43,103,74140,6212,74140
44,104,75140,6212,75140
45,106,76140,6212,76140
46,114,84140,6212,84140
47,115,84950,6212,84950
47,115,85950,6212,85950
48,117,86600,6212,86600
48,117,87600,6212,87600
49,119,88600,6212,88600
49,119,89600,6212,89600
50,121,90600,6212,90600
50,121,91600,6212,91600
51,123,92250,6212,92250
52,124,92720,6212,92720
52,124,93370,6212,93370
53,125,94370,6212,94370
54,127,95370,6212,95370
54,127,96370,6212,96370
54,127,96370,6212,96370
54,127,96370,6212,96370
54,127,104370,6212,104370
55,129,105370,6212,105370
55,129,106370,6212,106370
56,131,107180,6212,107180
57,132,107650,6212,107650
58,134,108650,6212,108650
59,136,110650,6212,110650
59,136,111460,6212,111460
59,136,111460,6212,111460
59,136,111830,6212,111830
59,136,112300,6212,112300
59,136,112620,6212,112620
59,136,113430,6212,113430
59,136,113430,6212,113430
59,136,114240,6212,114240
59,136,115240,6212,115240
60,144,116050,6212,116050
61,146,117050,6212,117050
61,146,117640,6212,117640
62,150,121640,6212,121640
62,150,122230,6212,122230
63,154,126230,6212,126230
64,156,127230,6212,127230
64,156,128230,6212,128230
64,156,128230,6212,128230
64,156,128550,6212,128550
65,158,129550,6212,129550
65,158,130550,6212,130550
66,160,131360,6212,131360
66,160,132360,6212,132360
66,160,132680,6212,132680
66,160,133150,6212,133150
67,162,134150,6212,134150
67,162,135150,6212,135150
68,170,143150,6212,143150
69,172,143620,6212,143620
69,172,144620,6212,144620
70,176,145620,6212,145620
71,180,146620,6212,146620
71,180,147090,6212,147090
72,184,148090,6212,148090
73,186,149090,6212,149090
73,186,150090,6212,150090
74,190,154090,6212,154090
74,190,155090,6212,155090
75,192,156090,6212,156090
75,192,156900,6212,156900
75,192,157710,6212,157710
76,200,158520,6212,158520
76,200,158520,6212,158520
77,202,159520,6212,159520
78,210,167520,6212,167520
78,210,168520,6212,168520
79,212,169520,6212,169520
79,212,170520,6212,170520
80,214,171520,6212,171520
80,214,172330,6212,172330
81,216,173330,6212,173330
81,216,173800,6212,173800
82,218,174270,6212,174270
83,226,182270,6212,182270
83,226,183270,6212,183270
84,228,183920,6212,183920
84,228,184390,6212,184390
84,228,185200,6212,185200
85,230,186200,6212,186200
86,232,187200,6212,187200
86,232,188200,6212,188200
86,232,189200,6212,189200
87,236,190200,6212,190200
88,238,192200,6212,192200
89,240,193200,6212,193200
89,240,193750,6212,193750
89,240,193750,6212,193750
90,242,195750,6212,195750
90,242,196070,6212,196070
91,244,197070,6212,197070
91,244,198070,6212,198070
91,244,198070,6212,198070
92,246,199070,6212,199070
92,246,199540,6212,199540
93,248,200540,6212,200540
93,248,200860,6212,200860
93,248,200860,6212,200860
93,248,201860,6212,201860
94,250,202860,6212,202860
95,252,204860,6212,204860
95,252,204860,6212,204860
95,252,205510,6212,205510
95,252,205830,6212,205830
95,252,206300,6212,206300
96,254,206770,6212,206770
96,254,207770,6212,207770
96,254,208580,6212,208580
97,256,209580,6212,209580
97,256,209580,6212,209580
97,256,210580,6212,210580
97,256,210580,6212,210580
97,256,210580,6212,210580
98,258,211580,6212,211580
98,258,212390,6212,212390
99,260,213390,6212,213390
99,260,214390,6212,214390
100,262,215390,6212,215390
100,262,216390,6212,216390
100,262,217200,6212,217200
100,262,218010,6212,218010
100,262,218480,6212,218480
101,264,219480,6212,219480
101,264,219710,6212,219710
101,264,219710,6212,219710
101,264,220360,6212,220360
102,266,221360,6212,221360
102,266,221830,6212,221830
103,268,222640,6212,222640
103,268,223640,6212,223640
103,268,223960,6212,223960
103,268,223960,6212,223960
104,270,224960,6212,224960
104,270,225280,6212,225280
104,270,226090,6212,226090
104,270,226090,6212,226090
104,270,226090,6212,226090
105,274,227090,6212,227090
105,274,227090,6212,227090
106,282,235090,6212,235090
107,284,236090,6212,236090
107,284,237090,6212,237090
108,286,237740,6212,237740
108,286,238740,6212,238740
109,288,239210,6212,239210
109,288,239210,6212,239210
109,288,239680,6212,239680
109,288,240680,6212,240680
110,290,241150,6212,241150
110,290,242150,6212,242150
110,290,242150,6212,242150
111,294,243150,6212,243150
111,294,243470,6212,243470
112,296,244470,6212,244470
112,296,245060,6212,245060
113,298,245710,6212,245710
113,298,246710,6212,246710
114,300,247360,6212,247360
114,300,248360,6212,248360
115,302,249360,6212,249360
115,302,250170,6212,250170
116,304,251170,6212,251170
116,304,252170,6212,252170
117,308,256170,6212,256170
118,310,257170,6212,257170
118,310,258170,6212,258170
119,312,258820,6212,258820
119,312,259140,6212,259140
119,312,260140,6212,260140
119,312,260610,6212,260610
120,314,261610,6212,261610
120,314,262610,6212,262610
121,316,263080,6212,263080
122,320,267080,6212,267080
122,320,268080,6212,268080
122,320,268080,6212,268080
122,320,268540,6212,268540
122,320,268540,6212,268540
123,322,269540,6212,269540
123,322,269540,6212,269540
123,322,270540,6212,270540
124,324,271010,6212,271010
124,324,271010,6212,271010
124,324,271480,6212,271480
124,324,272480,6212,272480
124,324,272710,6212,272710
125,326,273180,6212,273180
125,326,273180,6212,273180
125,326,274180,6212,274180
125,326,274990,6212,274990
126,328,275990,6212,275990
126,328,275990,6212,275990
126,328,276310,6212,276310
126,328,277310,6212,277310
126,328,278310,6212,278310
126,328,279310,6212,279310
127,330,280310,6212,280310
127,330,281310,6212,281310
127,330,281770,6212,281770
128,332,282770,6212,282770
128,332,283770,6212,283770
128,332,284580,6212,284580
128,332,285390,6212,285390
128,332,287390,6212,287390
128,332,287620,6212,287620
129,334,288620,6212,288620
129,334,288620,6212,288620
129,334,288990,6212,288990
130,338,289990,6212,289990
130,338,290460,6212,290460
131,340,291460,6212,291460
131,340,292460,6212,292460
132,342,293460,6212,293460
132,342,294460,6212,294460
132,342,295270,6212,295270
133,344,296270,6212,296270
133,344,296270,6212,296270
133,344,296740,6212,296740
133,344,297550,6212,297550
133,344,297550,6212,297550
133,344,298360,6212,298360
133,344,298830,6212,298830
134,346,299060,6212,299060
135,348,300060,6212,300060
135,348,301060,6212,301060
135,348,301870,6212,301870
136,350,302680,6212,302680
136,350,302680,6212,302680
136,350,303680,6212,303680
136,350,304150,6212,304150
136,350,312150,6212,312150
137,352,312960,6212,312960
137,352,313430,6212,313430
137,352,313430,6212,313430
137,352,314430,6212,314430
138,354,315430,6212,315430
138,354,316430,6212,316430
138,354,316900,6212,316900
138,354,317900,6212,317900
138,354,317900,6212,317900
139,358,321900,6212,321900
140,360,322490,6212,322490
140,360,323490,6212,323490
140,360,323490,6212,323490
140,360,324490,6212,324490
141,362,325300,6212,325300
141,362,326300,6212,326300
142,370,327300,6212,327300
143,372,328110,6212,328110
143,372,329110,6212,329110
143,372,329270,6212,329270
143,372,330270,6212,330270
143,372,330270,6212,330270
144,374,331080,6212,331080
144,374,331630,6212,331630
145,382,332630,6212,332630
145,382,333090,6212,333090
145,382,334090,6212,334090
145,382,335090,6212,335090
146,390,336090,6212,336090
146,390,336090,6212,336090
146,390,337090,6212,337090
146,390,338090,6212,338090
147,392,338900,6212,338900
148,400,346900,6212,346900
149,408,347900,6212,347900
149,408,348900,6212,348900
149,408,349120,6212,349120
150,410,349930,6212,349930
150,410,349930,6212,349930
150,410,350930,6212,350930
151,412,351740,6212,351740
151,412,352550,6212,352550
152,414,353550,6212,353550
152,414,354550,6212,354550
153,416,355550,6212,355550
154,420,359550,6212,359550
154,420,360550,6212,360550
154,420,361010,6212,361010
155,428,369010,6212,369010
155,428,369820,6212,369820
156,430,370820,6212,370820
156,430,371820,6212,371820
156,430,372280,6212,372280
156,430,372750,6212,372750
156,430,372980,6212,372980
157,432,373980,6212,373980
157,432,374980,6212,374980
158,434,375980,6212,375980
158,434,375980,6212,375980
158,434,376980,6212,376980
159,436,377980,6212,377980
159,436,378450,6212,378450
159,436,378680,6212,378680
160,438,379150,6212,379150
160,438,379620,6212,379620
160,438,379620,6212,379620
160,438,380430,6212,380430
161,440,381240,6212,381240
161,440,381560,6212,381560
162,442,382560,6212,382560
162,442,383030,6212,383030
162,442,383400,6212,383400
162,442,383400,6212,383400
163,444,384400,6212,384400
164,446,385400,6212,385400
164,446,386210,6212,386210
164,446,386680,6212,386680
164,446,386680,6212,386680
165,448,388680,6212,388680
166,456,396680,6212,396680
166,456,397680,6212,397680
167,458,398490,6212,398490
167,458,398490,6212,398490
167,458,399490,6212,399490
168,460,400490,6212,400490
168,460,401490,6212,401490
169,462,402490,6212,402490
169,462,403490,6212,403490
170,464,404490,6212,404490
170,464,405490,6212,405490
171,466,406490,6212,406490
171,466,406490,6212,406490
171,466,407140,6212,407140
171,466,407510,6212,407510
171,466,408320,6212,408320
172,468,409320,6212,409320
172,468,410320,6212,410320
172,468,410790,6212,410790
173,472,414790,6212,414790
174,474,415790,6212,415790
174,474,416790,6212,416790
174,474,417110,6212,417110
175,476,417580,6212,417580
175,476,418390,6212,418390
176,478,420390,6212,420390
176,478,420390,6212,420390
177,480,421390,6212,421390
177,480,422390,6212,422390
178,484,426390,6212,426390
179,486,427390,6212,427390
179,486,428390,6212,428390
180,488,429390,6212,429390
180,488,429940,6212,429940
180,488,430410,6212,430410
181,490,431410,6212,431410
181,490,431880,6212,431880
182,492,432530,6212,432530
183,494,434530,6212,434530
183,494,435340,6212,435340
184,496,435810,6212,435810
184,496,436280,6212,436280
184,496,436280,6212,436280
184,496,437090,6212,437090
185,498,437680,6212,437680
185,498,438680,6212,438680
186,500,439150,6212,439150
186,500,439960,6212,439960
187,502,440960,6212,440960
188,504,442960,6212,442960
188,504,443430,6212,443430
188,504,444240,6212,444240
189,506,445240,6212,445240
189,506,445890,6212,445890
190,508,447890,6212,447890
191,510,448700,6212,448700
191,510,449700,6212,449700
191,510,450020,6212,450020
192,512,450490,6212,450490
192,512,451490,6212,451490
192,512,451490,6212,451490
192,512,451490,6212,451490
193,514,453490,6212,453490
194,522,461490,6212,461490
194,522,461490,6212,461490
195,524,462490,6212,462490
