ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
915182.75,14.73,2.47,845739.2,13.62
915159.76,14.73,2.47,845612.04,13.61
914935.48,14.73,2.47,845390.81,13.61
914744.43,14.73,2.47,845215.92,13.61
914096.92,14.72,2.46,844464.25,13.6
914096.92,14.72,2.46,844379.48,13.6
914096.92,14.72,2.46,844542.06,13.6
913449.42,14.72,2.45,843790.39,13.59
913225.15,14.72,2.45,843526.19,13.59
912766.45,14.71,2.44,842963.33,13.58
912307.76,14.7,2.44,842400.47,13.58
912307.76,14.7,2.44,842289.24,13.58
912307.76,14.7,2.44,842289.24,13.58
912116.7,14.7,2.44,842140.81,13.58
911892.43,14.7,2.44,842039.18,13.58
911701.37,14.7,2.44,841861.59,13.58
911477.09,14.7,2.44,841673.73,13.57
910829.59,14.69,2.43,840922.06,13.56
910638.53,14.69,2.43,840662.39,13.56
910179.84,14.69,2.42,840099.54,13.56
910179.84,14.69,2.42,840099.54,13.56
909955.57,14.68,2.42,839997.91,13.56
909764.51,14.68,2.42,839738.25,13.55
909981.84,14.69,2.42,840077.91,13.56
908763.72,14.69,2.42,839026.51,13.56
908572.66,14.69,2.42,838771.16,13.56
908348.39,14.69,2.42,838665.22,13.56
908157.33,14.69,2.42,838490.33,13.56
907858.59,14.68,2.42,838196.72,13.55
907858.59,14.68,2.42,838196.72,13.55
907858.59,14.68,2.42,838196.72,13.55
907858.59,14.68,2.42,838196.72,13.55
906841.17,14.68,2.42,837385.32,13.56
906459.57,14.68,2.41,837004.03,13.55
906535.02,14.68,2.42,837128.89,13.56
906427.52,14.68,2.42,836917.22,13.55
906203.25,14.68,2.41,836730.82,13.55
905618.73,14.67,2.41,836146.31,13.55
905160.04,14.67,2.4,835583.45,13.54
904399.99,14.66,2.4,834748.82,13.53
904432.49,14.66,2.4,834677.15,13.53
904570.17,14.67,2.4,834571.45,13.53
904345.9,14.67,2.4,834639.46,13.54
903585.85,14.66,2.4,833804.83,13.53
903394.8,14.66,2.4,833620.14,13.53
903394.8,14.66,2.4,833620.14,13.53
902936.1,14.66,2.39,833057.28,13.52
902201.14,14.65,2.39,832409.28,13.52
901976.87,14.65,2.39,832232.69,13.52
901976.87,14.65,2.39,832232.69,13.52
901518.17,14.65,2.38,831669.83,13.51
901219.43,14.64,2.38,831376.22,13.51
901028.38,14.64,2.38,831116.56,13.51
900804.1,14.64,2.38,831014.93,13.51
900345.41,14.64,2.37,830452.07,13.5
899697.9,14.63,2.36,829700.41,13.49
899506.85,14.63,2.36,829525.52,13.49
899282.57,14.63,2.36,829339.12,13.49
898635.07,14.62,2.35,828713.1,13.48
898444.01,14.62,2.35,828525.71,13.48
898219.74,14.62,2.35,828347.65,13.48
898219.74,14.62,2.35,828347.65,13.48
897761.05,14.61,2.35,827784.79,13.47
897569.99,14.61,2.34,827609.9,13.47
897345.71,14.61,2.34,827423.5,13.47
896887.02,14.6,2.34,826860.64,13.46
896695.96,14.6,2.34,826600.97,13.46
896695.96,14.6,2.34,826600.97,13.46
896471.69,14.6,2.34,826499.35,13.46
896056.36,14.6,2.33,826138.06,13.46
895408.85,14.59,2.33,825386.39,13.45
895217.8,14.59,2.33,825211.5,13.45
894236.61,14.59,2.33,824472.21,13.45
893777.92,14.59,2.32,824035.01,13.45
893553.64,14.59,2.32,823848.6,13.45
893691.33,14.59,2.33,823742.91,13.45
893467.05,14.59,2.32,823811.05,13.45
893276.0,14.59,2.32,823636.16,13.45
893051.72,14.59,2.32,823449.76,13.45
892860.67,14.59,2.32,823190.09,13.45
892636.39,14.58,2.32,823088.47,13.45
892774.07,14.59,2.32,822982.77,13.45
892656.57,14.59,2.32,822761.1,13.45
892761.04,14.59,2.33,823171.04,13.45
892113.53,14.58,2.32,822419.38,13.44
891562.78,14.58,2.31,821645.29,13.43
890818.53,14.57,2.3,820901.04,13.42
890818.53,14.57,2.3,820901.04,13.42
890818.53,14.57,2.3,820901.04,13.42
889801.11,14.57,2.3,820089.63,13.43
889610.05,14.57,2.3,819825.81,13.43
889385.78,14.57,2.3,819724.18,13.43
889010.24,14.56,2.3,819075.33,13.42
889260.79,14.57,2.3,819061.8,13.42
889036.51,14.57,2.3,819090.64,13.42
888509.22,14.56,2.3,818013.72,13.41
887969.75,14.56,2.29,817524.23,13.4
887969.75,14.56,2.29,817524.23,13.4
887687.14,14.55,2.29,817304.09,13.4
887937.69,14.56,2.29,817290.56,13.4
887638.95,14.55,2.29,816996.82,13.39
887614.87,14.55,2.29,816490.9,13.39
887614.87,14.55,2.29,816490.9,13.39
887489.27,14.55,2.29,816289.35,13.39
887265.0,14.55,2.29,816318.19,13.39
887240.92,14.55,2.29,815812.27,13.38
886926.51,14.55,2.29,815430.08,13.38
886383.55,14.54,2.28,814859.2,13.37
885648.59,14.54,2.28,814211.2,13.37
885818.66,14.55,2.28,813487.35,13.36
885083.7,14.54,2.28,812839.36,13.36
884769.29,14.54,2.28,812876.67,13.36
884578.24,14.54,2.28,812701.78,13.36
884578.24,14.54,2.28,812701.78,13.36
884279.5,14.54,2.27,812346.55,13.35
884055.22,14.53,2.27,812160.15,13.35
883864.17,14.53,2.27,811904.81,13.35
883840.08,14.54,2.27,811398.88,13.34
883526.87,14.53,2.27,811017.88,13.34
883233.92,14.53,2.26,810717.5,13.34
882852.31,14.52,2.26,810400.9,13.33
882628.04,14.52,2.26,810294.95,13.33
882436.98,14.52,2.26,810039.61,13.33
881419.56,14.52,2.26,809228.2,13.33
881636.89,14.53,2.26,809563.55,13.34
881445.84,14.53,2.26,809388.66,13.34
881221.56,14.53,2.26,809202.26,13.34
881030.51,14.53,2.26,808943.71,13.34
880648.9,14.52,2.26,808562.42,13.33
880424.63,14.52,2.25,808459.67,13.33
880233.57,14.52,2.25,808274.98,13.33
880009.3,14.52,2.25,808098.38,13.33
879274.34,14.51,2.25,807450.38,13.33
879083.28,14.51,2.25,807190.72,13.33
878859.0,14.51,2.25,807089.09,13.33
878834.92,14.51,2.25,806583.17,13.32
878709.33,14.51,2.25,806381.62,13.32
878685.24,14.52,2.25,805875.7,13.31
878685.24,14.52,2.25,805875.7,13.31
878372.03,14.51,2.25,805494.7,13.31
877354.61,14.51,2.25,804683.29,13.31
877163.56,14.51,2.25,804423.63,13.31
876939.28,14.51,2.25,804322.0,13.31
876748.22,14.51,2.25,804070.08,13.31
876523.95,14.51,2.25,803960.71,13.31
876539.7,14.51,2.25,803307.17,13.3
876326.7,14.51,2.25,802764.17,13.29
876577.24,14.52,2.25,802750.64,13.29
876195.64,14.51,2.25,802510.6,13.29
875214.45,14.51,2.25,801771.31,13.3
874990.18,14.51,2.25,801723.59,13.3
875127.86,14.52,2.25,801617.89,13.3
875345.19,14.52,2.26,801987.6,13.31
875342.02,14.52,2.26,801891.79,13.31
875107.99,14.52,2.26,802070.18,13.31
874916.93,14.52,2.26,801810.51,13.31
874692.66,14.52,2.26,801708.88,13.31
874501.6,14.52,2.26,801449.22,13.31
874277.32,14.52,2.25,801347.59,13.31
873750.03,14.51,2.25,800270.67,13.29
873558.97,14.51,2.25,800012.12,13.29
873755.01,14.52,2.25,800329.1,13.3
873755.01,14.52,2.25,800329.1,13.3
873339.68,14.52,2.25,799967.81,13.3
873040.94,14.51,2.25,799717.5,13.29
872849.89,14.51,2.25,799457.83,13.29
872625.61,14.51,2.25,799356.21,13.29
872625.61,14.51,2.25,799356.21,13.29
