order,workload,sc_policy,tune,seed,num_pod,cpu_milli,num_gpu,gpu_milli,gpu_type_req
0,openb_pod_list_cpu050,01-Random,1.3,42,460,3150,1,810,<none>
1,openb_pod_list_cpu050,01-Random,1.3,42,350,11300,1,1000,<none>
2,openb_pod_list_cpu050,01-Random,1.3,42,240,11400,1,1000,<none>
3,openb_pod_list_cpu050,01-Random,1.3,42,209,3150,1,1000,<none>
4,openb_pod_list_cpu050,01-Random,1.3,42,144,12000,1,1000,<none>
5,openb_pod_list_cpu050,01-Random,1.3,42,117,18710,1,1000,<none>
6,openb_pod_list_cpu050,01-Random,1.3,42,107,11910,1,470,<none>
7,openb_pod_list_cpu050,01-Random,1.3,42,86,9810,1,1000,<none>
8,openb_pod_list_cpu050,01-Random,1.3,42,81,8000,1,470,<none>
9,openb_pod_list_cpu050,01-Random,1.3,42,80,11910,1,650,<none>
10,openb_pod_list_cpu050,01-Random,1.3,42,73,15700,1,1000,<none>
11,openb_pod_list_cpu050,01-Random,1.3,42,65,8000,1,1000,<none>
12,openb_pod_list_cpu050,01-Random,1.3,42,64,4000,1,1000,<none>
13,openb_pod_list_cpu050,01-Random,1.3,42,59,16000,1,1000,<none>
14,openb_pod_list_cpu050,01-Random,1.3,42,56,11910,1,1000,<none>
15,openb_pod_list_cpu050,01-Random,1.3,42,40,14200,1,1000,<none>
16,openb_pod_list_cpu050,01-Random,1.3,42,26,4150,1,550,<none>
17,openb_pod_list_cpu050,01-Random,1.3,42,23,24200,1,1000,<none>
18,openb_pod_list_cpu050,01-Random,1.3,42,22,11900,1,1000,<none>
19,openb_pod_list_cpu050,01-Random,1.3,42,20,6000,1,460,<none>
20,openb_pod_list_cpu050,01-Random,1.3,42,18,3150,1,590,<none>
21,openb_pod_list_cpu050,01-Random,1.3,42,14,15200,1,1000,<none>
22,openb_pod_list_cpu050,01-Random,1.3,42,13,8200,1,1000,<none>
23,openb_pod_list_cpu050,01-Random,1.3,42,13,16400,1,1000,<none>
