ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,4,2280,6212,2280
3,4,2510,6212,2510
4,8,2510,6212,2510
5,10,2990,6212,2990
5,10,3990,6212,3990
6,14,4990,6212,4990
7,16,5990,6212,5990
7,16,6990,6212,6990
8,18,7990,6212,7990
9,20,8990,6212,8990
10,22,9990,6212,9990
10,22,10800,6212,10800
10,22,11800,6212,11800
11,23,12800,6212,12800
12,25,12800,6212,12800
13,29,13800,6212,13800
14,31,14800,6212,14800
15,33,14800,6212,14800
15,33,15270,6212,15270
16,35,16270,6212,16270
17,37,16270,6212,16270
18,39,16920,6212,16920
19,41,17920,6212,17920
19,41,18290,6212,18290
20,43,19290,6212,19290
20,43,19520,6212,19520
21,47,20520,6212,20520
22,49,20990,6212,20990
23,51,21640,6212,21640
24,52,22640,6212,22640
25,54,23110,6212,23110
25,54,24110,6212,24110
26,56,25110,6212,25110
27,60,26110,6212,26110
27,60,27110,6212,27110
27,60,27920,6212,27920
28,62,28390,6212,28390
29,64,29390,6212,29390
30,65,29850,6212,29850
31,67,30070,6212,30070
32,69,32070,6212,32070
33,70,33070,6212,33070
33,70,33880,6212,33880
33,70,33880,6212,33880
34,71,34340,6212,34340
35,73,34990,6212,34990
36,75,35990,6212,35990
37,77,36990,6212,36990
37,77,37800,6212,37800
38,79,38800,6212,38800
39,81,39800,6212,39800
40,82,40270,6212,40270
40,82,41080,6212,41080
40,82,42080,6212,42080
41,84,42730,6212,42730
41,84,43730,6212,43730
42,86,44730,6212,44730
42,86,45050,6212,45050
42,86,45280,6212,45280
43,88,45750,6212,45750
44,92,46750,6212,46750
44,92,47560,6212,47560
44,92,48560,6212,48560
45,93,49030,6212,49030
46,95,49680,6212,49680
46,95,50490,6212,50490
47,96,50960,6212,50960
48,98,51960,6212,51960
49,100,52610,6212,52610
50,101,53080,6212,53080
51,103,54080,6212,54080
51,103,54890,6212,54890
52,107,55890,6212,55890
53,109,56210,6212,56210
54,113,57210,6212,57210
55,115,58210,6212,58210
56,117,59210,6212,59210
56,117,60210,6212,60210
56,117,61020,6212,61020
56,117,61830,6212,61830
57,119,62300,6212,62300
57,119,63300,6212,63300
57,119,63770,6212,63770
58,121,64770,6212,64770
59,123,65420,6212,65420
59,123,66230,6212,66230
60,125,67230,6212,67230
60,125,67710,6212,67710
60,125,68030,6212,68030
60,125,68840,6212,68840
61,127,69490,6212,69490
62,129,69960,6212,69960
63,131,70960,6212,70960
64,133,71960,6212,71960
65,135,72960,6212,72960
66,137,73960,6212,73960
67,139,74960,6212,74960
68,141,75960,6212,75960
69,143,76430,6212,76430
70,145,76900,6212,76900
71,146,77370,6212,77370
72,148,78370,6212,78370
73,150,79370,6212,79370
74,152,80370,6212,80370
74,152,80960,6212,80960
75,154,81960,6212,81960
76,156,82960,6212,82960
77,158,83960,6212,83960
78,160,84960,6212,84960
79,162,85960,6212,85960
80,164,86960,6212,86960
81,166,87960,6212,87960
82,168,88430,6212,88430
82,168,89020,6212,89020
83,170,90020,6212,90020
84,172,91020,6212,91020
84,172,91830,6212,91830
85,174,92480,6212,92480
85,174,93480,6212,93480
86,176,94480,6212,94480
86,176,95480,6212,95480
87,177,95950,6212,95950
87,177,96950,6212,96950
87,177,97410,6212,97410
88,179,98410,6212,98410
89,181,99410,6212,99410
90,183,99880,6212,99880
91,185,100880,6212,100880
92,187,100880,6212,100880
92,187,101690,6212,101690
93,189,102690,6212,102690
94,190,103160,6212,103160
94,190,103620,6212,103620
95,192,104620,6212,104620
96,194,105620,6212,105620
97,196,106620,6212,106620
97,196,107430,6212,107430
98,197,108430,6212,108430
99,199,109430,6212,109430
100,201,109430,6212,109430
100,201,110240,6212,110240
101,203,111240,6212,111240
102,207,112240,6212,112240
102,207,113050,6212,113050
103,211,114050,6212,114050
103,211,115050,6212,115050
103,211,116050,6212,116050
104,213,117050,6212,117050
105,215,118050,6212,118050
105,215,119050,6212,119050
106,219,120050,6212,120050
106,219,120860,6212,120860
107,223,120860,6212,120860
108,225,121330,6212,121330
108,225,121920,6212,121920
108,225,122920,6212,122920
108,225,123920,6212,123920
108,225,124920,6212,124920
109,227,125390,6212,125390
110,229,125390,6212,125390
110,229,126200,6212,126200
110,229,127200,6212,127200
111,231,127850,6212,127850
111,231,128080,6212,128080
111,231,128670,6212,128670
112,233,129140,6212,129140
112,233,129950,6212,129950
113,235,130420,6212,130420
113,235,131230,6212,131230
113,235,132040,6212,132040
114,237,133040,6212,133040
115,239,134040,6212,134040
116,241,134510,6212,134510
117,243,135510,6212,135510
118,247,135510,6212,135510
119,249,136510,6212,136510
119,249,137320,6212,137320
119,249,138130,6212,138130
119,249,139130,6212,139130
120,251,140130,6212,140130
120,251,140130,6212,140130
120,251,140940,6212,140940
121,253,141940,6212,141940
121,253,142750,6212,142750
122,255,143750,6212,143750
122,255,144560,6212,144560
123,257,145560,6212,145560
124,259,146210,6212,146210
124,259,147020,6212,147020
125,261,148020,6212,148020
126,263,149020,6212,149020
126,263,150020,6212,150020
126,263,150830,6212,150830
126,263,151830,6212,151830
126,263,152640,6212,152640
127,265,153640,6212,153640
128,267,154290,6212,154290
129,269,154760,6212,154760
130,273,155760,6212,155760
