ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
344574.08,5.55,0.38,171755.33,2.77
344007.37,5.54,0.37,171062.76,2.75
344378.09,5.55,0.37,171325.74,2.76
344246.37,5.54,0.37,171222.42,2.76
344246.37,5.54,0.37,171109.32,2.76
344166.52,5.54,0.37,171049.0,2.75
344114.79,5.54,0.37,170916.95,2.75
344063.07,5.54,0.37,171049.35,2.76
344011.35,5.54,0.37,170916.95,2.75
343444.64,5.53,0.36,170224.38,2.74
343913.27,5.54,0.37,170140.35,2.74
343861.54,5.54,0.37,170120.03,2.74
343809.82,5.54,0.37,170027.25,2.74
343431.66,5.54,0.37,169523.23,2.73
343379.94,5.54,0.37,169410.13,2.73
343328.22,5.54,0.37,169410.13,2.73
343328.22,5.54,0.37,169410.13,2.73
343276.49,5.54,0.37,169345.13,2.73
343224.77,5.54,0.37,169297.03,2.73
343224.77,5.54,0.37,169297.03,2.73
343188.06,5.54,0.37,169134.46,2.73
343988.8,5.55,0.38,169318.85,2.73
343988.8,5.55,0.38,169318.85,2.73
344261.21,5.56,0.38,169382.74,2.73
344729.83,5.57,0.39,169298.71,2.73
345167.17,5.57,0.4,169972.02,2.74
345115.44,5.57,0.4,169968.78,2.74
344894.73,5.57,0.4,169747.07,2.74
344843.0,5.57,0.4,169637.21,2.74
344512.72,5.56,0.39,169232.83,2.73
344785.13,5.57,0.4,169296.73,2.73
344218.43,5.56,0.39,168604.16,2.72
344589.14,5.57,0.4,169083.06,2.73
343921.25,5.56,0.39,168351.48,2.72
343869.53,5.56,0.39,168238.38,2.72
343817.8,5.56,0.39,168238.38,2.72
343149.91,5.55,0.38,167506.81,2.71
342771.76,5.54,0.37,167002.79,2.7
342409.32,5.54,0.36,166732.93,2.7
342357.59,5.54,0.37,166703.44,2.7
342330.89,5.54,0.36,166550.87,2.69
342136.76,5.53,0.36,166391.84,2.69
342033.31,5.53,0.36,166278.74,2.69
341981.58,5.53,0.36,166195.13,2.69
341603.43,5.53,0.36,165691.11,2.68
341603.43,5.53,0.36,165691.11,2.68
341576.73,5.53,0.36,165538.54,2.68
341849.13,5.53,0.36,165602.44,2.68
341797.41,5.53,0.36,165599.19,2.68
341745.68,5.53,0.36,165489.33,2.68
341882.51,5.54,0.36,165784.49,2.69
341830.79,5.54,0.36,165671.39,2.68
341779.06,5.54,0.36,165671.39,2.68
341742.36,5.54,0.36,165508.82,2.68
341364.2,5.53,0.36,165004.81,2.67
340797.5,5.52,0.35,164312.24,2.66
341069.91,5.53,0.36,164376.13,2.66
340503.2,5.52,0.35,163683.57,2.65
340954.87,5.53,0.36,163518.89,2.65
340660.74,5.52,0.35,163222.85,2.65
340456.61,5.52,0.35,163058.53,2.64
340827.32,5.53,0.35,163537.43,2.65
340775.6,5.53,0.35,163424.32,2.65
340397.45,5.52,0.35,162920.31,2.64
339746.51,5.51,0.34,162269.37,2.63
339384.07,5.51,0.33,161999.51,2.63
340201.31,5.52,0.35,162227.47,2.63
339724.81,5.51,0.34,161723.9,2.62
339688.1,5.51,0.34,161690.6,2.62
339636.38,5.51,0.34,161690.6,2.62
339908.78,5.52,0.35,161754.49,2.63
340279.5,5.52,0.35,162233.39,2.63
340227.78,5.53,0.35,162230.15,2.63
339849.62,5.52,0.35,161726.13,2.63
339797.9,5.52,0.35,161616.27,2.63
339503.77,5.52,0.34,161320.24,2.62
339452.04,5.52,0.34,161255.24,2.62
339400.32,5.52,0.34,161207.13,2.62
339348.6,5.52,0.34,161203.7,2.62
339296.87,5.52,0.34,161093.48,2.62
338918.72,5.51,0.34,160589.46,2.61
338540.56,5.5,0.33,160085.44,2.6
338178.12,5.5,0.33,159815.58,2.6
338126.4,5.5,0.33,159795.27,2.6
338089.69,5.5,0.33,159632.7,2.6
338037.97,5.5,0.33,159539.91,2.6
338855.2,5.51,0.34,159767.87,2.6
338378.7,5.51,0.33,159264.31,2.59
338326.98,5.51,0.33,159151.2,2.59
337880.12,5.5,0.33,158688.22,2.58
337585.99,5.49,0.32,158392.18,2.58
337207.84,5.49,0.32,158017.43,2.57
337480.24,5.49,0.32,158081.32,2.57
337850.96,5.5,0.33,158560.22,2.58
337799.24,5.5,0.33,158560.22,2.58
337747.51,5.5,0.33,158447.12,2.58
337695.79,5.5,0.33,158447.12,2.58
337644.07,5.5,0.33,158417.63,2.58
337592.34,5.5,0.33,158334.02,2.58
337540.62,5.5,0.33,158330.78,2.58
337178.18,5.5,0.32,158060.91,2.58
337548.89,5.5,0.33,158190.09,2.58
337186.45,5.5,0.32,157947.81,2.57
337134.73,5.5,0.32,157837.95,2.57
337083.0,5.5,0.32,157834.71,2.57
337031.28,5.5,0.32,157724.85,2.57
337356.64,5.5,0.33,158167.86,2.58
337304.92,5.5,0.33,158054.76,2.58
337253.2,5.5,0.33,158054.76,2.58
337201.47,5.5,0.33,158051.52,2.58
337149.75,5.5,0.33,157941.65,2.58
337098.02,5.5,0.33,157938.41,2.58
337046.3,5.5,0.33,157828.55,2.58
336994.57,5.5,0.33,157715.45,2.58
337980.34,5.52,0.35,158157.54,2.58
337735.31,5.52,0.34,157839.84,2.58
337683.59,5.52,0.34,157839.84,2.58
