ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
344574.08,5.55,0.38,171755.33,2.77
344007.37,5.54,0.37,171062.76,2.75
344378.09,5.55,0.37,171191.94,2.76
344246.37,5.54,0.37,170949.66,2.75
344246.37,5.54,0.37,171315.72,2.76
344166.52,5.54,0.37,171255.4,2.76
344114.79,5.54,0.37,171164.54,2.76
344063.07,5.54,0.37,171099.54,2.76
344011.35,5.54,0.37,171051.43,2.76
343444.64,5.53,0.36,170358.87,2.75
343392.92,5.54,0.36,170358.87,2.75
343341.19,5.54,0.36,170358.87,2.75
343289.47,5.54,0.36,170358.87,2.75
342911.31,5.53,0.36,169854.85,2.74
342859.59,5.53,0.36,169907.28,2.74
342292.89,5.52,0.35,169214.71,2.73
342292.89,5.52,0.35,169231.73,2.73
342241.16,5.52,0.35,169278.06,2.73
342213.18,5.52,0.35,169230.74,2.73
342213.18,5.52,0.35,169217.88,2.73
342176.48,5.52,0.35,169055.31,2.73
342124.75,5.52,0.35,169055.31,2.73
342124.75,5.52,0.35,169068.95,2.73
342397.16,5.53,0.35,169068.95,2.73
342345.43,5.53,0.35,169095.43,2.73
342402.05,5.53,0.36,169026.18,2.73
342350.33,5.53,0.36,169030.3,2.73
342129.61,5.52,0.35,168807.31,2.73
342077.89,5.52,0.35,168858.29,2.73
342448.61,5.53,0.36,168987.47,2.73
342756.63,5.54,0.36,169188.48,2.73
342189.92,5.53,0.36,168495.92,2.72
341827.48,5.52,0.35,168253.64,2.72
341260.78,5.51,0.34,167561.07,2.71
341209.05,5.52,0.34,167621.07,2.71
341157.33,5.52,0.34,167621.07,2.71
340590.62,5.51,0.33,166928.5,2.7
340212.47,5.5,0.33,166424.48,2.69
340583.19,5.51,0.34,166424.48,2.69
340531.46,5.51,0.34,166571.79,2.69
340179.02,5.5,0.33,166491.42,2.69
340020.5,5.5,0.33,167988.99,2.72
339893.31,5.5,0.33,167937.55,2.72
339326.61,5.49,0.32,167244.98,2.71
338948.45,5.49,0.31,166740.97,2.7
338948.45,5.49,0.31,166740.97,2.7
338921.75,5.49,0.31,166588.4,2.7
339194.16,5.49,0.32,166582.67,2.7
339142.43,5.49,0.32,166582.67,2.7
339090.71,5.49,0.32,166582.67,2.7
338712.55,5.49,0.31,166078.66,2.69
338696.44,5.49,0.31,167683.73,2.72
338644.72,5.49,0.31,167709.46,2.72
338608.01,5.49,0.31,167676.16,2.72
338229.86,5.48,0.31,167172.14,2.71
337663.16,5.47,0.3,166479.57,2.7
337935.56,5.48,0.31,166467.3,2.7
337368.86,5.47,0.3,165774.73,2.69
337317.13,5.47,0.3,165761.27,2.69
337023.0,5.46,0.29,166183.38,2.69
336826.15,5.46,0.29,165970.4,2.69
337220.61,5.47,0.3,166283.29,2.7
337168.88,5.47,0.3,166283.29,2.7
336790.73,5.46,0.29,165779.27,2.69
336224.02,5.46,0.28,165215.97,2.68
336384.76,5.46,0.29,165139.04,2.68
336657.17,5.46,0.29,165139.04,2.68
336380.2,5.46,0.29,164667.3,2.67
336750.92,5.47,0.29,164770.86,2.67
336699.19,5.47,0.29,164808.79,2.68
336971.6,5.47,0.3,164774.42,2.68
336644.77,5.47,0.29,166600.05,2.71
336593.05,5.47,0.29,166600.05,2.71
336116.6,5.46,0.29,166180.99,2.7
336064.88,5.46,0.29,166180.99,2.7
336064.14,5.46,0.29,165710.35,2.69
336012.41,5.46,0.29,165710.47,2.69
335960.69,5.46,0.29,165710.35,2.69
335908.96,5.46,0.29,165710.35,2.69
335857.24,5.46,0.29,165840.24,2.7
335580.27,5.46,0.28,165368.51,2.69
335103.83,5.45,0.28,164949.45,2.68
335474.55,5.46,0.28,165091.41,2.68
335422.82,5.46,0.28,165221.92,2.69
335060.38,5.45,0.28,164879.55,2.68
335008.66,5.45,0.28,164879.55,2.68
335281.06,5.45,0.28,164879.55,2.68
335431.74,5.46,0.29,164520.19,2.68
335271.8,5.46,0.28,164253.95,2.67
335634.55,5.46,0.29,164256.6,2.67
335340.42,5.46,0.29,164253.95,2.67
335439.51,5.46,0.29,164558.2,2.68
335711.91,5.47,0.29,164558.2,2.68
335347.44,5.46,0.29,164833.87,2.68
335295.72,5.46,0.29,164865.88,2.68
335244.0,5.46,0.29,164865.88,2.69
335192.27,5.46,0.29,164865.88,2.69
335140.55,5.46,0.29,164887.5,2.69
335088.82,5.46,0.29,164885.71,2.69
335037.1,5.46,0.29,164887.06,2.69
335431.56,5.47,0.29,164930.96,2.69
335356.85,5.47,0.29,166145.3,2.71
335327.39,5.47,0.29,165992.97,2.71
335275.67,5.47,0.29,165992.97,2.71
335223.94,5.47,0.29,165992.97,2.71
335195.96,5.47,0.29,165747.79,2.7
334612.64,5.46,0.29,165164.47,2.69
334560.91,5.46,0.29,165224.54,2.7
334509.19,5.46,0.29,165237.46,2.7
334457.46,5.46,0.29,165206.02,2.7
334405.74,5.46,0.29,165206.02,2.7
334377.76,5.46,0.29,165868.89,2.71
334326.03,5.46,0.29,165868.89,2.71
334274.31,5.46,0.29,165920.59,2.71
334645.03,5.46,0.29,165937.6,2.71
