name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0836,,P100,16,2,128849018880,16280,2,948,128849018880,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0001-openb-node-1179,,T4,104,2,549755813888,15109,9,892,549755813888,20,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0002-openb-node-1183,,T4,104,2,549755813888,15109,8,1982,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0816,,G2,96,8,412316860416,20000,7,3684,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-0216,,G2,96,8,412316860416,20000,9,632,412316860416,0,0,130,2600,0,0,0,0,0,0,0,0,0,0,0,0,130,2600
0005-openb-node-0504,,V100M16,32,4,137438953472,16160,3,692,137438953472,30,484,0,0,1000,16160,1000,16160,0,0,0,0,0,0,0,0,2030,32804
0006-openb-node-0255,,T4,104,2,549755813888,15109,7,3984,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0007-openb-node-0912,,G2,96,8,412316860416,20000,10,962,412316860416,0,0,70,1400,0,0,210,4200,0,0,410,8200,190,3800,350,7000,1230,24600
0008-openb-node-0563,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0009-openb-node-0850,,G2,96,8,412316860416,20000,10,314,412316860416,0,0,0,0,0,0,30,600,0,0,60,1200,190,3800,530,10600,810,16200
0010-openb-node-0026,,G2,96,8,412316860416,20000,12,2228,412316860416,0,0,120,2400,60,1200,0,0,120,2400,90,1800,0,0,0,0,390,7800
0011-openb-node-0170,,G3,128,8,824633720832,30000,11,1466,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,10,300,0,0,10,300
0012-openb-node-0516,,G2,96,8,412316860416,20000,11,2652,412316860416,0,0,30,600,50,1000,80,1600,0,0,0,0,0,0,0,0,160,3200
0013-openb-node-0046,,G2,96,8,412316860416,20000,8,5984,412316860416,0,0,0,0,0,0,0,0,0,0,60,1200,0,0,0,0,60,1200
0014-openb-node-0831,,G2,96,8,412316860416,20000,9,6796,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,600,30,600
0015-openb-node-0430,,P100,16,2,128849018880,16280,3,848,128849018880,190,3093,300,4884,0,0,0,0,0,0,0,0,0,0,0,0,490,7977
0016-openb-node-0460,,G2,96,8,412316860416,20000,9,572,412316860416,0,0,0,0,0,0,60,1200,0,0,0,0,0,0,0,0,60,1200
0017-openb-node-0174,,G2,96,8,412316860416,20000,10,672,412316860416,0,0,0,0,70,1400,0,0,0,0,70,1400,0,0,410,8200,550,11000
0018-openb-node-1004,,G2,96,8,412316860416,20000,9,3448,412316860416,0,0,0,0,0,0,0,0,0,0,30,600,0,0,0,0,30,600
0019-openb-node-0324,,G2,96,8,412316860416,20000,9,2472,412316860416,30,600,0,0,0,0,190,3800,0,0,0,0,0,0,0,0,220,4400
0020-openb-node-0031,,G2,96,8,412316860416,20000,10,572,412316860416,0,0,0,0,60,1200,0,0,190,3800,30,600,0,0,0,0,280,5600
0021-openb-node-0268,,G2,96,8,412316860416,20000,11,1228,412316860416,30,600,60,1200,30,600,190,3800,0,0,0,0,0,0,0,0,310,6200
0022-openb-node-0576,,G2,96,8,412316860416,20000,12,1432,412316860416,80,1600,190,3800,190,3800,0,0,190,3800,0,0,190,3800,0,0,840,16800
0023-openb-node-0522,,G2,96,8,412316860416,20000,11,1732,412316860416,30,600,30,600,0,0,0,0,0,0,190,3800,0,0,190,3800,440,8800
0024-openb-node-0200,,T4,104,2,549755813888,15109,6,292,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0025-openb-node-0459,,G2,96,8,412316860416,20000,12,720,412316860416,60,1200,0,0,0,0,0,0,30,600,30,600,190,3800,0,0,310,6200
0026-openb-node-0446,,G2,96,8,412316860416,20000,10,640,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,600,30,600
0027-openb-node-0566,,T4,104,2,549755813888,15109,9,1892,549755813888,0,0,20,302,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0028-openb-node-1087,,G2,96,8,412316860416,20000,9,532,412316860416,30,600,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,220,4400
0029-openb-node-0578,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0030-openb-node-0185,,G2,96,8,412316860416,20000,11,664,412316860416,60,1200,30,600,0,0,190,3800,0,0,0,0,130,2600,0,0,410,8200
0031-openb-node-1147,,G2,96,8,412316860416,20000,12,726,412316860416,0,0,80,1600,0,0,80,1600,190,3800,60,1200,0,0,0,0,410,8200
0032-openb-node-1159,,T4,104,2,549755813888,15109,5,1892,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0033-openb-node-1127,,T4,104,2,549755813888,15109,9,400,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0034-openb-node-0690,,T4,104,2,549755813888,15109,6,7900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0035-openb-node-1042,,G2,96,8,412316860416,20000,11,5778,412316860416,30,600,0,0,0,0,130,2600,190,3800,0,0,0,0,0,0,350,7000
0036-openb-node-0827,,G2,96,8,412316860416,20000,8,6124,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0037-openb-node-0419,,T4,104,2,549755813888,15109,7,1884,549755813888,0,0,10,151,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0038-openb-node-0259,,G2,96,8,412316860416,20000,9,940,412316860416,0,0,0,0,0,0,0,0,0,0,20,400,0,0,0,0,20,400
0039-openb-node-0397,,G2,96,8,412316860416,20000,10,2416,412316860416,0,0,30,600,0,0,60,1200,0,0,0,0,0,0,0,0,90,1800
0040-openb-node-0740,,G2,96,8,412316860416,20000,12,3944,412316860416,0,0,0,0,0,0,0,0,80,1600,30,600,190,3800,70,1400,370,7400
0041-openb-node-0295,,T4,104,2,549755813888,15109,7,2538,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0042-openb-node-0276,,G2,96,8,412316860416,20000,12,3676,412316860416,90,1800,0,0,0,0,80,1600,0,0,0,0,30,600,0,0,200,4000
0043-openb-node-0689,,T4,104,2,549755813888,15109,9,140,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0044-openb-node-0414,,T4,104,2,549755813888,15109,9,3940,549755813888,20,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0045-openb-node-0634,,T4,104,2,549755813888,15109,7,3292,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046-openb-node-0854,,G2,96,8,412316860416,20000,11,724,412316860416,0,0,60,1200,30,600,0,0,210,4200,350,7000,0,0,0,0,650,13000
0047-openb-node-0940,,G2,96,8,412316860416,20000,13,26,412316860416,30,600,0,0,0,0,0,0,30,600,0,0,10,200,0,0,70,1400
0048-openb-node-1083,,G2,96,8,412316860416,20000,12,1388,412316860416,0,0,0,0,0,0,20,400,0,0,0,0,0,0,130,2600,150,3000
0049-openb-node-1163,,T4,104,2,549755813888,15109,6,548,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0050-openb-node-0859,,G3,128,8,824633720832,30000,11,5680,824633720832,0,0,0,0,0,0,60,1800,30,900,0,0,0,0,0,0,90,2700
0051-openb-node-0350,,P100,16,2,128849018880,16280,4,1696,128849018880,30,488,30,488,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0052-openb-node-0899,,G2,96,8,412316860416,20000,11,1124,412316860416,30,600,190,3800,0,0,0,0,190,3800,190,3800,190,3800,70,1400,860,17200
0053-openb-node-0219,,P100,16,2,128849018880,16280,3,848,128849018880,190,3093,60,976,0,0,0,0,0,0,0,0,0,0,0,0,250,4069
0054-openb-node-1123,,T4,104,2,549755813888,15109,6,4296,549755813888,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
