ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,8,470,6212,470
2,16,1280,6212,1280
3,24,2090,6212,2090
4,32,3090,6212,3090
5,40,4090,6212,4090
6,42,5090,6212,5090
7,50,5900,6212,5900
8,52,6120,6212,6120
9,60,6490,6212,6490
10,62,7490,6212,7490
11,64,8490,6212,8490
12,72,9300,6212,9300
13,80,9300,6212,9300
14,88,10300,6212,10300
15,96,10300,6212,10300
16,98,10300,6212,10300
17,106,11300,6212,11300
18,114,11300,6212,11300
19,122,12300,6212,12300
20,124,13110,6212,13110
21,126,14110,6212,14110
22,128,15110,6212,15110
23,130,15110,6212,15110
24,132,16110,6212,16110
25,134,16580,6212,16580
26,138,17580,6212,17580
27,140,18390,6212,18390
28,148,19390,6212,19390
29,150,19860,6212,19860
30,152,20330,6212,20330
31,160,20790,6212,20790
32,168,21790,6212,21790
33,176,22600,6212,22600
34,178,23600,6212,23600
35,186,24600,6212,24600
36,188,25600,6212,25600
37,196,26600,6212,26600
38,198,27410,6212,27410
39,206,28410,6212,28410
39,206,28410,6212,28410
40,208,28880,6212,28880
41,216,29880,6212,29880
42,224,30880,6212,30880
43,232,30880,6212,30880
44,234,31880,6212,31880
45,242,32880,6212,32880
46,244,33880,6212,33880
47,252,33990,6212,33990
48,254,34990,6212,34990
49,262,34990,6212,34990
50,264,35640,6212,35640
51,266,36640,6212,36640
51,266,36870,6212,36870
52,268,37870,6212,37870
53,270,38870,6212,38870
54,278,39870,6212,39870
55,286,40460,6212,40460
56,288,40930,6212,40930
57,290,41930,6212,41930
58,292,42930,6212,42930
59,294,43740,6212,43740
60,298,44740,6212,44740
61,302,45740,6212,45740
62,304,46740,6212,46740
63,306,47060,6212,47060
64,314,48060,6212,48060
65,322,49060,6212,49060
66,324,50060,6212,50060
67,326,50530,6212,50530
68,328,50530,6212,50530
68,328,51530,6212,51530
69,336,52530,6212,52530
69,336,53340,6212,53340
70,344,54340,6212,54340
71,352,55340,6212,55340
72,360,55800,6212,55800
73,368,56610,6212,56610
74,370,57610,6212,57610
75,378,57610,6212,57610
75,378,57930,6212,57930
76,386,58740,6212,58740
77,394,59740,6212,59740
78,396,60210,6212,60210
79,398,60530,6212,60530
80,400,60530,6212,60530
