ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
658288.22,10.6,0.38,178740.99,2.88
657887.07,10.59,0.37,178220.43,2.87
657485.92,10.59,0.37,177699.87,2.86
657876.34,10.6,0.37,177549.48,2.86
658286.57,10.6,0.38,177385.21,2.86
658660.93,10.61,0.39,177158.47,2.85
658165.35,10.61,0.38,176602.6,2.85
659115.26,10.62,0.4,177158.93,2.85
659075.74,10.62,0.4,177119.41,2.85
659780.58,10.63,0.41,177223.15,2.86
660171.0,10.64,0.42,177072.76,2.85
659655.63,10.63,0.41,176530.76,2.85
663246.74,10.69,0.47,179648.86,2.9
663656.96,10.7,0.48,179484.6,2.89
663701.92,10.7,0.48,179279.21,2.89
664692.55,10.72,0.5,180073.74,2.9
664901.81,10.72,0.5,181036.7,2.92
668492.93,10.78,0.56,184154.8,2.97
667807.35,10.77,0.55,183408.93,2.96
667291.97,10.76,0.54,182866.94,2.95
667501.23,10.77,0.55,183829.89,2.97
667911.45,10.78,0.56,183665.62,2.96
669614.96,10.81,0.58,186012.31,3.0
670005.38,10.81,0.59,185861.91,3.0
670070.31,10.82,0.59,185719.32,3.0
670460.73,10.82,0.6,185568.93,3.0
669945.36,10.82,0.59,185026.93,2.99
670319.72,10.82,0.6,184800.19,2.98
670259.94,10.82,0.6,184757.4,2.98
670200.16,10.82,0.6,184714.62,2.98
670070.64,10.82,0.6,184585.1,2.98
671452.5,10.85,0.62,184740.24,2.98
670956.92,10.84,0.62,184184.37,2.98
671347.34,10.85,0.63,184033.98,2.97
672729.2,10.87,0.65,184189.13,2.98
674328.88,10.9,0.68,185612.35,3.0
674719.3,10.91,0.69,185461.95,3.0
674223.72,10.9,0.68,184906.08,2.99
673538.15,10.89,0.67,184160.21,2.98
674816.98,10.91,0.69,185067.53,2.99
675725.22,10.93,0.71,185481.61,3.0
676115.64,10.94,0.71,185331.21,3.0
676506.06,10.94,0.72,185180.82,3.0
676551.02,10.95,0.72,184975.44,2.99
675865.44,10.94,0.71,184229.57,2.98
676255.86,10.94,0.72,184079.17,2.98
676960.7,10.96,0.74,184182.91,2.98
677842.14,10.97,0.75,184767.8,2.99
678232.56,10.98,0.76,184617.4,2.99
681823.68,11.04,0.82,187735.51,3.04
682562.78,11.05,0.83,187899.12,3.04
682953.2,11.06,0.84,187748.73,3.04
683049.8,11.06,0.84,187738.39,3.04
682364.23,11.05,0.83,186992.52,3.03
682754.65,11.06,0.84,186842.12,3.03
682069.07,11.05,0.83,186096.26,3.02
681905.08,11.05,0.83,185702.68,3.01
681845.3,11.05,0.83,185523.49,3.01
682235.72,11.06,0.84,185373.1,3.0
682940.56,11.07,0.85,185476.83,3.01
682444.99,11.06,0.84,184920.97,3.0
682855.21,11.07,0.85,184730.08,3.0
683245.63,11.08,0.86,184579.69,2.99
683619.99,11.09,0.87,184352.95,2.99
684032.19,11.1,0.87,184637.06,2.99
684422.61,11.1,0.88,184486.66,2.99
684813.03,11.11,0.89,184336.27,2.99
684223.25,11.1,0.88,183627.08,2.98
684573.69,11.11,0.89,183708.35,2.98
684710.17,11.11,0.89,183598.91,2.98
684024.59,11.1,0.88,182853.04,2.97
684434.81,11.11,0.89,182688.78,2.97
683940.55,11.11,0.88,182168.9,2.96
684314.92,11.11,0.89,181942.15,2.95
684705.34,11.12,0.9,181791.76,2.95
684655.56,11.12,0.9,181622.57,2.95
684159.98,11.11,0.89,181066.7,2.94
684550.4,11.12,0.9,180916.31,2.94
687960.09,11.18,0.96,184349.24,3.0
687966.69,11.18,0.96,184248.9,2.99
687471.12,11.17,0.95,183693.03,2.99
687680.37,11.18,0.96,184655.98,3.0
687620.6,11.18,0.96,184476.79,3.0
688742.31,11.2,0.97,184152.3,2.99
690447.16,11.22,1.0,185256.04,3.01
690387.38,11.22,1.0,185213.26,3.01
690777.8,11.23,1.01,185062.86,3.01
690282.22,11.23,1.0,184506.99,3.0
690046.65,11.22,1.0,184211.12,3.0
690954.89,11.24,1.02,184625.2,3.0
690775.28,11.24,1.01,184604.85,3.0
691185.51,11.24,1.02,184413.97,3.0
690595.73,11.24,1.01,183704.78,2.99
690986.15,11.24,1.02,183554.38,2.99
690470.77,11.24,1.02,183039.01,2.98
690861.19,11.25,1.02,182888.61,2.98
694452.31,11.3,1.08,186006.72,3.03
694842.73,11.31,1.09,185856.32,3.03
698433.84,11.37,1.15,188974.43,3.08
699342.08,11.39,1.16,189388.51,3.08
699732.5,11.4,1.17,189238.11,3.08
700471.6,11.41,1.19,189401.73,3.08
700862.02,11.42,1.19,189251.34,3.08
701566.87,11.43,1.21,189355.07,3.09
701087.35,11.42,1.2,188875.55,3.08
701477.77,11.43,1.21,188725.16,3.08
700982.19,11.43,1.2,188169.29,3.07
701372.61,11.43,1.21,188018.9,3.07
701782.83,11.44,1.22,187854.63,3.06
702722.97,11.46,1.24,189014.26,3.08
