ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,1,470,6212,470
2,2,1280,6212,1280
3,3,2090,6212,2090
4,4,3090,6212,3090
5,6,4090,6212,4090
5,6,5090,6212,5090
6,7,5900,6212,5900
6,7,6120,6212,6120
7,8,6490,6212,6490
8,10,7490,6212,7490
8,10,8490,6212,8490
9,11,9300,6212,9300
10,19,9300,6212,9300
11,21,10300,6212,10300
11,21,10300,6212,10300
11,21,10300,6212,10300
11,21,11300,6212,11300
11,21,11300,6212,11300
12,22,12300,6212,12300
13,23,13110,6212,13110
14,25,14110,6212,14110
14,25,15110,6212,15110
14,25,15110,6212,15110
15,27,16110,6212,16110
16,28,16580,6212,16580
16,28,17580,6212,17580
17,29,18390,6212,18390
18,31,19390,6212,19390
19,32,19860,6212,19860
20,33,20330,6212,20330
21,34,20790,6212,20790
21,34,21790,6212,21790
22,35,22600,6212,22600
23,37,23600,6212,23600
23,37,24600,6212,24600
24,39,25600,6212,25600
24,39,26600,6212,26600
25,40,27410,6212,27410
26,41,28410,6212,28410
27,49,28410,6212,28410
28,51,28880,6212,28880
29,53,29880,6212,29880
29,53,30880,6212,30880
29,53,30880,6212,30880
30,54,31880,6212,31880
31,56,32880,6212,32880
31,56,33880,6212,33880
31,56,33990,6212,33990
32,58,34990,6212,34990
32,58,34990,6212,34990
33,60,35640,6212,35640
33,60,36640,6212,36640
33,60,36870,6212,36870
34,61,37870,6212,37870
35,63,38870,6212,38870
35,63,39870,6212,39870
35,63,40460,6212,40460
35,63,40930,6212,40930
36,65,41930,6212,41930
36,65,42930,6212,42930
37,66,43740,6212,43740
38,68,44740,6212,44740
39,70,45740,6212,45740
39,70,46740,6212,46740
39,70,47060,6212,47060
40,72,48060,6212,48060
40,72,49060,6212,49060
40,72,50060,6212,50060
40,72,50530,6212,50530
40,72,50530,6212,50530
41,73,51530,6212,51530
42,75,52530,6212,52530
43,76,53340,6212,53340
43,76,54340,6212,54340
44,78,55340,6212,55340
45,79,55800,6212,55800
46,80,56610,6212,56610
46,80,57610,6212,57610
46,80,57610,6212,57610
46,80,57930,6212,57930
47,82,58740,6212,58740
48,84,59740,6212,59740
48,84,60210,6212,60210
48,84,60530,6212,60530
48,84,60530,6212,60530
49,86,61000,6212,61000
49,86,62000,6212,62000
49,86,62810,6212,62810
50,88,63360,6212,63360
50,88,63830,6212,63830
50,88,64150,6212,64150
51,90,65150,6212,65150
51,90,66150,6212,66150
52,92,67150,6212,67150
52,92,67960,6212,67960
53,94,68960,6212,68960
54,102,68960,6212,68960
54,102,69960,6212,69960
54,102,69960,6212,69960
55,104,70430,6212,70430
56,106,71430,6212,71430
56,106,72080,6212,72080
56,106,73080,6212,73080
57,108,74080,6212,74080
58,110,74890,6212,74890
59,112,75890,6212,75890
59,112,76700,6212,76700
59,112,77700,6212,77700
60,114,78700,6212,78700
60,114,78700,6212,78700
61,116,79700,6212,79700
62,118,80700,6212,80700
62,118,81700,6212,81700
62,118,82700,6212,82700
63,120,83700,6212,83700
63,120,84700,6212,84700
64,122,85700,6212,85700
64,122,86700,6212,86700
64,122,86700,6212,86700
65,124,87700,6212,87700
65,124,88700,6212,88700
65,124,89170,6212,89170
66,126,89820,6212,89820
66,126,90280,6212,90280
67,128,91280,6212,91280
67,128,91600,6212,91600
68,130,92410,6212,92410
68,130,93410,6212,93410
69,132,94410,6212,94410
69,132,94880,6212,94880
69,132,95880,6212,95880
70,134,96880,6212,96880
70,134,97880,6212,97880
71,136,98880,6212,98880
71,136,99040,6212,99040
71,136,99510,6212,99510
71,136,100510,6212,100510
72,138,101510,6212,101510
72,138,101510,6212,101510
72,138,101510,6212,101510
72,138,102510,6212,102510
73,140,103510,6212,103510
74,142,103980,6212,103980
74,142,104980,6212,104980
74,142,105790,6212,105790
75,144,106790,6212,106790
75,144,107790,6212,107790
75,144,108110,6212,108110
76,146,109110,6212,109110
76,146,110110,6212,110110
76,146,110110,6212,110110
77,148,110580,6212,110580
78,150,111580,6212,111580
78,150,112580,6212,112580
79,152,113580,6212,113580
79,152,114580,6212,114580
79,152,115390,6212,115390
79,152,116390,6212,116390
80,154,117040,6212,117040
81,156,118040,6212,118040
81,156,119040,6212,119040
82,158,120040,6212,120040
82,158,120510,6212,120510
83,160,121510,6212,121510
83,160,122510,6212,122510
83,160,122830,6212,122830
83,160,123830,6212,123830
83,160,124830,6212,124830
83,160,124830,6212,124830
83,160,124830,6212,124830
84,162,125830,6212,125830
85,164,126830,6212,126830
85,164,127060,6212,127060
85,164,127530,6212,127530
86,166,128530,6212,128530
86,166,129530,6212,129530
87,168,130340,6212,130340
87,168,130660,6212,130660
87,168,130660,6212,130660
87,168,131250,6212,131250
87,168,131720,6212,131720
88,170,132180,6212,132180
89,172,133180,6212,133180
89,172,133990,6212,133990
90,174,134800,6212,134800
90,174,135800,6212,135800
90,174,135850,6212,135850
91,176,136850,6212,136850
91,176,137170,6212,137170
91,176,137630,6212,137630
91,176,138100,6212,138100
92,178,138750,6212,138750
92,178,139750,6212,139750
92,178,139980,6212,139980
92,178,140980,6212,140980
92,178,141980,6212,141980
93,180,142980,6212,142980
94,188,142980,6212,142980
94,188,142980,6212,142980
94,188,143980,6212,143980
94,188,144790,6212,144790
95,190,145790,6212,145790
95,190,146790,6212,146790
96,192,147790,6212,147790
96,192,148790,6212,148790
97,194,149600,6212,149600
98,196,150600,6212,150600
98,196,151600,6212,151600
98,196,151600,6212,151600
99,198,152600,6212,152600
99,198,153600,6212,153600
100,200,154600,6212,154600
100,200,155410,6212,155410
101,202,156220,6212,156220
101,202,157030,6212,157030
101,202,157030,6212,157030
102,204,157500,6212,157500
102,204,157500,6212,157500
102,204,157660,6212,157660
102,204,158660,6212,158660
102,204,158660,6212,158660
103,206,159660,6212,159660
103,206,160470,6212,160470
104,208,161280,6212,161280
104,208,162280,6212,162280
105,210,163280,6212,163280
105,210,164280,6212,164280
105,210,164510,6212,164510
106,212,165510,6212,165510
106,212,166510,6212,166510
107,214,167510,6212,167510
107,214,167510,6212,167510
107,214,168510,6212,168510
107,214,168980,6212,168980
108,216,169980,6212,169980
108,216,170790,6212,170790
108,216,171790,6212,171790
109,218,172790,6212,172790
109,218,173790,6212,173790
109,218,173790,6212,173790
110,220,174790,6212,174790
110,220,175790,6212,175790
111,222,176790,6212,176790
112,224,177250,6212,177250
112,224,177570,6212,177570
112,224,178040,6212,178040
113,226,179040,6212,179040
114,228,180040,6212,180040
114,228,181040,6212,181040
114,228,181360,6212,181360
115,230,182360,6212,182360
115,230,183360,6212,183360
115,230,183950,6212,183950
115,230,184950,6212,184950
116,232,185180,6212,185180
116,232,185990,6212,185990
116,232,186220,6212,186220
116,232,186220,6212,186220
117,234,187220,6212,187220
118,236,188220,6212,188220
119,238,189220,6212,189220
119,238,190220,6212,190220
120,240,191030,6212,191030
121,242,192030,6212,192030
121,242,193030,6212,193030
121,242,193140,6212,193140
121,242,193610,6212,193610
122,244,194610,6212,194610
122,244,195080,6212,195080
123,246,195890,6212,195890
123,246,196360,6212,196360
123,246,197360,6212,197360
123,246,198360,6212,198360
124,248,199010,6212,199010
124,248,199010,6212,199010
124,248,199010,6212,199010
125,250,200010,6212,200010
125,250,200480,6212,200480
125,250,201480,6212,201480
126,252,202480,6212,202480
126,252,203480,6212,203480
126,252,204290,6212,204290
126,252,204290,6212,204290
127,254,205100,6212,205100
127,254,206100,6212,206100
127,254,206910,6212,206910
128,256,207910,6212,207910
129,258,208910,6212,208910
129,258,208910,6212,208910
129,258,209910,6212,209910
130,260,210720,6212,210720
130,260,211720,6212,211720
131,262,212720,6212,212720
131,262,213040,6212,213040
131,262,214040,6212,214040
131,262,214360,6212,214360
131,262,214950,6212,214950
131,262,214950,6212,214950
131,262,215110,6212,215110
132,264,215580,6212,215580
132,264,216050,6212,216050
133,266,217050,6212,217050
133,266,218050,6212,218050
133,266,218050,6212,218050
134,268,218860,6212,218860
135,270,219860,6212,219860
135,270,220860,6212,220860
135,270,221860,6212,221860
136,278,221860,6212,221860
137,280,222860,6212,222860
137,280,223670,6212,223670
138,282,224320,6212,224320
138,282,225320,6212,225320
138,282,225320,6212,225320
138,282,226130,6212,226130
139,284,227130,6212,227130
139,284,228130,6212,228130
140,286,228940,6212,228940
141,288,229940,6212,229940
141,288,230410,6212,230410
141,288,231410,6212,231410
142,290,232410,6212,232410
143,292,234410,6212,234410
143,292,234880,6212,234880
143,292,235880,6212,235880
143,292,236110,6212,236110
144,294,237110,6212,237110
144,294,237430,6212,237430
145,296,237750,6212,237750
146,298,238750,6212,238750
146,298,239340,6212,239340
147,300,240340,6212,240340
148,302,241340,6212,241340
148,302,241340,6212,241340
148,302,241660,6212,241660
148,302,241660,6212,241660
149,304,242470,6212,242470
150,306,243470,6212,243470
150,306,243940,6212,243940
150,306,244170,6212,244170
150,306,244490,6212,244490
150,306,244810,6212,244810
151,308,245620,6212,245620
151,308,246270,6212,246270
151,308,247270,6212,247270
151,308,248270,6212,248270
