name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0569,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001-openb-node-1140,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0002-openb-node-0893,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0685,,G2,96,8,412316860416,20000,9,5020,412316860416,0,0,60,1200,0,0,190,3800,0,0,0,0,0,0,0,0,250,5000
0004-openb-node-0573,,T4,104,2,549755813888,15109,2,86648,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005-openb-node-0974,,G2,96,8,412316860416,20000,10,0,412316860416,310,6200,0,0,0,0,0,0,0,0,0,0,60,1200,0,0,370,7400
0006-openb-node-1063,,T4,104,2,549755813888,15109,5,1992,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0007-openb-node-1180,,T4,104,2,549755813888,15109,8,1192,549755813888,0,0,10,151,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0008-openb-node-0672,,T4,104,2,549755813888,15109,2,91038,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0009-openb-node-0495,,G3,128,8,824633720832,30000,2,0,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010-openb-node-0538,,T4,104,2,549755813888,15109,3,84788,549755813888,160,2417,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,350,5287
0011-openb-node-0035,,T4,96,4,412316860416,15109,2,23300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012-openb-node-1037,,G2,96,8,412316860416,20000,10,330,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0658,,G2,96,8,412316860416,20000,9,2348,412316860416,0,0,190,3800,0,0,0,0,0,0,0,0,70,1400,210,4200,470,9400
0014-openb-node-0720,,T4,104,2,549755813888,15109,7,292,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0015-openb-node-0889,,V100M32,96,8,824633720832,32510,10,188,824633720832,0,0,0,0,0,0,0,0,0,0,70,2275,190,6176,190,6176,450,14627
0016-openb-node-0056,,G2,96,8,412316860416,20000,8,1048,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017-openb-node-0202,,T4,104,2,549755813888,15109,2,97696,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0018-openb-node-0464,,G2,96,8,412316860416,20000,9,2548,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,600,30,600
0019-openb-node-0967,,P100,16,2,128849018880,16280,2,940,128849018880,530,8628,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0020-openb-node-0768,,T4,104,2,549755813888,15109,2,92648,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021-openb-node-0625,,V100M16,32,4,137438953472,16160,1,0,137438953472,1000,16160,1000,16160,1000,16160,1000,16160,0,0,0,0,0,0,0,0,4000,64640
0022-openb-node-1165,,T4,104,2,549755813888,15109,8,2192,549755813888,0,0,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0023-openb-node-0302,,T4,104,2,549755813888,15109,6,7800,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0024-openb-node-0890,,G2,96,8,412316860416,20000,11,1024,412316860416,60,1200,0,0,190,3800,0,0,30,600,190,3800,190,3800,190,3800,850,17000
0025-openb-node-1023,,G2,96,8,412316860416,20000,10,1780,412316860416,0,0,0,0,0,0,190,3800,0,0,60,1200,190,3800,0,0,440,8800
0026-openb-node-0068,,T4,104,2,549755813888,15109,5,3500,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0027-openb-node-0010,,P100,64,2,274877906944,16280,3,1292,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0028-openb-node-0406,,G2,96,8,412316860416,20000,11,820,412316860416,190,3800,30,600,0,0,0,0,30,600,0,0,0,0,0,0,250,5000
0029-openb-node-0328,,G2,96,8,412316860416,20000,12,3424,412316860416,190,3800,120,2400,190,3800,0,0,130,2600,190,3800,0,0,190,3800,1010,20200
0030-openb-node-0708,,G2,96,8,412316860416,20000,11,1380,412316860416,0,0,0,0,160,3200,0,0,0,0,0,0,30,600,0,0,190,3800
0031-openb-node-0935,,G2,96,8,412316860416,20000,9,1326,412316860416,0,0,0,0,190,3800,0,0,190,3800,190,3800,0,0,0,0,570,11400
0032-openb-node-1067,,G2,96,8,412316860416,20000,11,2036,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,70,1400,260,5200
0033-openb-node-0191,,G2,96,8,412316860416,20000,9,3770,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3800,190,3800
0034-openb-node-0957,,G2,96,8,412316860416,20000,9,3724,412316860416,60,1200,190,3800,0,0,0,0,530,10600,0,0,0,0,350,7000,1130,22600
0035-openb-node-0367,,G2,96,8,412316860416,20000,10,1586,412316860416,30,600,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,220,4400
0036-openb-node-1096,,T4,104,2,549755813888,15109,7,3800,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0037-openb-node-0846,,T4,104,2,549755813888,15109,2,86648,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0038-openb-node-0682,,G2,96,8,412316860416,20000,10,492,412316860416,0,0,0,0,60,1200,0,0,0,0,190,3800,410,8200,190,3800,850,17000
0039-openb-node-0346,,G2,96,8,412316860416,20000,10,2380,412316860416,190,3800,0,0,0,0,190,3800,0,0,0,0,30,600,0,0,410,8200
0040-openb-node-0553,,P100,16,2,128849018880,16280,3,548,128849018880,0,0,50,814,0,0,0,0,0,0,0,0,0,0,0,0,50,814
0041-openb-node-1192,,T4,104,2,549755813888,15109,3,88696,549755813888,0,0,40,604,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0042-openb-node-0294,,G3,128,8,824633720832,30000,2,0,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0043-openb-node-0008,,P100,64,2,274877906944,16280,4,592,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0044-openb-node-0234,,T4,104,2,549755813888,15109,2,88448,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0045-openb-node-0800,,T4,104,2,549755813888,15109,5,200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046-openb-node-0921,,V100M16,32,4,137438953472,16160,1,0,137438953472,1000,16160,1000,16160,1000,16160,1000,16160,0,0,0,0,0,0,0,0,4000,64640
0047-openb-node-0726,,T4,104,2,549755813888,15109,3,88848,549755813888,190,2870,50,755,0,0,0,0,0,0,0,0,0,0,0,0,240,3625
0048-openb-node-1029,,G2,96,8,412316860416,20000,9,10170,412316860416,0,0,0,0,60,1200,0,0,0,0,190,3800,0,0,350,7000,600,12000
0049-openb-node-0341,,G2,96,8,412316860416,20000,10,7192,412316860416,0,0,190,3800,190,3800,130,2600,0,0,0,0,0,0,0,0,510,10200
0050-openb-node-0453,,T4,104,2,549755813888,15109,2,89548,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0051-openb-node-0069,,T4,104,2,549755813888,15109,9,4282,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0052-openb-node-0833,,G2,96,8,412316860416,20000,8,3924,412316860416,530,10600,0,0,350,7000,0,0,0,0,0,0,190,3800,0,0,1070,21400
0053-openb-node-0812,,G2,96,8,412316860416,20000,11,780,412316860416,70,1400,0,0,30,600,0,0,0,0,190,3800,0,0,0,0,290,5800
0054-openb-node-0032,,G2,96,8,412316860416,20000,12,668,412316860416,60,1200,0,0,80,1600,0,0,190,3800,0,0,60,1200,0,0,390,7800
0055-openb-node-1073,,G2,96,8,412316860416,20000,12,2936,412316860416,30,600,0,0,190,3800,0,0,0,0,70,1400,0,0,190,3800,480,9600
0056-openb-node-0361,,G2,96,8,412316860416,20000,10,2874,412316860416,190,3800,0,0,0,0,180,3600,0,0,0,0,190,3800,190,3800,750,15000
0057-openb-node-1121,,T4,104,2,549755813888,15109,7,1290,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0058-openb-node-0654,,G2,96,8,412316860416,20000,10,628,412316860416,0,0,30,600,190,3800,0,0,0,0,190,3800,190,3800,0,0,600,12000
0059-openb-node-0208,,T4,104,2,549755813888,15109,2,84848,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0060-openb-node-0162,,P100,16,2,128849018880,16280,2,848,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0061-openb-node-0671,,T4,104,2,549755813888,15109,2,89548,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0062-openb-node-0593,,T4,104,2,549755813888,15109,6,4900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0063-openb-node-1178,,T4,104,2,549755813888,15109,2,89548,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0064-openb-node-0275,,G2,96,8,412316860416,20000,11,1728,412316860416,70,1400,190,3800,190,3800,130,2600,0,0,0,0,0,0,190,3800,770,15400
0065-openb-node-1081,,V100M16,64,8,274877906944,16160,5,3496,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,190,3070,190,3070,380,6140
0066-openb-node-0179,,G2,96,8,412316860416,20000,11,2232,412316860416,0,0,0,0,0,0,30,600,0,0,70,1400,190,3800,60,1200,350,7000
0067-openb-node-0958,,G2,96,8,412316860416,20000,10,1874,412316860416,0,0,190,3800,190,3800,90,1800,0,0,0,0,0,0,450,9000,920,18400
