ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
657705.93,10.59,0.37,177887.76,2.86
657304.78,10.58,0.36,177367.2,2.86
656903.63,10.58,0.36,176846.64,2.85
656801.41,10.58,0.36,176847.86,2.85
656699.19,10.58,0.36,176845.56,2.85
656596.97,10.58,0.36,177003.05,2.85
656195.82,10.57,0.35,176618.9,2.85
656068.56,10.57,0.35,176789.06,2.85
656102.46,10.57,0.35,176839.95,2.85
656000.24,10.57,0.35,176809.52,2.85
655898.02,10.57,0.35,176809.65,2.85
655496.87,10.57,0.35,176289.09,2.84
655496.87,10.57,0.35,176292.48,2.84
655394.65,10.57,0.35,177038.25,2.85
655394.65,10.57,0.35,176760.14,2.85
655394.65,10.57,0.35,176759.95,2.85
655292.43,10.57,0.35,176759.95,2.85
655292.43,10.57,0.35,179019.95,2.89
654702.65,10.56,0.34,178310.76,2.88
654301.5,10.56,0.33,177790.2,2.87
654199.28,10.56,0.33,177698.51,2.87
654097.06,10.56,0.33,177698.51,2.87
654097.06,10.56,0.33,177480.82,2.86
653994.84,10.56,0.33,177480.95,2.86
653935.06,10.56,0.33,177301.76,2.86
653832.84,10.56,0.33,177301.91,2.86
653431.69,10.55,0.33,176917.76,2.86
653329.47,10.55,0.33,175250.51,2.83
653269.69,10.55,0.33,175071.33,2.83
653209.91,10.55,0.33,174892.14,2.82
653160.13,10.55,0.33,174722.95,2.82
653057.91,10.55,0.33,174722.48,2.82
652656.76,10.54,0.32,174201.92,2.81
652554.54,10.54,0.32,174335.6,2.82
652452.32,10.54,0.32,174308.81,2.82
652350.1,10.54,0.32,174217.12,2.82
652247.88,10.54,0.32,174180.92,2.82
651846.73,10.54,0.32,173660.36,2.81
651256.95,10.53,0.31,172951.17,2.8
651256.95,10.53,0.31,172951.17,2.8
651582.9,10.54,0.32,173386.14,2.8
651480.68,10.54,0.32,173392.92,2.8
651378.46,10.54,0.32,173294.45,2.8
651378.46,10.54,0.32,173294.45,2.8
650788.68,10.53,0.31,172585.26,2.79
650686.46,10.53,0.31,172576.74,2.79
650584.24,10.53,0.31,172493.57,2.79
650515.59,10.53,0.31,173777.81,2.81
650413.37,10.53,0.31,173777.81,2.81
650413.37,10.53,0.31,173777.81,2.81
650636.66,10.53,0.31,173777.81,2.81
650534.44,10.53,0.31,173777.81,2.81
650328.93,10.53,0.31,173777.93,2.81
649739.15,10.52,0.3,173068.74,2.8
649636.93,10.52,0.3,173068.62,2.8
649047.15,10.52,0.29,172359.44,2.79
648463.47,10.51,0.29,171775.76,2.78
648095.3,10.5,0.28,171400.79,2.78
647993.08,10.5,0.28,171400.79,2.78
647890.86,10.5,0.28,171568.37,2.78
647489.71,10.5,0.28,171047.8,2.77
647387.49,10.5,0.28,170880.23,2.77
647285.27,10.5,0.28,171000.23,2.77
647183.05,10.5,0.28,170908.54,2.77
646863.05,10.49,0.27,170588.54,2.77
646760.83,10.49,0.27,170588.54,2.77
646658.61,10.49,0.27,170588.54,2.77
646068.83,10.48,0.26,169879.35,2.76
646009.05,10.48,0.26,169700.17,2.75
