name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0621,,G2,96,8,412316860416,20000,9,784,412316860416,0,0,0,0,190,3800,0,0,0,0,190,3800,0,0,190,3800,570,11400
0001-openb-node-0299,,T4,104,2,549755813888,15109,6,10400,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002-openb-node-0755,,T4,104,2,549755813888,15109,8,15748,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0003-openb-node-0244,,G2,96,8,412316860416,20000,6,2140,412316860416,0,0,0,0,0,0,190,3800,0,0,1000,20000,1000,20000,1000,20000,3190,63800
0004-openb-node-0246,,G2,96,8,412316860416,20000,10,2028,412316860416,530,10600,530,10600,0,0,450,9000,1000,20000,530,10600,190,3800,410,8200,3640,72800
0005-openb-node-0322,,G2,96,8,412316860416,20000,10,2796,412316860416,0,0,190,3800,0,0,0,0,0,0,0,0,190,3800,1000,20000,1380,27600
0006-openb-node-0135,,T4,104,2,549755813888,15109,9,15048,549755813888,70,1057,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,260,3927
0007-openb-node-0330,,G2,96,8,412316860416,20000,1,31800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-0898,,P100,16,2,128849018880,16280,2,548,128849018880,0,0,450,7326,0,0,0,0,0,0,0,0,0,0,0,0,450,7326
0009-openb-node-0614,,T4,104,2,549755813888,15109,5,9048,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010-openb-node-0405,,G2,96,8,412316860416,20000,9,3532,412316860416,0,0,0,0,210,4200,0,0,0,0,0,0,0,0,0,0,210,4200
0011-openb-node-0404,,T4,104,2,549755813888,15109,8,7100,549755813888,0,0,110,1661,0,0,0,0,0,0,0,0,0,0,0,0,110,1661
0012-openb-node-0691,,T4,104,2,549755813888,15109,10,4692,549755813888,0,0,20,302,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0013-openb-node-0588,,T4,104,2,549755813888,15109,6,8048,549755813888,0,0,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,130,1964
0014-openb-node-0291,,G2,96,8,412316860416,20000,8,2580,412316860416,530,10600,0,0,0,0,190,3800,0,0,530,10600,190,3800,1000,20000,2440,48800
0015-openb-node-0697,,T4,104,2,549755813888,15109,5,12948,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016-openb-node-0099,,V100M16,32,4,137438953472,16160,3,4792,137438953472,0,0,0,0,1000,16160,530,8564,0,0,0,0,0,0,0,0,1530,24724
0017-openb-node-1075,,T4,104,2,549755813888,15109,6,8792,549755813888,0,0,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0018-openb-node-0905,,V100M32,48,4,395136991232,32510,6,2148,395136991232,0,0,0,0,0,0,190,6176,0,0,0,0,0,0,0,0,190,6176
0019-openb-node-0479,,P100,8,1,64424509440,16280,2,848,64424509440,180,2930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,2930
0020-openb-node-0159,,G2,96,8,412316860416,20000,13,1328,412316860416,0,0,0,0,190,3800,0,0,130,2600,70,1400,30,600,190,3800,610,12200
0021-openb-node-0787,,T4,104,2,549755813888,15109,5,17448,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0022-openb-node-0362,,V100M32,48,4,395136991232,32510,5,3732,395136991232,530,17230,0,0,70,2275,190,6176,0,0,0,0,0,0,0,0,790,25681
0023-openb-node-0662,,G2,96,8,412316860416,20000,10,640,412316860416,0,0,210,4200,0,0,220,4400,0,0,0,0,0,0,190,3800,620,12400
0024-openb-node-0716,,T4,104,2,549755813888,15109,3,50890,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-0065,,V100M32,96,8,824633720832,32510,9,640,824633720832,0,0,350,11378,0,0,0,0,0,0,190,6176,530,17230,350,11378,1420,46162
0026-openb-node-0786,,V100M32,48,4,395136991232,32510,6,8788,395136991232,0,0,60,1950,40,1300,0,0,0,0,0,0,0,0,0,0,100,3250
0027-openb-node-0961,,G2,96,8,412316860416,20000,7,1500,412316860416,0,0,0,0,530,10600,530,10600,0,0,1000,20000,1000,20000,1000,20000,4060,81200
0028-openb-node-0674,,G2,96,8,412316860416,20000,10,1820,412316860416,0,0,190,3800,530,10600,0,0,350,7000,410,8200,530,10600,230,4600,2240,44800
0029-openb-node-0528,,T4,104,2,549755813888,15109,6,1048,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0030-openb-node-0849,,G2,96,8,412316860416,20000,13,2096,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,190,3800,80,1600,270,5400
0031-openb-node-0659,,G2,96,8,412316860416,20000,3,11300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0032-openb-node-0503,,P100,16,2,128849018880,16280,2,600,128849018880,0,0,770,12535,0,0,0,0,0,0,0,0,0,0,0,0,770,12535
0033-openb-node-0199,,T4,104,2,549755813888,15109,7,6700,549755813888,0,0,140,2115,0,0,0,0,0,0,0,0,0,0,0,0,140,2115
0034-openb-node-1136,,G2,96,8,412316860416,20000,9,730,412316860416,0,0,0,0,70,1400,0,0,0,0,680,13600,450,9000,1000,20000,2200,44000
0035-openb-node-0050,,G3,128,8,824633720832,30000,11,23388,824633720832,0,0,0,0,0,0,0,0,210,6300,190,5700,0,0,190,5700,590,17700
0036-openb-node-0302,,T4,104,2,549755813888,15109,6,8948,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
