ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,8,0,6212,0
1,8,0,6212,0
2,9,650,6212,650
3,10,1650,6212,1650
3,10,1880,6212,1880
4,12,2880,6212,2880
4,12,3880,6212,3880
5,14,4880,6212,4880
5,14,5880,6212,5880
6,15,6340,6212,6340
7,16,6570,6212,6570
8,17,7570,6212,7570
9,18,8030,6212,8030
10,19,8840,6212,8840
11,20,9840,6212,9840
12,22,10840,6212,10840
13,23,11300,6212,11300
14,24,11770,6212,11770
14,24,12770,6212,12770
15,26,13770,6212,13770
15,26,13770,6212,13770
16,27,13990,6212,13990
16,27,13990,6212,13990
17,29,14990,6212,14990
17,29,15990,6212,15990
18,31,16990,6212,16990
18,31,17990,6212,17990
19,32,18800,6212,18800
20,33,19610,6212,19610
21,35,20610,6212,20610
21,35,21610,6212,21610
22,37,22610,6212,22610
22,37,23610,6212,23610
22,37,23610,6212,23610
23,38,24420,6212,24420
23,38,24420,6212,24420
23,38,24420,6212,24420
23,38,25420,6212,25420
24,39,25880,6212,25880
25,40,26880,6212,26880
26,48,34880,6212,34880
27,50,35880,6212,35880
27,50,36880,6212,36880
28,51,37690,6212,37690
29,53,38690,6212,38690
29,53,39690,6212,39690
30,55,40690,6212,40690
31,56,41010,6212,41010
31,56,42010,6212,42010
32,58,43010,6212,43010
32,58,44010,6212,44010
33,60,44660,6212,44660
34,62,45660,6212,45660
34,62,46470,6212,46470
35,64,47470,6212,47470
35,64,48470,6212,48470
36,66,49470,6212,49470
36,66,50470,6212,50470
37,68,51470,6212,51470
37,68,52470,6212,52470
38,69,53280,6212,53280
38,69,53280,6212,53280
38,69,53500,6212,53500
38,69,53500,6212,53500
38,69,53500,6212,53500
39,71,54500,6212,54500
40,72,55310,6212,55310
40,72,55310,6212,55310
41,74,55780,6212,55780
41,74,56250,6212,56250
41,74,56720,6212,56720
41,74,57720,6212,57720
41,74,57720,6212,57720
42,76,58720,6212,58720
43,78,59720,6212,59720
44,79,60530,6212,60530
44,79,61000,6212,61000
45,80,61470,6212,61470
46,88,61470,6212,61470
47,89,61930,6212,61930
48,91,62930,6212,62930
48,91,62930,6212,62930
49,92,63160,6212,63160
49,92,64160,6212,64160
49,92,65160,6212,65160
50,94,65630,6212,65630
50,94,66440,6212,66440
51,96,67440,6212,67440
51,96,68440,6212,68440
52,98,69440,6212,69440
52,98,69910,6212,69910
53,106,77910,6212,77910
54,108,78370,6212,78370
55,110,79020,6212,79020
55,110,79020,6212,79020
55,110,79020,6212,79020
55,110,79180,6212,79180
55,110,79990,6212,79990
55,110,80990,6212,80990
56,112,81990,6212,81990
56,112,82990,6212,82990
57,114,83990,6212,83990
57,114,84800,6212,84800
57,114,85800,6212,85800
57,114,85910,6212,85910
58,122,93910,6212,93910
59,124,94910,6212,94910
60,126,95460,6212,95460
60,126,96460,6212,96460
61,128,97460,6212,97460
61,128,98270,6212,98270
61,128,99270,6212,99270
62,130,100270,6212,100270
63,132,102270,6212,102270
64,134,102740,6212,102740
64,134,103740,6212,103740
65,136,105740,6212,105740
65,136,105970,6212,105970
65,136,105970,6212,105970
65,136,106970,6212,106970
65,136,106970,6212,106970
65,136,106970,6212,106970
65,136,107780,6212,107780
66,138,108780,6212,108780
66,138,108780,6212,108780
66,138,109780,6212,109780
66,138,109780,6212,109780
66,138,110250,6212,110250
66,138,110470,6212,110470
67,140,111470,6212,111470
67,140,112470,6212,112470
67,140,112470,6212,112470
67,140,113470,6212,113470
68,142,114470,6212,114470
68,142,114790,6212,114790
68,142,114790,6212,114790
68,142,115790,6212,115790
69,144,116790,6212,116790
69,144,117790,6212,117790
70,146,118790,6212,118790
71,148,119790,6212,119790
71,148,120790,6212,120790
72,150,121110,6212,121110
72,150,121580,6212,121580
72,150,121900,6212,121900
73,152,122900,6212,122900
73,152,122900,6212,122900
73,152,123710,6212,123710
73,152,124710,6212,124710
73,152,125710,6212,125710
73,152,125710,6212,125710
74,154,126710,6212,126710
75,156,127710,6212,127710
76,158,128520,6212,128520
76,158,129520,6212,129520
76,158,130520,6212,130520
76,158,131170,6212,131170
77,160,132170,6212,132170
77,160,133170,6212,133170
78,162,134170,6212,134170
78,162,135170,6212,135170
79,164,135640,6212,135640
80,166,136640,6212,136640
80,166,136640,6212,136640
80,166,136640,6212,136640
81,168,137110,6212,137110
81,168,137660,6212,137660
81,168,138660,6212,138660
82,170,139660,6212,139660
83,172,140660,6212,140660
83,172,141470,6212,141470
84,174,141940,6212,141940
85,176,142940,6212,142940
85,176,143940,6212,143940
85,176,144750,6212,144750
86,178,145750,6212,145750
86,178,146070,6212,146070
86,178,147070,6212,147070
87,180,148070,6212,148070
87,180,148070,6212,148070
87,180,148540,6212,148540
87,180,148540,6212,148540
88,182,149010,6212,149010
88,182,150010,6212,150010
89,190,150010,6212,150010
89,190,150010,6212,150010
89,190,150820,6212,150820
90,192,151820,6212,151820
91,194,152470,6212,152470
91,194,153470,6212,153470
92,196,153790,6212,153790
93,198,154790,6212,154790
93,198,155260,6212,155260
93,198,156260,6212,156260
93,198,156630,6212,156630
93,198,156630,6212,156630
93,198,157100,6212,157100
93,198,157100,6212,157100
93,198,157910,6212,157910
93,198,158380,6212,158380
94,200,158700,6212,158700
94,200,158700,6212,158700
95,202,159700,6212,159700
95,202,160350,6212,160350
95,202,161160,6212,161160
95,202,161750,6212,161750
96,204,162560,6212,162560
96,204,163560,6212,163560
96,204,163560,6212,163560
97,206,164560,6212,164560
97,206,165370,6212,165370
97,206,165370,6212,165370
98,208,166020,6212,166020
98,208,166250,6212,166250
98,208,166480,6212,166480
98,208,166800,6212,166800
99,210,167610,6212,167610
99,210,167610,6212,167610
99,210,168070,6212,168070
99,210,168290,6212,168290
99,210,169290,6212,169290
99,210,169450,6212,169450
99,210,170000,6212,170000
99,210,170000,6212,170000
100,212,171000,6212,171000
101,214,171810,6212,171810
101,214,172810,6212,172810
101,214,172810,6212,172810
102,216,173810,6212,173810
102,216,173810,6212,173810
102,216,174270,6212,174270
102,216,175270,6212,175270
102,216,175270,6212,175270
103,218,176270,6212,176270
103,218,177270,6212,177270
104,220,178270,6212,178270
104,220,178430,6212,178430
104,220,179430,6212,179430
104,220,179430,6212,179430
105,222,180430,6212,180430
105,222,181430,6212,181430
106,224,182430,6212,182430
106,224,182890,6212,182890
106,224,182890,6212,182890
106,224,183890,6212,183890
107,226,184700,6212,184700
108,228,185700,6212,185700
108,228,186350,6212,186350
108,228,186350,6212,186350
109,230,186900,6212,186900
109,230,187710,6212,187710
109,230,188710,6212,188710
109,230,188710,6212,188710
109,230,188710,6212,188710
109,230,188710,6212,188710
109,230,188710,6212,188710
110,238,188710,6212,188710
111,240,189710,6212,189710
112,242,190710,6212,190710
112,242,190820,6212,190820
112,242,190820,6212,190820
112,242,190820,6212,190820
112,242,190820,6212,190820
113,244,191290,6212,191290
113,244,192290,6212,192290
114,246,193290,6212,193290
114,246,194100,6212,194100
114,246,194420,6212,194420
114,246,195420,6212,195420
115,248,196230,6212,196230
115,248,197230,6212,197230
115,248,197700,6212,197700
116,250,198700,6212,198700
116,250,199700,6212,199700
116,250,199700,6212,199700
117,252,200700,6212,200700
117,252,201510,6212,201510
118,254,201980,6212,201980
118,254,202980,6212,202980
119,256,203980,6212,203980
119,256,203980,6212,203980
119,256,204570,6212,204570
119,256,204570,6212,204570
119,256,205570,6212,205570
119,256,205890,6212,205890
120,258,206890,6212,206890
120,258,207890,6212,207890
121,260,208360,6212,208360
122,262,209360,6212,209360
122,262,210360,6212,210360
123,264,211360,6212,211360
123,264,212360,6212,212360
124,266,213360,6212,213360
124,266,214360,6212,214360
125,268,215360,6212,215360
126,270,216360,6212,216360
126,270,217360,6212,217360
126,270,218360,6212,218360
126,270,219170,6212,219170
127,272,220170,6212,220170
127,272,221170,6212,221170
127,272,221170,6212,221170
128,274,222170,6212,222170
128,274,223170,6212,223170
129,282,231170,6212,231170
130,284,232170,6212,232170
130,284,233170,6212,233170
131,288,233170,6212,233170
132,290,234170,6212,234170
132,290,235170,6212,235170
133,292,235980,6212,235980
134,294,236980,6212,236980
134,294,237980,6212,237980
135,296,238980,6212,238980
135,296,239450,6212,239450
135,296,239450,6212,239450
135,296,239920,6212,239920
136,298,240730,6212,240730
136,298,241730,6212,241730
137,300,242730,6212,242730
137,300,243730,6212,243730
138,302,244730,6212,244730
138,302,245200,6212,245200
138,302,245200,6212,245200
138,302,245670,6212,245670
138,302,246670,6212,246670
139,304,247670,6212,247670
139,304,247670,6212,247670
