ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,8,0,6212,0
1,8,0,6212,0
2,9,650,6212,650
3,10,1650,6212,1650
3,10,1880,6212,1880
4,12,2880,6212,2880
4,12,3880,6212,3880
5,14,4880,6212,4880
5,14,5880,6212,5880
6,15,6340,6212,6340
7,16,6570,6212,6570
8,17,7570,6212,7570
9,18,8030,6212,8030
10,19,8840,6212,8840
11,20,9840,6212,9840
12,22,10840,6212,10840
12,22,11300,6212,11300
12,22,11770,6212,11770
13,24,12770,6212,12770
14,26,13770,6212,13770
14,26,13770,6212,13770
14,26,13990,6212,13990
14,26,13990,6212,13990
14,26,14990,6212,14990
15,28,15990,6212,15990
15,28,16990,6212,16990
16,30,17990,6212,17990
16,30,18800,6212,18800
17,31,19610,6212,19610
18,33,20610,6212,20610
18,33,21610,6212,21610
19,35,22610,6212,22610
19,35,23610,6212,23610
19,35,23610,6212,23610
20,36,24420,6212,24420
20,36,24420,6212,24420
20,36,24420,6212,24420
21,37,25420,6212,25420
22,38,25880,6212,25880
23,39,26880,6212,26880
24,47,34880,6212,34880
25,49,35880,6212,35880
25,49,36880,6212,36880
26,50,37690,6212,37690
27,52,38690,6212,38690
27,52,39690,6212,39690
28,54,40690,6212,40690
28,54,41010,6212,41010
29,56,42010,6212,42010
29,56,43010,6212,43010
30,58,44010,6212,44010
30,58,44660,6212,44660
31,60,45660,6212,45660
31,60,46470,6212,46470
31,60,47470,6212,47470
32,62,48470,6212,48470
32,62,49470,6212,49470
33,64,50470,6212,50470
33,64,51470,6212,51470
34,66,52470,6212,52470
34,66,53280,6212,53280
34,66,53280,6212,53280
35,67,53500,6212,53500
35,67,53500,6212,53500
35,67,53500,6212,53500
36,69,54500,6212,54500
36,69,55310,6212,55310
36,69,55310,6212,55310
37,71,55780,6212,55780
38,73,56250,6212,56250
39,75,56720,6212,56720
39,75,57720,6212,57720
39,75,57720,6212,57720
40,77,58720,6212,58720
40,77,59720,6212,59720
41,78,60530,6212,60530
41,78,61000,6212,61000
42,79,61470,6212,61470
43,87,61470,6212,61470
44,88,61930,6212,61930
45,90,62930,6212,62930
45,90,62930,6212,62930
45,90,63160,6212,63160
45,90,64160,6212,64160
46,91,65160,6212,65160
46,91,65630,6212,65630
46,91,66440,6212,66440
47,93,67440,6212,67440
47,93,68440,6212,68440
48,95,69440,6212,69440
49,97,69910,6212,69910
50,105,77910,6212,77910
50,105,78370,6212,78370
50,105,79020,6212,79020
50,105,79020,6212,79020
50,105,79020,6212,79020
50,105,79180,6212,79180
50,105,79990,6212,79990
51,107,80990,6212,80990
51,107,81990,6212,81990
52,109,82990,6212,82990
52,109,83990,6212,83990
53,110,84800,6212,84800
54,112,85800,6212,85800
54,112,85910,6212,85910
55,120,93910,6212,93910
55,120,94910,6212,94910
56,121,95460,6212,95460
57,123,96460,6212,96460
57,123,97460,6212,97460
58,124,98270,6212,98270
59,126,99270,6212,99270
59,126,100270,6212,100270
60,128,102270,6212,102270
61,130,102740,6212,102740
62,132,103740,6212,103740
63,134,105740,6212,105740
63,134,105970,6212,105970
63,134,105970,6212,105970
63,134,106970,6212,106970
63,134,106970,6212,106970
63,134,106970,6212,106970
63,134,107780,6212,107780
64,136,108780,6212,108780
64,136,108780,6212,108780
64,136,109780,6212,109780
64,136,109780,6212,109780
65,137,110250,6212,110250
65,137,110470,6212,110470
66,139,111470,6212,111470
66,139,112470,6212,112470
66,139,112470,6212,112470
67,141,113470,6212,113470
67,141,114470,6212,114470
68,142,114790,6212,114790
68,142,114790,6212,114790
69,144,115790,6212,115790
70,146,116790,6212,116790
70,146,117790,6212,117790
71,148,118790,6212,118790
71,148,119790,6212,119790
72,150,120790,6212,120790
72,150,121110,6212,121110
72,150,121580,6212,121580
72,150,121900,6212,121900
72,150,122900,6212,122900
72,150,122900,6212,122900
73,152,123710,6212,123710
73,152,124710,6212,124710
74,154,125710,6212,125710
74,154,125710,6212,125710
74,154,126710,6212,126710
75,156,127710,6212,127710
75,156,128520,6212,128520
76,158,129520,6212,129520
76,158,130520,6212,130520
77,160,131170,6212,131170
77,160,132170,6212,132170
78,162,133170,6212,133170
78,162,134170,6212,134170
79,164,135170,6212,135170
80,166,135640,6212,135640
80,166,136640,6212,136640
80,166,136640,6212,136640
80,166,136640,6212,136640
81,168,137110,6212,137110
81,168,137660,6212,137660
82,170,138660,6212,138660
83,172,139660,6212,139660
84,174,140660,6212,140660
84,174,141470,6212,141470
84,174,141940,6212,141940
85,176,142940,6212,142940
85,176,143940,6212,143940
85,176,144750,6212,144750
86,178,145750,6212,145750
86,178,146070,6212,146070
86,178,147070,6212,147070
87,180,148070,6212,148070
87,180,148070,6212,148070
87,180,148540,6212,148540
87,180,148540,6212,148540
87,180,149010,6212,149010
88,182,150010,6212,150010
89,190,150010,6212,150010
89,190,150010,6212,150010
90,192,150820,6212,150820
90,192,151820,6212,151820
91,194,152470,6212,152470
92,196,153470,6212,153470
92,196,153790,6212,153790
92,196,154790,6212,154790
93,198,155260,6212,155260
93,198,156260,6212,156260
93,198,156630,6212,156630
93,198,156630,6212,156630
94,200,157100,6212,157100
94,200,157100,6212,157100
94,200,157910,6212,157910
94,200,158380,6212,158380
94,200,158700,6212,158700
94,200,158700,6212,158700
95,202,159700,6212,159700
95,202,160350,6212,160350
95,202,161160,6212,161160
95,202,161750,6212,161750
96,204,162560,6212,162560
96,204,163560,6212,163560
96,204,163560,6212,163560
97,206,164560,6212,164560
97,206,165370,6212,165370
97,206,165370,6212,165370
98,208,166020,6212,166020
98,208,166250,6212,166250
98,208,166480,6212,166480
98,208,166800,6212,166800
99,210,167610,6212,167610
99,210,167610,6212,167610
99,210,168070,6212,168070
99,210,168290,6212,168290
100,212,169290,6212,169290
100,212,169450,6212,169450
100,212,170000,6212,170000
100,212,170000,6212,170000
101,214,171000,6212,171000
101,214,171810,6212,171810
102,216,172810,6212,172810
102,216,172810,6212,172810
102,216,173810,6212,173810
102,216,173810,6212,173810
102,216,174270,6212,174270
103,218,175270,6212,175270
103,218,175270,6212,175270
103,218,176270,6212,176270
104,220,177270,6212,177270
104,220,178270,6212,178270
104,220,178430,6212,178430
105,222,179430,6212,179430
105,222,179430,6212,179430
105,222,180430,6212,180430
106,224,181430,6212,181430
106,224,182430,6212,182430
107,226,182890,6212,182890
107,226,182890,6212,182890
107,226,183890,6212,183890
108,228,184700,6212,184700
108,228,185700,6212,185700
109,230,186350,6212,186350
109,230,186350,6212,186350
109,230,186900,6212,186900
110,232,187710,6212,187710
110,232,188710,6212,188710
110,232,188710,6212,188710
110,232,188710,6212,188710
110,232,188710,6212,188710
110,232,188710,6212,188710
111,240,188710,6212,188710
112,242,189710,6212,189710
112,242,190710,6212,190710
112,242,190820,6212,190820
112,242,190820,6212,190820
112,242,190820,6212,190820
112,242,190820,6212,190820
112,242,191290,6212,191290
113,244,192290,6212,192290
113,244,193290,6212,193290
114,246,194100,6212,194100
114,246,194420,6212,194420
114,246,195420,6212,195420
115,248,196230,6212,196230
115,248,197230,6212,197230
116,250,197700,6212,197700
116,250,198700,6212,198700
117,252,199700,6212,199700
117,252,199700,6212,199700
117,252,200700,6212,200700
118,254,201510,6212,201510
118,254,201980,6212,201980
119,256,202980,6212,202980
119,256,203980,6212,203980
119,256,203980,6212,203980
120,258,204570,6212,204570
120,258,204570,6212,204570
120,258,205570,6212,205570
120,258,205890,6212,205890
121,260,206890,6212,206890
121,260,207890,6212,207890
122,262,208360,6212,208360
122,262,209360,6212,209360
123,264,210360,6212,210360
123,264,211360,6212,211360
124,266,212360,6212,212360
124,266,213360,6212,213360
125,268,214360,6212,214360
126,270,215360,6212,215360
126,270,216360,6212,216360
127,272,217360,6212,217360
127,272,218360,6212,218360
128,274,219170,6212,219170
128,274,220170,6212,220170
129,276,221170,6212,221170
129,276,221170,6212,221170
129,276,222170,6212,222170
130,278,223170,6212,223170
131,286,231170,6212,231170
131,286,232170,6212,232170
132,288,233170,6212,233170
133,292,233170,6212,233170
133,292,234170,6212,234170
134,294,235170,6212,235170
134,294,235980,6212,235980
135,296,236980,6212,236980
135,296,237980,6212,237980
136,298,238980,6212,238980
136,298,239450,6212,239450
136,298,239450,6212,239450
136,298,239920,6212,239920
137,300,240730,6212,240730
137,300,241730,6212,241730
138,302,242730,6212,242730
138,302,243730,6212,243730
139,304,244730,6212,244730
139,304,245200,6212,245200
139,304,245200,6212,245200
139,304,245670,6212,245670
140,306,246670,6212,246670
140,306,247670,6212,247670
140,306,247670,6212,247670
141,308,248670,6212,248670
