ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1293221.52,20.82,0.32,206042.52,3.32
1293221.52,20.82,0.32,207494.96,3.34
1293344.76,20.82,0.32,207562.46,3.34
1293139.78,20.82,0.32,207753.56,3.35
1292931.57,20.82,0.32,207557.56,3.34
1292726.59,20.82,0.32,207559.15,3.34
1292521.62,20.82,0.32,207500.16,3.34
1292316.64,20.82,0.32,207503.56,3.34
1292111.67,20.82,0.32,207478.94,3.34
1292012.93,20.82,0.32,207417.58,3.34
1292095.99,20.82,0.32,207393.97,3.34
1291457.26,20.82,0.32,206648.56,3.33
1291358.52,20.82,0.32,206443.16,3.33
1290908.57,20.81,0.31,205886.54,3.32
1290269.83,20.8,0.31,205141.14,3.31
1290064.86,20.8,0.31,205250.84,3.31
1289966.13,20.8,0.31,205045.44,3.31
1289857.39,20.8,0.31,204830.04,3.3
1289652.42,20.8,0.31,204832.88,3.3
1289447.44,20.8,0.31,204883.46,3.31
1289447.44,20.8,0.31,204883.46,3.31
1289539.87,20.81,0.31,204869.22,3.31
1289539.87,20.81,0.31,204869.22,3.31
1289334.89,20.81,0.31,205295.6,3.31
1289129.92,20.81,0.31,205299.0,3.31
1288924.94,20.81,0.31,205296.12,3.31
1288719.97,20.81,0.31,205471.68,3.32
1288270.01,20.8,0.3,204915.06,3.31
1287820.06,20.8,0.3,204358.44,3.3
1287615.08,20.8,0.3,204231.05,3.3
1286976.35,20.79,0.29,203629.69,3.29
1286771.37,20.79,0.29,203556.63,3.29
1286566.4,20.79,0.29,203534.01,3.29
1286566.4,20.79,0.29,203534.01,3.29
1286116.44,20.79,0.29,202977.38,3.28
1286116.44,20.79,0.29,202977.38,3.28
1286116.44,20.79,0.29,202977.38,3.28
1285477.71,20.78,0.28,202231.98,3.27
1285378.98,20.78,0.28,202026.58,3.27
1284740.24,20.77,0.27,201281.17,3.25
1283100.44,20.77,0.27,201256.8,3.26
1282895.46,20.77,0.27,201255.05,3.26
1282690.49,20.77,0.27,201368.28,3.26
1282240.53,20.77,0.27,200811.65,3.25
1282035.56,20.77,0.27,200943.48,3.26
1281830.58,20.77,0.27,200886.08,3.25
1281625.61,20.77,0.27,200806.01,3.25
1281624.3,20.77,0.27,200698.03,3.25
1281419.32,20.77,0.27,200698.03,3.25
1281214.34,20.77,0.27,200640.63,3.25
1281009.37,20.77,0.27,200640.63,3.25
1281152.6,20.77,0.28,201749.72,3.27
