name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0621,,G2,96,8,412316860416,20000,8,388,412316860416,50,1000,190,3800,0,0,0,0,680,13600,1000,20000,1000,20000,1000,20000,3920,78400
0001-openb-node-0299,,T4,104,2,549755813888,15109,8,492,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0002-openb-node-0755,,T4,104,2,549755813888,15109,6,100,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0244,,G2,96,8,412316860416,20000,10,938,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,80,1600,0,0,80,1600
0004-openb-node-0246,,G2,96,8,412316860416,20000,9,3140,412316860416,0,0,0,0,0,0,0,0,0,0,130,2600,190,3800,0,0,320,6400
0005-openb-node-0322,,G2,96,8,412316860416,20000,11,5788,412316860416,0,0,0,0,0,0,0,0,0,0,40,800,30,600,0,0,70,1400
0006-openb-node-0135,,T4,104,2,549755813888,15109,6,6092,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0007-openb-node-0330,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-0898,,P100,16,2,128849018880,16280,2,2000,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0009-openb-node-0614,,T4,104,2,549755813888,15109,6,4992,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010-openb-node-0405,,G2,96,8,412316860416,20000,8,3192,412316860416,0,0,0,0,0,0,0,0,0,0,70,1400,0,0,0,0,70,1400
0011-openb-node-0404,,T4,104,2,549755813888,15109,6,2000,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012-openb-node-0691,,T4,104,2,549755813888,15109,7,884,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0013-openb-node-0588,,T4,104,2,549755813888,15109,7,1292,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
