ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7be2-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7be2-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7be2-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7be2-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7be2-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1607480.51,25.88,0.31,205853.2,3.31
1607224.78,25.88,0.31,205845.8,3.31
1606969.04,25.88,0.31,205840.92,3.31
1606969.04,25.88,0.31,205797.15,3.31
1606713.3,25.88,0.31,205753.38,3.31
1606457.56,25.88,0.31,205709.61,3.31
1606201.82,25.88,0.31,205704.74,3.31
1605946.08,25.88,0.31,205699.92,3.31
1605946.08,25.88,0.31,205695.4,3.31
1605690.34,25.88,0.31,205690.23,3.32
1605976.69,25.89,0.31,205761.85,3.32
1606166.15,25.89,0.32,205847.78,3.32
1606364.0,25.9,0.32,205840.38,3.32
1606364.0,25.9,0.32,205796.61,3.32
1606119.18,25.9,0.32,205021.78,3.31
1605863.44,25.9,0.32,205079.14,3.31
1606031.04,25.9,0.33,204727.79,3.3
1605775.3,25.9,0.33,204735.71,3.3
1605775.3,25.9,0.33,204731.2,3.3
1605775.3,25.9,0.33,204726.69,3.3
1606038.43,25.91,0.33,204719.29,3.3
1606227.88,25.91,0.34,204714.61,3.3
1605972.14,25.91,0.34,204728.2,3.3
1605716.4,25.91,0.34,204723.33,3.3
1605994.78,25.92,0.35,204893.42,3.31
1605739.04,25.92,0.35,204830.69,3.31
1605483.3,25.92,0.35,204786.92,3.31
1605227.57,25.92,0.35,204779.52,3.31
1604971.83,25.92,0.35,204735.75,3.31
1604971.83,25.92,0.35,204772.86,3.31
1605287.73,25.93,0.35,204765.46,3.31
1605287.73,25.93,0.35,204721.69,3.31
1605031.99,25.93,0.35,204716.82,3.31
1604776.25,25.93,0.35,204711.99,3.31
1604776.25,25.93,0.35,204668.22,3.31
1604904.56,25.93,0.36,204660.83,3.31
1604904.56,25.93,0.36,204851.13,3.31
1604837.68,25.93,0.36,204846.01,3.31
1605027.13,25.94,0.36,204912.18,3.31
1605027.13,25.94,0.36,204904.92,3.31
1605155.44,25.94,0.37,204897.52,3.31
1605088.56,25.94,0.37,204892.4,3.31
1605088.56,25.94,0.37,204928.47,3.31
1604832.82,25.94,0.37,204923.64,3.31
1604577.08,25.94,0.37,204916.24,3.31
1604510.2,25.95,0.37,205005.37,3.32
1604510.2,25.95,0.37,205005.37,3.32
1604254.46,25.95,0.37,204997.97,3.32
1603998.72,25.95,0.37,204993.1,3.32
1604188.17,25.95,0.38,204988.41,3.32
1604377.62,25.96,0.38,205074.34,3.32
1604377.62,25.96,0.38,205035.94,3.32
1604310.74,25.96,0.39,205033.42,3.32
1604508.59,25.96,0.39,205039.41,3.32
1604252.85,25.96,0.39,205037.81,3.32
1603997.11,25.96,0.39,205032.63,3.32
1603741.38,25.96,0.39,205032.78,3.32
1603485.64,25.96,0.39,205027.6,3.32
1603229.9,25.96,0.39,205020.21,3.32
1602974.16,25.96,0.39,205033.8,3.32
1603128.72,25.97,0.4,204719.63,3.32
1603415.07,25.98,0.4,204719.93,3.32
1603159.33,25.98,0.4,204712.53,3.32
1603313.89,25.98,0.41,204398.36,3.31
1603313.89,25.98,0.41,204475.54,3.31
1603592.27,25.99,0.42,204478.01,3.31
1603336.53,25.99,0.42,204470.61,3.31
1603336.53,25.99,0.42,204466.14,3.31
1603410.39,25.99,0.42,204487.82,3.32
