ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,2,470,6212,470
2,4,1470,6212,1470
3,6,2470,6212,2470
4,8,2470,6212,2470
5,10,3470,6212,3470
6,14,4470,6212,4470
7,16,5470,6212,5470
8,18,6470,6212,6470
9,20,6470,6212,6470
9,20,7470,6212,7470
9,20,7790,6212,7790
10,22,8260,6212,8260
11,23,8720,6212,8720
12,27,8720,6212,8720
12,27,9720,6212,9720
13,29,10720,6212,10720
13,29,11720,6212,11720
14,31,12720,6212,12720
15,33,12720,6212,12720
16,35,12720,6212,12720
16,35,13090,6212,13090
17,36,13560,6212,13560
18,38,14560,6212,14560
19,40,15560,6212,15560
19,40,15890,6212,15890
20,42,16890,6212,16890
21,43,17890,6212,17890
22,45,18890,6212,18890
23,47,19890,6212,19890
23,47,19890,6212,19890
23,47,20050,6212,20050
24,48,20050,6212,20050
25,50,21050,6212,21050
26,52,22050,6212,22050
27,54,22050,6212,22050
27,54,22640,6212,22640
28,58,22640,6212,22640
28,58,23450,6212,23450
29,60,23920,6212,23920
30,64,23920,6212,23920
30,64,24510,6212,24510
30,64,25320,6212,25320
30,64,25320,6212,25320
31,66,26320,6212,26320
32,70,27320,6212,27320
32,70,28130,6212,28130
33,74,28130,6212,28130
34,75,29130,6212,29130
34,75,30130,6212,30130
35,77,30600,6212,30600
36,79,31070,6212,31070
37,83,31070,6212,31070
37,83,31880,6212,31880
38,84,32340,6212,32340
38,84,33340,6212,33340
38,84,34340,6212,34340
39,85,35340,6212,35340
39,85,36340,6212,36340
40,87,37340,6212,37340
41,89,38340,6212,38340
42,91,39340,6212,39340
42,91,39660,6212,39660
43,95,40660,6212,40660
44,97,41660,6212,41660
45,101,41660,6212,41660
45,101,41990,6212,41990
46,102,42990,6212,42990
46,102,42990,6212,42990
47,104,43640,6212,43640
48,106,43640,6212,43640
49,108,44640,6212,44640
49,108,44640,6212,44640
50,110,45640,6212,45640
50,110,45640,6212,45640
51,112,46640,6212,46640
51,112,47450,6212,47450
52,114,47450,6212,47450
52,114,48450,6212,48450
53,116,49450,6212,49450
54,117,50450,6212,50450
55,119,51450,6212,51450
56,121,51920,6212,51920
57,125,52920,6212,52920
58,127,52920,6212,52920
58,127,53240,6212,53240
59,129,53890,6212,53890
59,129,54890,6212,54890
60,133,54890,6212,54890
60,133,54890,6212,54890
60,133,54890,6212,54890
61,135,55890,6212,55890
61,135,56890,6212,56890
62,136,56890,6212,56890
63,138,57890,6212,57890
64,142,58890,6212,58890
65,144,59210,6212,59210
66,146,59860,6212,59860
67,148,60860,6212,60860
