name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0867,,V100M32,96,8,824633720832,32510,3,7300,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001-openb-node-0402,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002-openb-node-0366,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0853,,G2,96,8,412316860416,20000,4,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-0938,,V100M16,32,4,137438953472,16160,3,648,137438953472,0,0,680,10988,190,3070,1000,16160,0,0,0,0,0,0,0,0,1870,30218
0005-openb-node-1075,,T4,104,2,549755813888,15109,5,1300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0006-openb-node-0869,,P100,16,2,128849018880,16280,2,92,128849018880,200,3256,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1200,19536
0007-openb-node-0837,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-1111,,P100,16,2,128849018880,16280,1,0,128849018880,0,0,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1000,16280
0009-openb-node-0876,,T4,104,2,549755813888,15109,10,140,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0010-openb-node-0031,,G2,96,8,412316860416,20000,4,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011-openb-node-1000,,G2,96,8,412316860416,20000,4,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012-openb-node-0679,,G3,128,8,824633720832,30000,16,334,824633720832,210,6300,0,0,0,0,0,0,20,600,0,0,50,1500,0,0,280,8400
0013-openb-node-0787,,T4,104,2,549755813888,15109,8,3148,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0014-openb-node-0032,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0966,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016-openb-node-0929,,T4,104,2,549755813888,15109,6,1440,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0017-openb-node-0522,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018-openb-node-0660,,G2,96,8,412316860416,20000,6,2288,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,190,3800,380,7600
0019-openb-node-0722,,T4,104,2,549755813888,15109,6,1292,549755813888,0,0,10,151,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0020-openb-node-0302,,T4,104,2,549755813888,15109,6,2800,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021-openb-node-0102,,G2,96,8,412316860416,20000,9,2640,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,90,1800,0,0,90,1800
0022-openb-node-0817,,G2,96,8,412316860416,20000,9,696,412316860416,0,0,0,0,210,4200,0,0,190,3800,1000,20000,1000,20000,1000,20000,3400,68000
0023-openb-node-0205,,T4,104,2,549755813888,15109,6,348,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0024-openb-node-1198,,T4,104,2,549755813888,15109,8,1282,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0025-openb-node-0273,,G2,96,8,412316860416,20000,12,1236,412316860416,0,0,0,0,0,0,210,4200,80,1600,0,0,190,3800,190,3800,670,13400
0026-openb-node-0873,,T4,104,2,549755813888,15109,7,1038,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0027-openb-node-0534,,T4,104,2,549755813888,15109,8,800,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0028-openb-node-0549,,G2,96,8,412316860416,20000,9,1130,412316860416,0,0,0,0,0,0,0,0,190,3800,0,0,0,0,0,0,190,3800
0029-openb-node-1078,,V100M32,96,8,824633720832,32510,12,1440,824633720832,60,1950,0,0,0,0,0,0,0,0,0,0,0,0,190,6176,250,8126
0030-openb-node-1116,,T4,104,2,549755813888,15109,6,7590,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0031-openb-node-0932,,P100,16,2,128849018880,16280,2,348,128849018880,410,6674,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1410,22954
0032-openb-node-0169,,G3,128,8,824633720832,30000,13,972,824633720832,0,0,0,0,0,0,80,2400,190,5700,60,1800,0,0,70,2100,400,12000
0033-openb-node-1007,,G2,96,8,412316860416,20000,9,2584,412316860416,310,6200,0,0,0,0,0,0,0,0,0,0,360,7200,1000,20000,1670,33400
0034-openb-node-0410,,P100,16,2,128849018880,16280,2,800,128849018880,0,0,680,11070,0,0,0,0,0,0,0,0,0,0,0,0,680,11070
0035-openb-node-0259,,G2,96,8,412316860416,20000,9,576,412316860416,0,0,0,0,0,0,210,4200,0,0,0,0,0,0,1000,20000,1210,24200
0036-openb-node-0120,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0037-openb-node-1097,,T4,104,2,549755813888,15109,6,6490,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0038-openb-node-0088,,G2,96,8,412316860416,20000,10,288,412316860416,0,0,60,1200,30,600,0,0,190,3800,0,0,1000,20000,1000,20000,2280,45600
0039-openb-node-0217,,G2,96,8,412316860416,20000,11,280,412316860416,0,0,0,0,0,0,60,1200,0,0,130,2600,190,3800,190,3800,570,11400
0040-openb-node-0578,,P100,16,2,128849018880,16280,2,700,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0041-openb-node-0979,,G2,96,8,412316860416,20000,11,1036,412316860416,210,4200,0,0,0,0,0,0,0,0,0,0,80,1600,190,3800,480,9600
0042-openb-node-1104,,G2,96,8,412316860416,20000,11,7336,412316860416,0,0,300,6000,0,0,0,0,190,3800,190,3800,190,3800,680,13600,1550,31000
0043-openb-node-0503,,P100,16,2,128849018880,16280,2,448,128849018880,0,0,630,10256,0,0,0,0,0,0,0,0,0,0,0,0,630,10256
0044-openb-node-0007,,P100,64,2,274877906944,16280,3,3692,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0045-openb-node-0657,,G2,96,8,412316860416,20000,11,940,412316860416,0,0,0,0,0,0,190,3800,190,3800,190,3800,210,4200,190,3800,970,19400
0046-openb-node-1055,,P100,16,2,128849018880,16280,2,348,128849018880,410,6674,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1410,22954
0047-openb-node-0112,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0048-openb-node-0290,,G2,96,8,412316860416,20000,10,940,412316860416,190,3800,0,0,0,0,0,0,0,0,0,0,210,4200,0,0,400,8000
0049-openb-node-0587,,G2,96,8,412316860416,20000,9,932,412316860416,190,3800,0,0,0,0,0,0,0,0,0,0,350,7000,160,3200,700,14000
0050-openb-node-0957,,G2,96,8,412316860416,20000,10,984,412316860416,0,0,0,0,0,0,90,1800,0,0,190,3800,190,3800,1000,20000,1470,29400
0051-openb-node-0935,,G2,96,8,412316860416,20000,10,1932,412316860416,0,0,10,200,0,0,0,0,0,0,0,0,0,0,0,0,10,200
0052-openb-node-0644,,T4,104,2,549755813888,15109,9,2292,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053-openb-node-0184,,T4,104,2,549755813888,15109,7,948,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0054-openb-node-0871,,T4,104,2,549755813888,15109,9,1300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0055-openb-node-0351,,G2,96,8,412316860416,20000,9,2530,412316860416,0,0,0,0,0,0,210,4200,0,0,0,0,0,0,0,0,210,4200
0056-openb-node-0140,,G2,96,8,412316860416,20000,9,386,412316860416,0,0,210,4200,0,0,0,0,190,3800,0,0,0,0,1000,20000,1400,28000
0057-openb-node-0473,,G2,96,8,412316860416,20000,12,1584,412316860416,60,1200,0,0,0,0,0,0,0,0,0,0,0,0,30,600,90,1800
0058-openb-node-0375,,T4,104,2,549755813888,15109,5,3692,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0059-openb-node-0304,,G2,96,8,412316860416,20000,8,248,412316860416,0,0,190,3800,0,0,0,0,360,7200,1000,20000,1000,20000,1000,20000,3550,71000
0060-openb-node-0464,,G2,96,8,412316860416,20000,6,2940,412316860416,0,0,0,0,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,5000,100000
0061-openb-node-0134,,T4,104,2,549755813888,15109,7,1992,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0062-openb-node-0786,,V100M32,48,4,395136991232,32510,3,92,395136991232,480,15604,1000,32510,1000,32510,1000,32510,0,0,0,0,0,0,0,0,3480,113134
0063-openb-node-0624,,G2,96,8,412316860416,20000,12,4044,412316860416,0,0,0,0,40,800,0,0,190,3800,0,0,0,0,0,0,230,4600
0064-openb-node-0017,,P100,64,2,274877906944,16280,4,648,274877906944,0,0,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,80,1302
0065-openb-node-0630,,P100,16,2,128849018880,16280,2,92,128849018880,370,6023,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1370,22303
0066-openb-node-0719,,T4,104,2,549755813888,15109,8,100,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0067-openb-node-0069,,T4,104,2,549755813888,15109,7,1000,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0068-openb-node-0253,,T4,104,2,549755813888,15109,5,3490,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0069-openb-node-0294,,G3,128,8,824633720832,30000,14,818,824633720832,90,2700,190,5700,0,0,60,1800,0,0,0,0,130,3900,0,0,470,14100
0070-openb-node-0148,,G2,96,8,412316860416,20000,10,2870,412316860416,0,0,190,3800,0,0,0,0,0,0,90,1800,0,0,0,0,280,5600
0071-openb-node-0658,,G2,96,8,412316860416,20000,10,988,412316860416,0,0,60,1200,0,0,0,0,0,0,0,0,680,13600,1000,20000,1740,34800
0072-openb-node-0639,,T4,104,2,549755813888,15109,7,600,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0073-openb-node-1046,,T4,104,2,549755813888,15109,5,1300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0074-openb-node-0061,,G2,96,8,412316860416,20000,9,536,412316860416,0,0,0,0,530,10600,0,0,190,3800,0,0,0,0,190,3800,910,18200
0075-openb-node-0651,,T4,104,2,549755813888,15109,6,3300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0076-openb-node-0845,,V100M16,64,8,274877906944,16160,1,0,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0077-openb-node-0068,,T4,104,2,549755813888,15109,8,4048,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0078-openb-node-0581,,G3,128,8,824633720832,30000,11,188,824633720832,0,0,0,0,60,1800,0,0,0,0,0,0,0,0,0,0,60,1800
0079-openb-node-0632,,G2,96,8,412316860416,20000,6,792,412316860416,0,0,530,10600,0,0,0,0,1000,20000,1000,20000,1000,20000,1000,20000,4530,90600
0080-openb-node-0036,,T4,104,2,549755813888,15109,10,40,549755813888,30,453,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0081-openb-node-1168,,V100M16,8,1,34359738368,16160,2,1000,34359738368,220,3555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,3555
0082-openb-node-0124,,T4,104,2,549755813888,15109,8,2940,549755813888,80,1208,60,906,0,0,0,0,0,0,0,0,0,0,0,0,140,2114
0083-openb-node-1131,,G3,128,8,824633720832,30000,11,80,824633720832,0,0,350,10500,190,5700,60,1800,0,0,0,0,0,0,0,0,600,18000
0084-openb-node-1082,,T4,104,2,549755813888,15109,7,3200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0085-openb-node-0226,,V100M16,32,4,137438953472,16160,1,0,137438953472,1000,16160,1000,16160,1000,16160,1000,16160,0,0,0,0,0,0,0,0,4000,64640
0086-openb-node-0118,,P100,16,2,128849018880,16280,2,1448,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0087-openb-node-0816,,G2,96,8,412316860416,20000,10,480,412316860416,0,0,0,0,540,10800,0,0,0,0,0,0,0,0,0,0,540,10800
0088-openb-node-0646,,T4,104,2,549755813888,15109,8,2590,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0089-openb-node-0299,,T4,104,2,549755813888,15109,8,1892,549755813888,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0090-openb-node-0255,,T4,104,2,549755813888,15109,8,2200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0091-openb-node-0830,,G2,96,8,412316860416,20000,10,276,412316860416,0,0,210,4200,0,0,350,7000,190,3800,190,3800,190,3800,190,3800,1320,26400
0092-openb-node-0859,,G3,128,8,824633720832,30000,17,2540,824633720832,130,3900,0,0,0,0,30,900,190,5700,190,5700,0,0,0,0,540,16200
0093-openb-node-0559,,G2,96,8,412316860416,20000,12,2440,412316860416,190,3800,190,3800,190,3800,70,1400,0,0,190,3800,0,0,0,0,830,16600
0094-openb-node-0419,,T4,104,2,549755813888,15109,7,1448,549755813888,60,906,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,140,2114
0095-openb-node-0523,,T4,104,2,549755813888,15109,6,448,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0096-openb-node-1149,,G2,96,8,412316860416,20000,11,296,412316860416,220,4400,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,1220,24400
0097-openb-node-0275,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0098-openb-node-0699,,T4,104,2,549755813888,15109,9,1292,549755813888,0,0,10,151,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0099-openb-node-0160,,G2,96,8,412316860416,20000,9,2422,412316860416,0,0,0,0,210,4200,0,0,0,0,0,0,190,3800,0,0,400,8000
0100-openb-node-0165,,T4,104,2,549755813888,15109,6,6490,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101-openb-node-0127,,T4,104,2,549755813888,15109,5,1200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102-openb-node-0498,,G2,96,8,412316860416,20000,11,2524,412316860416,0,0,0,0,0,0,0,0,0,0,80,1600,0,0,30,600,110,2200
