ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,1,470,6212,470
2,2,1470,6212,1470
3,4,2470,6212,2470
4,12,2470,6212,2470
4,12,3470,6212,3470
5,14,4470,6212,4470
5,14,5470,6212,5470
6,16,6470,6212,6470
6,16,6470,6212,6470
6,16,7470,6212,7470
6,16,7790,6212,7790
7,18,8260,6212,8260
8,19,8720,6212,8720
8,19,8720,6212,8720
8,19,9720,6212,9720
9,21,10720,6212,10720
9,21,11720,6212,11720
10,23,12720,6212,12720
10,23,12720,6212,12720
10,23,12720,6212,12720
10,23,13090,6212,13090
11,24,13560,6212,13560
12,26,14560,6212,14560
12,26,15560,6212,15560
13,27,15890,6212,15890
14,29,16890,6212,16890
14,29,17890,6212,17890
15,31,18890,6212,18890
15,31,19890,6212,19890
16,39,19890,6212,19890
16,39,20050,6212,20050
16,39,20050,6212,20050
17,41,21050,6212,21050
17,41,22050,6212,22050
17,41,22050,6212,22050
17,41,22640,6212,22640
17,41,22640,6212,22640
18,42,23450,6212,23450
19,44,23920,6212,23920
19,44,23920,6212,23920
19,44,24510,6212,24510
20,45,25320,6212,25320
21,53,25320,6212,25320
22,55,26320,6212,26320
22,55,27320,6212,27320
23,56,28130,6212,28130
23,56,28130,6212,28130
24,57,29130,6212,29130
25,59,30130,6212,30130
25,59,30600,6212,30600
25,59,31070,6212,31070
25,59,31070,6212,31070
26,60,31880,6212,31880
26,60,32340,6212,32340
27,61,33340,6212,33340
28,62,34340,6212,34340
29,63,35340,6212,35340
30,64,36340,6212,36340
31,66,37340,6212,37340
31,66,38340,6212,38340
32,68,39340,6212,39340
32,68,39660,6212,39660
33,70,40660,6212,40660
33,70,41660,6212,41660
33,70,41660,6212,41660
33,70,41990,6212,41990
34,71,42990,6212,42990
34,71,42990,6212,42990
35,73,43640,6212,43640
35,73,43640,6212,43640
36,75,44640,6212,44640
37,83,44640,6212,44640
38,85,45640,6212,45640
38,85,45640,6212,45640
39,87,46640,6212,46640
39,87,47450,6212,47450
39,87,47450,6212,47450
39,87,48450,6212,48450
39,87,49450,6212,49450
40,88,50450,6212,50450
41,90,51450,6212,51450
42,92,51920,6212,51920
42,92,52920,6212,52920
42,92,52920,6212,52920
42,92,53240,6212,53240
43,94,53890,6212,53890
43,94,54890,6212,54890
43,94,54890,6212,54890
43,94,54890,6212,54890
44,98,54890,6212,54890
44,98,55890,6212,55890
44,98,56890,6212,56890
44,98,56890,6212,56890
45,100,57890,6212,57890
45,100,58890,6212,58890
45,100,59210,6212,59210
46,102,59860,6212,59860
46,102,60860,6212,60860
47,104,61860,6212,61860
47,104,62410,6212,62410
47,104,62410,6212,62410
47,104,62570,6212,62570
47,104,62620,6212,62620
48,106,63090,6212,63090
48,106,64090,6212,64090
49,108,65090,6212,65090
50,110,66090,6212,66090
50,110,66310,6212,66310
50,110,66960,6212,66960
50,110,67430,6212,67430
51,112,68080,6212,68080
51,112,69080,6212,69080
51,112,69080,6212,69080
51,112,69080,6212,69080
52,113,69550,6212,69550
52,113,69550,6212,69550
52,113,69550,6212,69550
53,115,70550,6212,70550
53,115,71360,6212,71360
53,115,72170,6212,72170
54,117,73170,6212,73170
54,117,73820,6212,73820
54,117,74050,6212,74050
54,117,74050,6212,74050
55,125,74050,6212,74050
55,125,74050,6212,74050
55,125,74050,6212,74050
56,127,75050,6212,75050
56,127,75280,6212,75280
56,127,76280,6212,76280
56,127,76280,6212,76280
57,129,77280,6212,77280
57,129,77750,6212,77750
58,131,78750,6212,78750
58,131,79750,6212,79750
58,131,80220,6212,80220
58,131,80220,6212,80220
59,133,81220,6212,81220
59,133,81220,6212,81220
59,133,81540,6212,81540
59,133,82350,6212,82350
60,134,83350,6212,83350
60,134,83350,6212,83350
61,136,84350,6212,84350
61,136,85350,6212,85350
62,138,86350,6212,86350
62,138,86350,6212,86350
62,138,87350,6212,87350
63,140,87820,6212,87820
64,148,87820,6212,87820
64,148,87820,6212,87820
