ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1607480.51,25.88,0.31,206023.16,3.32
1607224.78,25.88,0.31,205979.48,3.32
1606969.04,25.88,0.31,205979.48,3.32
1606969.04,25.88,0.31,206995.83,3.33
1606713.3,25.88,0.31,206645.51,3.33
1606457.56,25.88,0.31,206638.11,3.33
1606201.82,25.88,0.31,206638.11,3.33
1605946.08,25.88,0.31,207265.39,3.34
1605946.08,25.88,0.31,207388.72,3.34
1605284.28,25.87,0.3,206626.85,3.33
1605047.83,25.87,0.3,206247.92,3.32
1605237.28,25.88,0.3,206033.05,3.32
1605013.19,25.87,0.3,208431.72,3.36
1605013.19,25.87,0.3,208508.9,3.36
1604351.39,25.87,0.29,207747.04,3.35
1604095.65,25.87,0.29,208843.35,3.37
1603839.91,25.87,0.29,208278.02,3.36
1603584.17,25.87,0.29,208003.44,3.36
1603584.17,25.87,0.29,207998.93,3.36
1603584.17,25.87,0.29,207996.04,3.36
1603547.11,25.87,0.29,207858.91,3.35
1603415.31,25.87,0.29,207627.04,3.35
1603159.57,25.87,0.29,207627.04,3.35
1602903.83,25.87,0.29,208489.76,3.36
1602872.76,25.87,0.3,208378.87,3.36
1602617.02,25.87,0.3,208196.79,3.36
1601955.22,25.86,0.29,207434.92,3.35
1601699.48,25.86,0.29,207391.15,3.35
1601443.74,25.86,0.29,207391.15,3.35
1601443.74,25.86,0.29,207391.15,3.35
1601322.45,25.86,0.29,209697.13,3.39
1601322.45,25.86,0.29,209612.44,3.39
1601066.71,25.86,0.29,209607.57,3.39
1600810.97,25.86,0.29,209605.04,3.39
1600810.97,25.86,0.29,209605.04,3.39
1600226.23,25.85,0.28,209020.31,3.38
1600226.23,25.85,0.28,209020.31,3.38
1599753.29,25.85,0.28,208592.49,3.37
1599970.82,25.86,0.28,208763.91,3.37
1599970.82,25.86,0.28,209255.2,3.38
1599420.09,25.85,0.28,208684.21,3.37
1598947.15,25.84,0.27,208111.2,3.36
1598947.15,25.84,0.27,208725.84,3.37
1598691.41,25.85,0.27,208636.89,3.37
1598435.67,25.85,0.27,208593.12,3.37
1597962.73,25.84,0.27,208020.11,3.36
1597962.73,25.84,0.27,208126.55,3.37
1597300.93,25.83,0.26,207364.68,3.35
1597045.19,25.83,0.26,207258.24,3.35
1597272.08,25.84,0.27,206899.97,3.35
