name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,6,348,412316860416,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7190,143800
0001-openb-node-0858,,G2,96,8,412316860416,20000,6,3100,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0002-openb-node-0619,,G2,96,8,412316860416,20000,6,1500,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0003-openb-node-0582,,G2,96,8,412316860416,20000,6,200,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0004-openb-node-0882,,T4,104,2,549755813888,15109,9,3548,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0005-openb-node-1135,,G2,96,8,412316860416,20000,7,448,412316860416,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7190,143800
0006-openb-node-0431,,P100,16,2,128849018880,16280,2,940,128849018880,350,5698,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
0007-openb-node-1096,,T4,104,2,549755813888,15109,8,192,549755813888,0,0,20,302,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0008-openb-node-1052,,P100,16,2,128849018880,16280,3,800,128849018880,0,0,220,3581,0,0,0,0,0,0,0,0,0,0,0,0,220,3581
0009-openb-node-0985,,P100,16,2,128849018880,16280,3,448,128849018880,0,0,50,814,0,0,0,0,0,0,0,0,0,0,0,0,50,814
0010-openb-node-1151,,T4,104,2,549755813888,15109,8,1440,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0011-openb-node-1171,,G2,96,8,412316860416,20000,6,848,412316860416,450,9000,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6450,129000
0012-openb-node-0016,,P100,64,2,274877906944,16280,6,1448,274877906944,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0013-openb-node-0003,,P100,64,2,274877906944,16280,5,1200,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0014-openb-node-0877,,T4,104,2,549755813888,15109,5,4900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0256,,V100M32,96,8,824633720832,32510,7,0,824633720832,540,17555,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,7540,245125
0016-openb-node-0382,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017-openb-node-0280,,G2,96,8,412316860416,20000,4,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018-openb-node-0080,,G2,96,8,412316860416,20000,6,200,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0019-openb-node-0320,,G3,128,8,824633720832,30000,5,1200,824633720832,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,8000,240000
