ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
866232.55,13.94,0.35,181459.74,2.92
865816.03,13.94,0.34,180928.13,2.91
865680.05,13.94,0.34,180926.64,2.91
865544.07,13.94,0.34,180978.07,2.91
865408.1,13.94,0.34,180972.11,2.92
864991.57,13.93,0.34,180579.41,2.91
864916.37,13.93,0.34,180389.12,2.91
865106.82,13.94,0.34,180343.66,2.91
864690.3,13.93,0.34,179812.05,2.9
864483.87,13.93,0.33,180504.97,2.91
864067.35,13.93,0.33,179973.37,2.9
863931.37,13.93,0.33,179876.79,2.9
864227.39,13.93,0.33,179876.34,2.9
863865.39,13.93,0.33,179876.34,2.9
863865.39,13.93,0.33,179876.34,2.9
863729.42,13.93,0.33,179953.57,2.9
863664.21,13.93,0.33,179773.29,2.9
863599.01,13.93,0.33,179593.0,2.9
862993.81,13.92,0.32,178872.72,2.89
862857.83,13.92,0.32,178861.05,2.89
862857.83,13.92,0.32,178868.03,2.89
863153.85,13.93,0.33,178827.97,2.89
863153.85,13.93,0.33,178912.27,2.89
862737.33,13.92,0.32,178380.66,2.88
862648.27,13.92,0.32,179358.41,2.89
862648.27,13.92,0.32,179357.96,2.89
862043.07,13.91,0.31,178637.68,2.88
861939.54,13.91,0.32,178699.76,2.88
861523.02,13.91,0.31,178168.16,2.88
861387.04,13.91,0.31,178168.16,2.88
861296.77,13.91,0.31,179014.53,2.89
861160.79,13.91,0.31,179098.72,2.89
861160.79,13.91,0.31,179092.61,2.89
861085.59,13.91,0.31,178902.32,2.89
860949.61,13.91,0.31,178884.17,2.89
860813.63,13.91,0.31,178973.62,2.89
860677.66,13.91,0.31,178963.72,2.89
860541.68,13.91,0.31,178894.31,2.89
860405.7,13.91,0.31,178893.86,2.89
860701.72,13.91,0.32,178893.86,2.89
860701.72,13.91,0.32,178893.86,2.89
860565.75,13.91,0.32,179113.67,2.9
860565.75,13.91,0.32,179113.67,2.9
860429.77,13.91,0.32,179068.24,2.9
860206.31,13.91,0.31,178893.86,2.89
860070.33,13.91,0.31,180095.6,2.91
860070.33,13.91,0.31,180095.6,2.91
860145.13,13.91,0.31,180055.32,2.91
859539.93,13.9,0.31,179335.03,2.9
859123.4,13.9,0.3,178942.33,2.9
859123.4,13.9,0.3,178942.33,2.9
859142.12,13.9,0.3,178845.97,2.89
859006.14,13.9,0.3,178852.19,2.89
858870.16,13.9,0.3,178766.66,2.89
858264.96,13.89,0.3,178046.37,2.88
858293.7,13.89,0.3,178122.92,2.88
858157.72,13.89,0.3,178100.23,2.88
858021.75,13.89,0.3,178043.61,2.88
857416.55,13.89,0.29,177323.33,2.87
857000.02,13.88,0.28,176791.72,2.86
856394.82,13.87,0.28,176071.44,2.85
855789.62,13.87,0.27,175351.16,2.84
855515.67,13.86,0.27,175053.23,2.84
855379.7,13.86,0.27,175052.78,2.84
854866.69,13.86,0.26,174263.08,2.82
854730.71,13.86,0.26,174263.08,2.83
854594.74,13.86,0.26,174263.08,2.83
854594.74,13.86,0.26,174263.08,2.83
854458.76,13.86,0.26,174443.02,2.83
854322.78,13.86,0.26,174435.56,2.83
854618.8,13.86,0.27,174366.22,2.83
854111.4,13.86,0.26,173858.82,2.82
854019.08,13.86,0.26,174438.2,2.83
853937.45,13.86,0.26,174285.68,2.83
853613.13,13.86,0.26,173632.38,2.82
853613.13,13.86,0.26,173632.38,2.82
853477.15,13.86,0.26,173633.37,2.82
853341.17,13.86,0.26,173546.03,2.82
852835.09,13.85,0.25,173092.24,2.81
852291.18,13.85,0.25,173119.04,2.81
852291.18,13.85,0.25,173119.04,2.81
852365.52,13.85,0.25,172849.95,2.81
852365.52,13.85,0.25,172849.95,2.81
852440.24,13.86,0.26,172644.19,2.81
852304.26,13.86,0.26,172616.9,2.81
852124.63,13.85,0.26,172993.58,2.81
852124.63,13.85,0.26,172993.58,2.81
852177.33,13.86,0.26,173178.59,2.82
852041.36,13.86,0.26,173119.53,2.82
851905.38,13.86,0.26,176435.41,2.87
851769.4,13.86,0.26,176356.1,2.87
851633.42,13.86,0.26,176356.1,2.87
851823.88,13.86,0.26,176336.25,2.87
851898.21,13.87,0.27,175789.42,2.86
851762.23,13.87,0.27,175782.15,2.86
851626.26,13.87,0.27,176183.17,2.87
851922.28,13.87,0.27,176481.74,2.87
851625.85,13.87,0.27,176263.56,2.87
851625.85,13.87,0.27,176263.56,2.87
851667.73,13.87,0.27,175946.25,2.87
851709.62,13.87,0.27,176306.29,2.87
852023.18,13.88,0.28,178029.84,2.9
852088.5,13.88,0.28,177606.57,2.89
852088.5,13.88,0.28,177687.82,2.89
852088.5,13.88,0.28,177687.82,2.89
851952.52,13.88,0.28,177687.37,2.9
851717.94,13.88,0.28,177365.07,2.89
851581.96,13.88,0.28,177365.07,2.89
851647.28,13.88,0.28,176941.81,2.88
851412.71,13.88,0.28,176619.5,2.88
851040.71,13.88,0.28,176228.1,2.87
850904.73,13.88,0.28,176338.32,2.88
850768.75,13.88,0.28,176302.04,2.88
850834.07,13.88,0.28,175878.78,2.87
850599.49,13.88,0.28,175556.48,2.86
850463.52,13.88,0.28,176215.65,2.88
850349.17,13.88,0.28,175860.16,2.87
850349.17,13.88,0.28,175860.16,2.87
850349.17,13.88,0.28,175860.16,2.87
850349.17,13.88,0.28,175860.16,2.87
850349.17,13.88,0.28,175860.16,2.87
850213.19,13.88,0.28,175860.3,2.87
850131.3,13.88,0.28,174351.2,2.85
849995.32,13.88,0.28,174350.62,2.85
850037.21,13.88,0.28,174030.3,2.84
850037.21,13.88,0.28,174030.3,2.84
850037.21,13.88,0.28,174030.3,2.84
849890.41,13.88,0.28,174161.67,2.84
849890.41,13.88,0.28,174161.67,2.84
849890.41,13.88,0.28,174161.67,2.84
849890.41,13.88,0.28,174161.67,2.84
850080.87,13.89,0.29,174161.67,2.84
850133.57,13.89,0.29,174236.47,2.85
850133.57,13.89,0.29,174236.47,2.85
849997.59,13.89,0.29,174230.45,2.85
849861.61,13.89,0.29,174170.38,2.85
850157.63,13.89,0.3,175104.59,2.86
850021.66,13.89,0.3,175126.49,2.86
849885.68,13.89,0.3,175126.04,2.86
849938.38,13.9,0.3,175128.1,2.86
849802.4,13.9,0.3,175129.11,2.86
849666.43,13.9,0.3,175126.08,2.86
849666.43,13.9,0.3,175126.08,2.86
849856.88,13.9,0.3,175459.47,2.87
849720.9,13.9,0.3,175365.53,2.87
849720.9,13.9,0.3,175365.53,2.87
849900.54,13.91,0.31,176193.18,2.88
849531.78,13.9,0.3,175793.52,2.88
849450.66,13.9,0.3,174816.94,2.86
849515.98,13.91,0.31,174218.37,2.85
849468.76,13.91,0.31,174729.36,2.86
849332.78,13.91,0.31,174729.36,2.86
849385.48,13.91,0.31,174657.91,2.86
849249.51,13.91,0.31,175198.62,2.87
849545.53,13.92,0.32,175198.62,2.87
849464.4,13.92,0.32,174242.74,2.85
849328.43,13.92,0.32,174243.03,2.85
849393.75,13.92,0.32,173537.93,2.84
849157.85,13.92,0.32,173801.26,2.85
848870.76,13.91,0.32,173498.96,2.84
849151.87,13.92,0.32,173498.68,2.84
849015.89,13.92,0.32,173498.68,2.84
848879.92,13.92,0.32,173797.14,2.85
848517.92,13.91,0.32,173502.19,2.85
848381.94,13.91,0.32,173498.68,2.85
848434.64,13.92,0.32,174167.68,2.86
848298.66,13.92,0.32,174167.68,2.86
848162.69,13.92,0.32,174167.68,2.86
847864.33,13.91,0.32,173882.52,2.85
847728.36,13.91,0.32,173882.52,2.85
847431.93,13.91,0.31,173571.15,2.85
847295.95,13.91,0.31,173571.15,2.85
846999.52,13.91,0.31,173427.31,2.85
846999.52,13.91,0.31,173427.31,2.85
846863.54,13.91,0.31,173427.31,2.85
846863.54,13.91,0.31,173427.31,2.85
846727.57,13.91,0.31,173509.67,2.85
846591.59,13.91,0.31,173514.24,2.85
846644.29,13.91,0.31,173590.15,2.85
846508.31,13.91,0.31,173590.28,2.85
846508.31,13.91,0.31,173482.81,2.85
846372.33,13.91,0.31,173482.22,2.85
846668.36,13.91,0.32,173482.22,2.85
846721.06,13.92,0.32,173561.99,2.85
846585.08,13.92,0.32,173484.22,2.85
846775.53,13.92,0.32,173482.22,2.85
846775.53,13.92,0.32,173506.72,2.85
846775.53,13.92,0.32,173628.18,2.85
846554.18,13.92,0.32,173404.13,2.85
846267.1,13.91,0.32,173080.76,2.85
845970.67,13.91,0.31,173811.51,2.86
846023.37,13.91,0.32,173701.51,2.86
845913.87,13.91,0.32,173871.51,2.86
845966.57,13.92,0.32,173982.59,2.86
845966.57,13.92,0.32,173970.45,2.86
845966.57,13.92,0.32,174040.04,2.86
845830.6,13.92,0.32,173950.58,2.86
845883.3,13.92,0.32,173950.13,2.86
845883.3,13.92,0.32,173979.4,2.86
845883.3,13.92,0.32,173992.88,2.86
845936.0,13.92,0.32,173992.88,2.86
845686.06,13.92,0.32,173821.01,2.86
845550.08,13.92,0.32,173821.96,2.86
845414.11,13.92,0.32,173821.01,2.86
845278.13,13.92,0.32,173821.01,2.86
845468.58,13.92,0.33,174272.15,2.87
845332.6,13.92,0.33,173828.53,2.86
845385.31,13.93,0.33,174706.85,2.88
845385.31,13.93,0.33,174699.18,2.88
845249.33,13.93,0.33,174698.73,2.88
845113.35,13.93,0.33,174698.73,2.88
844989.99,13.93,0.33,174082.87,2.87
844942.77,13.93,0.33,173947.32,2.87
845308.38,13.93,0.34,173968.47,2.87
844965.68,13.93,0.33,173956.15,2.87
844829.7,13.93,0.33,173947.32,2.87
845125.72,13.94,0.34,174414.13,2.88
844989.75,13.94,0.34,174311.83,2.87
844897.42,13.94,0.34,174193.15,2.87
844945.72,13.94,0.34,174879.38,2.88
844809.74,13.94,0.34,174878.93,2.89
844398.5,13.93,0.34,174354.02,2.88
844451.2,13.94,0.34,174354.02,2.88
844315.22,13.94,0.34,174354.02,2.88
844315.22,13.94,0.34,174376.82,2.88
844179.24,13.94,0.34,174397.44,2.88
844475.26,13.94,0.34,174384.67,2.88
844339.29,13.94,0.34,174376.82,2.88
843967.29,13.94,0.34,174711.0,2.89
844332.89,13.94,0.35,174376.82,2.88
844196.92,13.94,0.35,175145.4,2.89
844249.62,13.95,0.35,175251.11,2.9
844302.32,13.95,0.35,175384.74,2.9
843969.55,13.95,0.35,174991.81,2.89
844022.26,13.95,0.35,175102.89,2.89
844212.71,13.95,0.35,175342.7,2.9
844006.28,13.95,0.35,175074.0,2.89
844006.28,13.95,0.35,175051.2,2.89
844006.28,13.95,0.35,175101.78,2.89
844006.28,13.95,0.35,175177.22,2.9
843870.3,13.95,0.35,175090.87,2.89
843923.0,13.95,0.35,175276.12,2.9
843379.09,13.95,0.36,175297.63,2.9
843243.12,13.95,0.36,175333.33,2.9
843107.14,13.95,0.36,175218.32,2.9
842971.16,13.95,0.36,175224.01,2.9
842835.18,13.95,0.36,175196.36,2.9
842710.02,13.95,0.36,175420.68,2.9
843021.71,13.96,0.36,175642.21,2.91
842885.73,13.96,0.36,175562.9,2.91
842749.75,13.96,0.36,175562.9,2.91
843045.77,13.97,0.37,175673.09,2.91
842909.8,13.97,0.37,175843.52,2.91
842773.82,13.97,0.37,175843.08,2.91
842826.52,13.97,0.37,175843.07,2.91
842690.54,13.97,0.37,175853.16,2.91
842292.07,13.96,0.37,175467.31,2.91
842156.09,13.96,0.37,175460.59,2.91
842020.11,13.96,0.37,175457.35,2.91
841884.13,13.96,0.37,175457.22,2.91
841748.16,13.96,0.37,175784.36,2.92
841612.18,13.96,0.37,175627.16,2.91
841250.18,13.96,0.36,175337.23,2.91
841114.2,13.96,0.36,175336.78,2.91
841114.2,13.96,0.36,175281.5,2.91
840978.23,13.96,0.36,175281.5,2.91
840842.25,13.96,0.36,175281.5,2.91
840706.27,13.96,0.36,175331.99,2.91
840409.84,13.95,0.36,175099.86,2.91
840462.54,13.96,0.36,175061.92,2.91
840515.24,13.96,0.36,175053.65,2.91
840796.35,13.97,0.37,175790.92,2.92
841092.38,13.97,0.37,176174.17,2.93
841092.38,13.97,0.37,176199.78,2.93
840892.54,13.97,0.37,176089.88,2.93
840520.54,13.96,0.37,175691.62,2.92
840303.29,13.96,0.36,175513.18,2.92
840167.31,13.96,0.36,175512.73,2.92
840220.01,13.96,0.37,175512.73,2.92
840084.04,13.96,0.37,175512.73,2.92
840136.74,13.97,0.37,175522.64,2.92
840136.74,13.97,0.37,175507.33,2.92
840432.76,13.97,0.37,175497.41,2.92
840296.78,13.97,0.38,175497.41,2.92
840160.8,13.97,0.38,176184.81,2.93
840213.51,13.98,0.38,176459.14,2.94
840077.53,13.98,0.38,176458.69,2.94
839941.55,13.98,0.38,176459.85,2.94
839569.55,13.97,0.37,176061.6,2.93
839433.58,13.97,0.37,176063.23,2.93
839486.28,13.97,0.38,176060.8,2.93
839350.3,13.97,0.38,176159.5,2.93
839646.32,13.98,0.38,176120.34,2.93
839646.32,13.98,0.38,176120.56,2.93
839699.02,13.98,0.38,176060.66,2.93
839751.72,13.99,0.39,177047.86,2.95
839751.72,13.99,0.39,177119.38,2.95
839615.75,13.99,0.39,177119.51,2.95
839479.77,13.99,0.39,177118.93,2.95
839339.31,13.98,0.39,176858.9,2.95
839067.36,13.98,0.39,177192.65,2.95
839067.36,13.98,0.39,177184.7,2.95
839120.06,13.99,0.39,176850.94,2.95
839120.06,13.99,0.39,176850.94,2.95
838984.08,13.99,0.39,176857.46,2.95
838848.1,13.99,0.39,177170.51,2.95
838900.8,13.99,0.39,177214.93,2.96
838764.83,13.99,0.39,177135.62,2.95
838628.85,13.99,0.39,177135.62,2.95
838492.87,13.99,0.39,177135.62,2.96
838545.57,13.99,0.39,177135.62,2.96
838930.24,14.0,0.4,177135.62,2.96
838982.94,14.0,0.4,177135.62,2.96
838846.96,14.0,0.4,177135.62,2.96
838710.98,14.0,0.4,177377.05,2.96
838710.98,14.0,0.4,177373.59,2.96
838575.01,14.0,0.4,177544.72,2.96
838084.37,14.0,0.4,177132.16,2.96
838084.37,14.0,0.4,177175.4,2.96
837948.39,14.0,0.4,177578.93,2.97
837676.43,14.0,0.4,177578.93,2.97
837454.89,13.99,0.39,177485.54,2.97
837750.92,14.0,0.4,177485.54,2.97
837627.56,14.0,0.4,176869.67,2.96
837580.34,14.0,0.4,176734.13,2.95
837444.36,14.0,0.4,176734.13,2.95
837308.38,14.0,0.4,176747.6,2.96
837172.4,14.0,0.4,176734.13,2.96
837225.11,14.0,0.41,176734.13,2.96
837225.11,14.0,0.41,176729.12,2.96
837277.81,14.01,0.41,177519.67,2.97
836693.89,14.0,0.4,176935.75,2.96
836470.43,13.99,0.4,176650.87,2.96
836334.46,13.99,0.4,176650.42,2.96
836334.46,13.99,0.4,176650.42,2.96
836334.46,13.99,0.4,176669.16,2.96
836630.48,14.0,0.4,176669.16,2.96
836683.18,14.0,0.41,176669.16,2.96
836683.18,14.0,0.41,176669.16,2.96
836547.2,14.0,0.41,176679.19,2.96
836406.74,14.0,0.4,176669.16,2.96
836270.76,14.0,0.4,176669.16,2.96
836134.79,14.0,0.4,177034.11,2.96
835998.81,14.0,0.4,177115.63,2.97
835998.81,14.0,0.4,177115.63,2.97
836383.47,14.01,0.41,177449.57,2.97
836071.37,14.0,0.41,177357.77,2.97
835935.4,14.0,0.41,177357.32,2.97
835935.4,14.0,0.41,177357.32,2.97
836125.85,14.01,0.41,177357.32,2.97
836178.55,14.01,0.41,177357.32,2.97
835090.73,14.01,0.42,177356.87,2.98
834954.75,14.01,0.42,177565.48,2.98
834818.78,14.01,0.42,177557.76,2.98
834704.43,14.01,0.42,177479.19,2.98
834894.88,14.02,0.42,177478.74,2.98
834758.91,14.02,0.42,177478.74,2.98
835054.93,14.02,0.43,177505.18,2.98
834940.97,14.02,0.43,178139.1,2.99
834764.58,14.02,0.43,177891.5,2.99
834628.61,14.02,0.43,177887.95,2.99
834492.63,14.02,0.43,177865.62,2.99
834356.65,14.02,0.43,177786.31,2.99
834135.11,14.02,0.42,177518.08,2.98
834020.77,14.02,0.42,179117.01,3.01
833926.12,14.02,0.42,178447.01,3.0
833915.86,14.02,0.43,178313.75,3.0
833968.56,14.03,0.43,178498.73,3.0
833621.45,14.02,0.42,178302.5,3.0
833485.48,14.02,0.42,178223.19,3.0
833349.5,14.02,0.42,178223.19,3.0
833213.52,14.02,0.42,178223.33,3.0
833077.54,14.02,0.42,178222.74,3.0
833077.54,14.02,0.42,178222.74,3.0
833358.65,14.03,0.43,178266.47,3.0
833654.68,14.03,0.44,178241.63,3.0
833845.13,14.04,0.44,178222.74,3.0
833845.13,14.04,0.44,178222.74,3.0
833709.15,14.04,0.44,179397.72,3.02
833616.82,14.04,0.44,179491.73,3.02
833625.87,14.04,0.44,179425.47,3.02
833261.29,14.04,0.44,179255.1,3.02
833125.32,14.04,0.44,179254.65,3.02
832989.34,14.04,0.44,179254.65,3.02
832853.36,14.04,0.44,179269.4,3.02
832906.06,14.04,0.44,179256.33,3.02
832770.08,14.04,0.44,179254.65,3.02
831682.27,14.04,0.44,179254.33,3.03
831734.97,14.04,0.45,179254.33,3.03
831598.99,14.04,0.45,179701.31,3.03
831880.1,14.05,0.45,179910.77,3.04
831744.12,14.05,0.45,179910.32,3.04
831608.15,14.05,0.45,179910.32,3.04
831904.17,14.06,0.46,179933.19,3.04
831768.19,14.06,0.46,179918.24,3.04
831820.89,14.06,0.46,179910.51,3.04
832011.34,14.06,0.47,180399.78,3.05
831875.37,14.06,0.47,180554.74,3.05
831739.39,14.06,0.47,180676.93,3.06
831603.41,14.06,0.47,180676.48,3.06
831467.43,14.06,0.47,180676.48,3.06
831331.46,14.06,0.47,180693.03,3.06
831195.48,14.06,0.47,180682.76,3.06
831059.5,14.06,0.47,180676.48,3.06
830923.52,14.06,0.47,180860.31,3.06
830551.53,14.06,0.46,180674.96,3.06
830459.2,14.06,0.46,180572.11,3.06
830459.2,14.06,0.46,180572.11,3.06
830279.57,14.06,0.46,180491.12,3.06
830279.57,14.06,0.46,180491.12,3.06
830143.59,14.06,0.46,180491.12,3.06
830007.62,14.06,0.46,180491.12,3.06
830007.62,14.06,0.46,180491.12,3.06
829871.64,14.06,0.46,180491.12,3.06
829663.29,14.06,0.46,180292.48,3.05
829527.31,14.06,0.46,180292.48,3.06
829391.33,14.06,0.46,180292.48,3.06
829391.33,14.06,0.46,180292.48,3.06
829391.33,14.06,0.46,180292.48,3.06
829695.5,14.06,0.47,180447.81,3.06
829559.53,14.06,0.47,180294.18,3.06
829612.23,14.07,0.47,180912.27,3.07
829612.23,14.07,0.47,180931.01,3.07
829476.25,14.07,0.47,180930.56,3.07
829306.64,14.06,0.47,180728.21,3.06
829170.66,14.06,0.47,180728.21,3.07
829223.36,14.07,0.47,180736.69,3.07
829087.38,14.07,0.47,180733.04,3.07
828727.24,14.06,0.46,180344.67,3.06
828779.94,14.06,0.47,180339.87,3.06
828832.64,14.07,0.47,180339.83,3.06
829023.09,14.07,0.47,181158.97,3.08
828887.11,14.07,0.47,181072.77,3.07
828687.28,14.07,0.47,181007.62,3.07
828551.3,14.07,0.47,180928.31,3.07
828415.32,14.07,0.47,180928.31,3.07
828279.35,14.07,0.47,180934.54,3.07
828155.99,14.07,0.47,180318.67,3.06
828416.24,14.08,0.48,180495.12,3.07
828712.26,14.08,0.48,180769.51,3.07
828576.28,14.08,0.48,180690.2,3.07
828440.3,14.08,0.48,180690.2,3.07
828304.33,14.08,0.48,180696.43,3.07
828168.35,14.08,0.48,180610.89,3.07
827873.24,14.08,0.48,180309.64,3.07
