ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,2,0,6212,0
2,4,650,6212,650
3,6,1120,6212,1120
4,7,1930,6212,1930
5,11,1930,6212,1930
5,11,2250,6212,2250
5,11,3060,6212,3060
6,12,3870,6212,3870
7,13,4340,6212,4340
7,13,4660,6212,4660
8,14,5470,6212,5470
9,16,5940,6212,5940
9,16,6260,6212,6260
10,17,7070,6212,7070
11,19,7540,6212,7540
12,21,8190,6212,8190
13,23,8650,6212,8650
14,25,9200,6212,9200
14,25,9200,6212,9200
15,26,9850,6212,9850
15,26,10660,6212,10660
15,26,11470,6212,11470
16,28,11790,6212,11790
17,29,12600,6212,12600
17,29,13070,6212,13070
18,30,13540,6212,13540
19,32,14010,6212,14010
20,33,14820,6212,14820
21,34,15630,6212,15630
22,35,16100,6212,16100
23,36,16910,6212,16910
24,37,17720,6212,17720
24,37,17720,6212,17720
25,38,18530,6212,18530
26,39,19340,6212,19340
26,39,19930,6212,19930
27,40,20400,6212,20400
27,40,20630,6212,20630
28,44,20630,6212,20630
29,46,21280,6212,21280
29,46,21870,6212,21870
30,48,22340,6212,22340
30,48,23150,6212,23150
30,48,23380,6212,23380
31,50,24030,6212,24030
32,52,24680,6212,24680
33,53,25150,6212,25150
33,53,25960,6212,25960
34,55,26430,6212,26430
35,57,27080,6212,27080
36,59,27310,6212,27310
36,59,27770,6212,27770
36,59,28580,6212,28580
37,63,28580,6212,28580
38,65,28580,6212,28580
39,67,28580,6212,28580
40,69,29050,6212,29050
40,69,29370,6212,29370
41,71,29590,6212,29590
41,71,30060,6212,30060
42,73,30060,6212,30060
43,77,30060,6212,30060
43,77,30870,6212,30870
43,77,30870,6212,30870
43,77,31350,6212,31350
44,79,31820,6212,31820
45,80,32290,6212,32290
45,80,32880,6212,32880
45,80,33100,6212,33100
46,81,33910,6212,33910
47,82,34720,6212,34720
48,83,35530,6212,35530
49,84,36340,6212,36340
50,86,36810,6212,36810
51,88,37270,6212,37270
51,88,37430,6212,37430
51,88,38240,6212,38240
52,90,39050,6212,39050
53,92,39520,6212,39520
53,92,40330,6212,40330
54,94,40980,6212,40980
55,96,41450,6212,41450
56,100,41450,6212,41450
56,100,42100,6212,42100
56,100,42100,6212,42100
56,100,42910,6212,42910
57,102,43140,6212,43140
57,102,43460,6212,43460
57,102,43780,6212,43780
57,102,44370,6212,44370
58,104,45180,6212,45180
58,104,45650,6212,45650
58,104,46120,6212,46120
59,106,46590,6212,46590
60,110,46590,6212,46590
60,110,47180,6212,47180
61,112,47990,6212,47990
62,116,47990,6212,47990
62,116,48580,6212,48580
63,118,49050,6212,49050
63,118,49520,6212,49520
64,120,49520,6212,49520
64,120,49840,6212,49840
65,124,49840,6212,49840
65,124,50310,6212,50310
66,126,50960,6212,50960
66,126,51550,6212,51550
66,126,52360,6212,52360
66,126,52830,6212,52830
67,128,53300,6212,53300
68,130,54110,6212,54110
69,132,54760,6212,54760
69,132,55570,6212,55570
70,134,55940,6212,55940
70,134,56100,6212,56100
71,136,56570,6212,56570
71,136,57380,6212,57380
72,138,58190,6212,58190
72,138,59000,6212,59000
72,138,59220,6212,59220
73,140,59690,6212,59690
73,140,60500,6212,60500
74,142,60820,6212,60820
75,144,61630,6212,61630
75,144,62090,6212,62090
76,148,62090,6212,62090
76,148,62560,6212,62560
77,150,63370,6212,63370
77,150,63590,6212,63590
77,150,64070,6212,64070
77,150,64540,6212,64540
77,150,65350,6212,65350
77,150,66160,6212,66160
77,150,66620,6212,66620
78,152,67090,6212,67090
78,152,67550,6212,67550
79,154,67920,6212,67920
80,156,68570,6212,68570
81,158,68570,6212,68570
82,160,68570,6212,68570
83,162,69040,6212,69040
83,162,69850,6212,69850
83,162,70500,6212,70500
84,164,71310,6212,71310
84,164,71780,6212,71780
85,168,71780,6212,71780
85,168,72330,6212,72330
86,170,72800,6212,72800
86,170,73610,6212,73610
86,170,73610,6212,73610
87,172,74080,6212,74080
88,174,74400,6212,74400
88,174,75210,6212,75210
88,174,75680,6212,75680
88,174,75680,6212,75680
89,178,75680,6212,75680
89,178,75680,6212,75680
90,180,76490,6212,76490
90,180,77300,6212,77300
91,182,77770,6212,77770
92,184,78090,6212,78090
93,188,78090,6212,78090
94,190,78900,6212,78900
94,190,79370,6212,79370
94,190,79370,6212,79370
95,192,80020,6212,80020
95,192,80830,6212,80830
95,192,81640,6212,81640
96,194,82110,6212,82110
96,194,82920,6212,82920
97,196,83390,6212,83390
97,196,83860,6212,83860
98,198,84180,6212,84180
98,198,84340,6212,84340
99,202,84340,6212,84340
99,202,85150,6212,85150
99,202,85960,6212,85960
100,204,86430,6212,86430
100,204,86910,6212,86910
100,204,87140,6212,87140
100,204,87510,6212,87510
100,204,87830,6212,87830
100,204,88300,6212,88300
101,206,89110,6212,89110
101,206,89920,6212,89920
101,206,90390,6212,90390
102,208,91200,6212,91200
102,208,92010,6212,92010
103,210,92820,6212,92820
103,210,93290,6212,93290
103,210,94100,6212,94100
104,212,94570,6212,94570
104,212,95380,6212,95380
104,212,95850,6212,95850
105,214,96320,6212,96320
105,214,96640,6212,96640
105,214,96750,6212,96750
106,218,96750,6212,96750
106,218,97560,6212,97560
107,220,98370,6212,98370
107,220,99180,6212,99180
107,220,99500,6212,99500
108,224,99500,6212,99500
109,226,99970,6212,99970
110,228,100440,6212,100440
111,230,100900,6212,100900
112,232,101370,6212,101370
112,232,102180,6212,102180
112,232,102990,6212,102990
113,234,103460,6212,103460
113,234,103780,6212,103780
114,236,104250,6212,104250
114,236,104570,6212,104570
115,240,104570,6212,104570
115,240,105120,6212,105120
116,242,105120,6212,105120
117,244,105590,6212,105590
118,246,106060,6212,106060
119,248,106710,6212,106710
120,250,107180,6212,107180
120,250,107650,6212,107650
121,252,108120,6212,108120
122,254,108440,6212,108440
122,254,108910,6212,108910
122,254,109720,6212,109720
122,254,109950,6212,109950
123,256,110410,6212,110410
123,256,110730,6212,110730
123,256,111540,6212,111540
124,258,112090,6212,112090
125,260,112740,6212,112740
126,262,113390,6212,113390
126,262,113620,6212,113620
127,264,113620,6212,113620
127,264,113780,6212,113780
127,264,114590,6212,114590
127,264,114820,6212,114820
127,264,115630,6212,115630
127,264,116220,6212,116220
127,264,116680,6212,116680
128,265,117490,6212,117490
128,265,117960,6212,117960
129,267,118420,6212,118420
130,269,118890,6212,118890
130,269,119700,6212,119700
130,269,120510,6212,120510
130,269,121320,6212,121320
130,269,121320,6212,121320
130,269,121370,6212,121370
131,271,121370,6212,121370
131,271,121370,6212,121370
131,271,121830,6212,121830
131,271,122640,6212,122640
132,273,123450,6212,123450
132,273,124260,6212,124260
132,273,125070,6212,125070
132,273,125880,6212,125880
133,275,126690,6212,126690
134,277,127340,6212,127340
134,277,127810,6212,127810
135,279,128460,6212,128460
135,279,128930,6212,128930
135,279,129160,6212,129160
136,281,129160,6212,129160
136,281,129390,6212,129390
136,281,130200,6212,130200
137,282,131010,6212,131010
138,284,131820,6212,131820
138,284,132280,6212,132280
139,286,133090,6212,133090
139,286,133900,6212,133900
140,288,134710,6212,134710
141,292,134710,6212,134710
141,292,134710,6212,134710
141,292,135180,6212,135180
142,294,135650,6212,135650
142,294,136460,6212,136460
143,296,136460,6212,136460
144,298,137110,6212,137110
144,298,137580,6212,137580
144,298,138390,6212,138390
145,300,138860,6212,138860
145,300,139670,6212,139670
146,302,140480,6212,140480
146,302,140480,6212,140480
147,304,140940,6212,140940
148,306,141490,6212,141490
148,306,141810,6212,141810
148,306,142620,6212,142620
149,308,143090,6212,143090
149,308,143900,6212,143900
149,308,144220,6212,144220
150,310,145030,6212,145030
150,310,145500,6212,145500
151,312,145970,6212,145970
151,312,146780,6212,146780
152,314,147590,6212,147590
152,314,148400,6212,148400
153,316,149050,6212,149050
153,316,149160,6212,149160
154,318,149970,6212,149970
154,318,150620,6212,150620
155,320,150940,6212,150940
155,320,151160,6212,151160
156,322,151160,6212,151160
156,322,151160,6212,151160
156,322,151970,6212,151970
156,322,152290,6212,152290
157,324,153100,6212,153100
157,324,153910,6212,153910
157,324,154380,6212,154380
157,324,154700,6212,154700
158,326,154700,6212,154700
159,328,155350,6212,155350
159,328,155350,6212,155350
159,328,155670,6212,155670
159,328,156480,6212,156480
160,330,157290,6212,157290
160,330,158100,6212,158100
161,332,158750,6212,158750
162,334,159220,6212,159220
162,334,159220,6212,159220
162,334,159220,6212,159220
163,336,159690,6212,159690
163,336,160010,6212,160010
163,336,160240,6212,160240
164,338,160710,6212,160710
164,338,161520,6212,161520
164,338,161750,6212,161750
164,338,161910,6212,161910
165,340,162230,6212,162230
166,342,162230,6212,162230
166,342,163040,6212,163040
167,344,163040,6212,163040
167,344,163850,6212,163850
167,344,164080,6212,164080
167,344,164310,6212,164310
167,344,165120,6212,165120
168,346,165590,6212,165590
169,348,165590,6212,165590
170,350,165590,6212,165590
170,350,166400,6212,166400
170,350,167210,6212,167210
171,352,167860,6212,167860
171,352,168670,6212,168670
171,352,169480,6212,169480
172,354,170290,6212,170290
172,354,170760,6212,170760
173,356,171570,6212,171570
173,356,172040,6212,172040
173,356,172360,6212,172360
173,356,173170,6212,173170
173,356,173640,6212,173640
174,360,173640,6212,173640
175,362,173960,6212,173960
175,362,174770,6212,174770
176,364,175580,6212,175580
177,368,175580,6212,175580
178,372,176230,6212,176230
178,372,176690,6212,176690
178,372,177010,6212,177010
178,372,177820,6212,177820
179,374,178630,6212,178630
179,374,179440,6212,179440
179,374,180090,6212,180090
179,374,180900,6212,180900
179,374,181270,6212,181270
180,378,181270,6212,181270
181,380,182080,6212,182080
182,384,182080,6212,182080
182,384,182890,6212,182890
182,384,183210,6212,183210
182,384,183680,6212,183680
182,384,184000,6212,184000
183,388,184000,6212,184000
184,392,184650,6212,184650
185,394,185460,6212,185460
185,394,185780,6212,185780
185,394,186590,6212,186590
186,396,187400,6212,187400
186,396,188210,6212,188210
187,398,189020,6212,189020
187,398,189670,6212,189670
187,398,189830,6212,189830
187,398,190060,6212,190060
187,398,190530,6212,190530
