ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,2,0,6212,0
2,4,650,6212,650
3,6,1120,6212,1120
4,7,1930,6212,1930
5,8,1930,6212,1930
6,9,2250,6212,2250
6,9,3060,6212,3060
7,10,3870,6212,3870
8,11,4340,6212,4340
9,12,4660,6212,4660
10,13,5470,6212,5470
11,15,5940,6212,5940
12,16,6260,6212,6260
13,17,7070,6212,7070
14,19,7540,6212,7540
15,21,8190,6212,8190
16,23,8650,6212,8650
17,24,9200,6212,9200
18,26,9200,6212,9200
19,27,9850,6212,9850
19,27,10660,6212,10660
20,28,11470,6212,11470
21,29,11790,6212,11790
22,30,12600,6212,12600
23,31,13070,6212,13070
24,32,13540,6212,13540
25,34,14010,6212,14010
26,35,14820,6212,14820
27,36,15630,6212,15630
28,37,16100,6212,16100
29,38,16910,6212,16910
30,39,17720,6212,17720
31,40,17720,6212,17720
31,40,18530,6212,18530
31,40,19340,6212,19340
31,40,19930,6212,19930
32,42,20400,6212,20400
32,42,20630,6212,20630
33,46,20630,6212,20630
34,48,21280,6212,21280
34,48,21870,6212,21870
35,50,22340,6212,22340
35,50,23150,6212,23150
35,50,23380,6212,23380
36,52,24030,6212,24030
37,54,24680,6212,24680
38,56,25150,6212,25150
38,56,25960,6212,25960
39,58,26430,6212,26430
40,60,27080,6212,27080
41,62,27310,6212,27310
41,62,27770,6212,27770
41,62,28580,6212,28580
42,64,28580,6212,28580
43,66,28580,6212,28580
44,68,28580,6212,28580
45,70,29050,6212,29050
45,70,29370,6212,29370
46,72,29590,6212,29590
46,72,30060,6212,30060
47,74,30060,6212,30060
47,74,30060,6212,30060
47,74,30870,6212,30870
47,74,30870,6212,30870
47,74,31350,6212,31350
48,76,31820,6212,31820
49,78,32290,6212,32290
49,78,32880,6212,32880
49,78,33100,6212,33100
49,78,33910,6212,33910
49,78,34720,6212,34720
49,78,35530,6212,35530
49,78,36340,6212,36340
50,80,36810,6212,36810
50,80,37270,6212,37270
50,80,37430,6212,37430
50,80,38240,6212,38240
50,80,39050,6212,39050
51,82,39520,6212,39520
51,82,40330,6212,40330
52,84,40980,6212,40980
53,86,41450,6212,41450
54,90,41450,6212,41450
54,90,42100,6212,42100
55,92,42100,6212,42100
55,92,42910,6212,42910
56,94,43140,6212,43140
56,94,43460,6212,43460
56,94,43780,6212,43780
56,94,44370,6212,44370
56,94,45180,6212,45180
57,96,45650,6212,45650
57,96,46120,6212,46120
58,98,46590,6212,46590
59,100,46590,6212,46590
59,100,47180,6212,47180
59,100,47990,6212,47990
59,100,47990,6212,47990
60,102,48580,6212,48580
60,102,49050,6212,49050
61,104,49520,6212,49520
62,106,49520,6212,49520
62,106,49840,6212,49840
63,110,49840,6212,49840
64,112,50310,6212,50310
65,114,50960,6212,50960
65,114,51550,6212,51550
65,114,52360,6212,52360
65,114,52830,6212,52830
66,116,53300,6212,53300
66,116,54110,6212,54110
67,118,54760,6212,54760
67,118,55570,6212,55570
68,120,55940,6212,55940
68,120,56100,6212,56100
69,122,56570,6212,56570
69,122,57380,6212,57380
69,122,58190,6212,58190
69,122,59000,6212,59000
69,122,59220,6212,59220
70,124,59690,6212,59690
70,124,60500,6212,60500
70,124,60820,6212,60820
71,126,61630,6212,61630
71,126,62090,6212,62090
72,128,62090,6212,62090
72,128,62560,6212,62560
73,130,63370,6212,63370
73,130,63590,6212,63590
73,130,64070,6212,64070
73,130,64540,6212,64540
74,132,65350,6212,65350
74,132,66160,6212,66160
75,134,66620,6212,66620
76,136,67090,6212,67090
76,136,67550,6212,67550
77,138,67920,6212,67920
78,140,68570,6212,68570
79,142,68570,6212,68570
80,144,68570,6212,68570
81,146,69040,6212,69040
81,146,69850,6212,69850
81,146,70500,6212,70500
81,146,71310,6212,71310
81,146,71780,6212,71780
81,146,71780,6212,71780
82,148,72330,6212,72330
83,150,72800,6212,72800
83,150,73610,6212,73610
83,150,73610,6212,73610
84,152,74080,6212,74080
85,154,74400,6212,74400
85,154,75210,6212,75210
85,154,75680,6212,75680
86,156,75680,6212,75680
87,160,75680,6212,75680
88,162,75680,6212,75680
88,162,76490,6212,76490
88,162,77300,6212,77300
89,164,77770,6212,77770
90,166,78090,6212,78090
90,166,78090,6212,78090
90,166,78900,6212,78900
91,168,79370,6212,79370
92,172,79370,6212,79370
93,174,80020,6212,80020
93,174,80830,6212,80830
93,174,81640,6212,81640
93,174,82110,6212,82110
93,174,82920,6212,82920
94,176,83390,6212,83390
95,178,83860,6212,83860
95,178,84180,6212,84180
95,178,84340,6212,84340
96,182,84340,6212,84340
96,182,85150,6212,85150
96,182,85960,6212,85960
97,184,86430,6212,86430
97,184,86910,6212,86910
98,186,87140,6212,87140
98,186,87510,6212,87510
98,186,87830,6212,87830
99,188,88300,6212,88300
99,188,89110,6212,89110
99,188,89920,6212,89920
100,190,90390,6212,90390
100,190,91200,6212,91200
101,192,92010,6212,92010
101,192,92820,6212,92820
102,194,93290,6212,93290
102,194,94100,6212,94100
103,196,94570,6212,94570
103,196,95380,6212,95380
104,198,95850,6212,95850
105,200,96320,6212,96320
105,200,96640,6212,96640
105,200,96750,6212,96750
106,202,96750,6212,96750
106,202,97560,6212,97560
106,202,98370,6212,98370
107,204,99180,6212,99180
107,204,99500,6212,99500
107,204,99500,6212,99500
107,204,99970,6212,99970
108,206,100440,6212,100440
109,208,100900,6212,100900
110,210,101370,6212,101370
110,210,102180,6212,102180
110,210,102990,6212,102990
111,212,103460,6212,103460
111,212,103780,6212,103780
111,212,104250,6212,104250
112,214,104570,6212,104570
113,218,104570,6212,104570
113,218,105120,6212,105120
114,220,105120,6212,105120
115,222,105590,6212,105590
116,224,106060,6212,106060
117,226,106710,6212,106710
118,228,107180,6212,107180
118,228,107650,6212,107650
119,230,108120,6212,108120
120,232,108440,6212,108440
120,232,108910,6212,108910
120,232,109720,6212,109720
120,232,109950,6212,109950
121,234,110410,6212,110410
121,234,110730,6212,110730
121,234,111540,6212,111540
121,234,112090,6212,112090
122,236,112740,6212,112740
123,238,113390,6212,113390
123,238,113620,6212,113620
124,240,113620,6212,113620
124,240,113780,6212,113780
124,240,114590,6212,114590
124,240,114820,6212,114820
124,240,115630,6212,115630
124,240,116220,6212,116220
125,242,116680,6212,116680
125,242,117490,6212,117490
125,242,117960,6212,117960
126,244,118420,6212,118420
127,246,118890,6212,118890
127,246,119700,6212,119700
127,246,120510,6212,120510
128,248,121320,6212,121320
128,248,121320,6212,121320
128,248,121370,6212,121370
129,250,121370,6212,121370
130,252,121370,6212,121370
130,252,121830,6212,121830
130,252,122640,6212,122640
130,252,123450,6212,123450
131,254,124260,6212,124260
131,254,125070,6212,125070
132,256,125880,6212,125880
132,256,126690,6212,126690
133,258,127340,6212,127340
133,258,127810,6212,127810
134,260,128460,6212,128460
135,262,128930,6212,128930
135,262,129160,6212,129160
136,264,129160,6212,129160
136,264,129390,6212,129390
136,264,130200,6212,130200
137,266,131010,6212,131010
137,266,131820,6212,131820
138,268,132280,6212,132280
138,268,133090,6212,133090
139,270,133900,6212,133900
139,270,134710,6212,134710
140,274,134710,6212,134710
141,278,134710,6212,134710
142,280,135180,6212,135180
143,282,135650,6212,135650
143,282,136460,6212,136460
143,282,136460,6212,136460
143,282,137110,6212,137110
143,282,137580,6212,137580
143,282,138390,6212,138390
143,282,138860,6212,138860
143,282,139670,6212,139670
143,282,140480,6212,140480
143,282,140480,6212,140480
144,284,140940,6212,140940
144,284,141490,6212,141490
144,284,141810,6212,141810
144,284,142620,6212,142620
144,284,143090,6212,143090
144,284,143900,6212,143900
144,284,144220,6212,144220
145,288,145030,6212,145030
145,288,145500,6212,145500
145,288,145970,6212,145970
145,288,146780,6212,146780
145,288,147590,6212,147590
146,292,148400,6212,148400
146,292,149050,6212,149050
146,292,149160,6212,149160
146,292,149970,6212,149970
146,292,150620,6212,150620
147,294,150940,6212,150940
147,294,151160,6212,151160
147,294,151160,6212,151160
147,294,151160,6212,151160
147,294,151970,6212,151970
147,294,152290,6212,152290
148,296,153100,6212,153100
148,296,153910,6212,153910
149,300,154380,6212,154380
149,300,154700,6212,154700
149,300,154700,6212,154700
149,300,155350,6212,155350
149,300,155350,6212,155350
149,300,155670,6212,155670
149,300,156480,6212,156480
149,300,157290,6212,157290
150,304,158100,6212,158100
150,304,158750,6212,158750
150,304,159220,6212,159220
150,304,159220,6212,159220
150,304,159220,6212,159220
151,308,159690,6212,159690
151,308,160010,6212,160010
151,308,160240,6212,160240
151,308,160710,6212,160710
151,308,161520,6212,161520
151,308,161750,6212,161750
151,308,161910,6212,161910
152,310,162230,6212,162230
152,310,162230,6212,162230
152,310,163040,6212,163040
152,310,163040,6212,163040
153,312,163850,6212,163850
153,312,164080,6212,164080
153,312,164310,6212,164310
153,312,165120,6212,165120
154,316,165590,6212,165590
154,316,165590,6212,165590
154,316,165590,6212,165590
154,316,166400,6212,166400
154,316,167210,6212,167210
154,316,167860,6212,167860
155,318,168670,6212,168670
155,318,169480,6212,169480
156,320,170290,6212,170290
156,320,170760,6212,170760
157,322,171570,6212,171570
157,322,172040,6212,172040
157,322,172360,6212,172360
157,322,173170,6212,173170
158,326,173640,6212,173640
158,326,173640,6212,173640
158,326,173960,6212,173960
158,326,174770,6212,174770
158,326,175580,6212,175580
158,326,175580,6212,175580
158,326,176230,6212,176230
159,330,176690,6212,176690
159,330,177010,6212,177010
159,330,177820,6212,177820
159,330,178630,6212,178630
159,330,179440,6212,179440
160,334,180090,6212,180090
160,334,180900,6212,180900
160,334,181270,6212,181270
160,334,181270,6212,181270
161,336,182080,6212,182080
161,336,182080,6212,182080
161,336,182890,6212,182890
162,338,183210,6212,183210
162,338,183680,6212,183680
162,338,184000,6212,184000
162,338,184000,6212,184000
162,338,184650,6212,184650
163,342,185460,6212,185460
163,342,185780,6212,185780
163,342,186590,6212,186590
163,342,187400,6212,187400
164,344,188210,6212,188210
164,344,189020,6212,189020
164,344,189670,6212,189670
164,344,189830,6212,189830
165,348,190060,6212,190060
165,348,190530,6212,190530
165,348,190850,6212,190850
