ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,8,0,6212,0
2,16,470,6212,470
3,18,1470,6212,1470
4,26,1940,6212,1940
5,34,1940,6212,1940
6,42,2260,6212,2260
7,46,3070,6212,3070
8,48,4070,6212,4070
9,50,5070,6212,5070
10,52,5530,6212,5530
11,60,6340,6212,6340
12,68,6810,6212,6810
13,70,7280,6212,7280
14,72,7750,6212,7750
15,80,8750,6212,8750
15,80,9750,6212,9750
16,82,10560,6212,10560
17,84,11030,6212,11030
18,86,11030,6212,11030
19,88,11840,6212,11840
20,96,12310,6212,12310
21,98,12960,6212,12960
22,106,13960,6212,13960
23,108,14960,6212,14960
24,116,15430,6212,15430
25,124,15750,6212,15750
26,126,16560,6212,16560
27,128,17030,6212,17030
28,136,18030,6212,18030
29,138,19030,6212,19030
30,146,19500,6212,19500
31,154,19730,6212,19730
32,156,19730,6212,19730
33,158,20730,6212,20730
34,160,21730,6212,21730
35,162,22730,6212,22730
36,166,23730,6212,23730
37,174,24540,6212,24540
38,182,24540,6212,24540
39,190,25350,6212,25350
40,198,25580,6212,25580
41,206,26580,6212,26580
42,208,27050,6212,27050
43,210,27520,6212,27520
44,218,27990,6212,27990
45,220,28540,6212,28540
46,222,29540,6212,29540
47,230,30540,6212,30540
48,232,31350,6212,31350
49,234,32350,6212,32350
50,242,33160,6212,33160
51,250,33810,6212,33810
52,252,34810,6212,34810
53,256,34810,6212,34810
54,264,34810,6212,34810
55,266,34810,6212,34810
56,268,35620,6212,35620
57,270,36620,6212,36620
58,278,37620,6212,37620
59,286,38270,6212,38270
60,288,38270,6212,38270
61,296,38270,6212,38270
62,298,39270,6212,39270
63,306,39270,6212,39270
64,307,40080,6212,40080
65,309,40890,6212,40890
66,317,41540,6212,41540
67,319,41860,6212,41860
68,327,42860,6212,42860
69,329,43860,6212,43860
70,333,44860,6212,44860
71,335,45860,6212,45860
72,343,46670,6212,46670
73,351,47320,6212,47320
74,353,47790,6212,47790
75,355,48790,6212,48790
76,357,49790,6212,49790
77,365,50790,6212,50790
78,373,51790,6212,51790
78,373,52260,6212,52260
79,381,53070,6212,53070
80,389,54070,6212,54070
81,391,54070,6212,54070
82,393,54720,6212,54720
83,401,54720,6212,54720
84,403,55190,6212,55190
85,411,55350,6212,55350
85,411,56350,6212,56350
86,419,57350,6212,57350
87,427,58160,6212,58160
88,431,58970,6212,58970
88,431,59440,6212,59440
89,433,60250,6212,60250
90,441,61250,6212,61250
91,449,61250,6212,61250
92,451,62250,6212,62250
93,459,63250,6212,63250
94,467,63250,6212,63250
